frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.03,-6.80,-4.08,-6.85,5.92,6.24,1.56,1.89,1.84,2.76
20.20,-3.74,-6.52,-3.72,-6.49,5.92,6.17,1.61,2.17,2.20,2.77
20.40,-3.45,-6.23,-3.40,-6.18,5.90,6.10,1.66,2.45,2.51,2.78
20.61,-3.18,-5.96,-3.13,-5.91,5.88,6.03,1.71,2.70,2.75,2.78
20.81,-2.86,-5.65,-2.87,-5.66,5.85,5.96,1.76,2.98,2.98,2.79
21.02,-2.61,-5.41,-2.72,-5.51,5.80,5.89,1.82,3.19,3.09,2.79
21.23,-2.71,-5.52,-2.69,-5.49,5.75,5.81,1.87,3.03,3.06,2.80
21.44,-2.82,-5.62,-2.79,-5.59,5.68,5.74,1.93,2.87,2.89,2.80
21.66,-2.90,-5.70,-2.94,-5.74,5.62,5.67,1.99,2.72,2.68,2.80
21.87,-3.00,-5.80,-2.97,-5.77,5.53,5.60,2.05,2.53,2.56,2.80
22.09,-2.95,-5.76,-2.90,-5.70,5.43,5.53,2.11,2.48,2.54,2.81
22.31,-2.68,-5.49,-2.71,-5.51,5.34,5.45,2.18,2.66,2.63,2.81
22.54,-2.42,-5.22,-2.40,-5.20,5.24,5.38,2.24,2.82,2.84,2.80
22.76,-2.15,-4.94,-2.13,-4.92,5.13,5.31,2.31,2.98,3.00,2.79
22.99,-1.89,-4.67,-1.99,-4.78,5.04,5.24,2.38,3.15,3.05,2.79
23.22,-1.99,-4.78,-1.98,-4.76,4.97,5.16,2.45,2.98,2.99,2.79
23.45,-2.13,-4.90,-2.10,-4.88,4.94,5.09,2.52,2.81,2.84,2.78
23.69,-2.24,-5.02,-2.26,-5.04,4.94,5.02,2.59,2.69,2.68,2.78
23.92,-2.37,-5.15,-2.34,-5.11,4.96,4.94,2.67,2.59,2.62,2.78
24.16,-2.36,-5.14,-2.35,-5.12,5.00,4.87,2.74,2.63,2.65,2.77
24.40,-2.28,-5.06,-2.30,-5.08,5.01,4.79,2.82,2.73,2.71,2.77
24.65,-2.21,-4.98,-2.21,-4.99,5.00,4.72,2.90,2.79,2.79,2.77
24.89,-2.12,-4.90,-2.12,-4.90,4.94,4.65,2.98,2.82,2.82,2.77
25.14,-2.04,-4.82,-2.04,-4.81,4.86,4.57,3.05,2.81,2.82,2.77
25.39,-1.96,-4.73,-1.97,-4.73,4.75,4.50,3.13,2.79,2.79,2.76
25.65,-1.88,-4.64,-1.88,-4.64,4.64,4.43,3.21,2.77,2.76,2.76
25.91,-1.80,-4.56,-1.78,-4.54,4.53,4.35,3.29,2.73,2.74,2.76
26.16,-1.66,-4.42,-1.66,-4.42,4.40,4.28,3.37,2.73,2.73,2.76
26.43,-1.52,-4.28,-1.52,-4.28,4.25,4.20,3.45,2.73,2.73,2.76
26.69,-1.36,-4.12,-1.37,-4.12,4.09,4.13,3.52,2.73,2.73,2.76
26.96,-1.21,-3.96,-1.20,-3.96,3.93,4.05,3.60,2.72,2.72,2.76
27.23,-1.04,-3.79,-1.03,-3.79,3.76,3.98,3.67,2.73,2.73,2.76
27.50,-0.86,-3.61,-0.84,-3.60,3.61,3.91,3.74,2.76,2.77,2.76
27.77,-0.67,-3.43,-0.68,-3.43,3.49,3.83,3.80,2.82,2.81,2.76
28.05,-0.52,-3.28,-0.57,-3.32,3.40,3.76,3.87,2.87,2.83,2.75
28.33,-0.53,-3.29,-0.52,-3.27,3.35,3.68,3.92,2.82,2.83,2.75
28.62,-0.53,-3.29,-0.52,-3.27,3.34,3.61,3.98,2.80,2.82,2.75
28.90,-0.54,-3.31,-0.55,-3.31,3.34,3.53,4.03,2.80,2.79,2.76
29.19,-0.58,-3.34,-0.60,-3.36,3.36,3.46,4.07,2.78,2.77,2.76
29.48,-0.66,-3.41,-0.67,-3.43,3.38,3.38,4.10,2.72,2.71,2.76
29.78,-0.71,-3.48,-0.71,-3.47,3.37,3.31,4.14,2.65,2.66,2.77
30.08,-0.72,-3.49,-0.68,-3.44,3.32,3.24,4.16,2.59,2.64,2.77
30.38,-0.56,-3.32,-0.57,-3.34,3.23,3.16,4.17,2.68,2.66,2.77
30.68,-0.39,-3.16,-0.41,-3.18,3.13,3.09,4.18,2.73,2.71,2.76
30.99,-0.24,-3.00,-0.24,-3.00,3.02,3.01,4.18,2.78,2.78,2.76
31.30,-0.09,-2.85,-0.07,-2.83,2.93,2.94,4.17,2.84,2.86,2.76
31.61,0.06,-2.69,0.08,-2.68,2.85,2.87,4.15,2.91,2.93,2.76
31.93,0.21,-2.55,0.16,-2.60,2.79,2.79,4.13,3.00,2.95,2.76
32.24,0.15,-2.59,0.12,-2.63,2.73,2.72,4.10,2.88,2.85,2.75
32.57,0.03,-2.72,0.02,-2.73,2.66,2.65,4.06,2.68,2.68,2.75
32.89,-0.11,-2.86,-0.03,-2.77,2.55,2.57,4.01,2.44,2.52,2.74
33.22,0.03,-2.71,0.05,-2.68,2.41,2.50,3.96,2.44,2.47,2.73
33.55,0.30,-2.43,0.26,-2.47,2.27,2.43,3.90,2.56,2.53,2.73
33.89,0.55,-2.16,0.55,-2.17,2.13,2.35,3.83,2.69,2.68,2.72
34.23,0.82,-1.89,0.86,-1.85,2.02,2.28,3.76,2.84,2.89,2.72
34.57,1.09,-1.63,1.12,-1.60,1.92,2.21,3.68,3.00,3.03,2.71
34.92,1.34,-1.37,1.22,-1.49,1.82,2.14,3.60,3.16,3.04,2.71
35.27,1.16,-1.55,1.09,-1.62,1.74,2.06,3.51,2.89,2.82,2.71
35.62,0.84,-1.87,0.85,-1.86,1.68,1.99,3.42,2.52,2.54,2.71
35.97,0.51,-2.20,0.69,-2.01,1.67,1.92,3.32,2.18,2.36,2.71
36.33,0.76,-1.94,0.77,-1.93,1.68,1.85,3.23,2.44,2.45,2.70
36.70,1.04,-1.66,0.99,-1.71,1.71,1.78,3.13,2.75,2.69,2.70
37.06,1.27,-1.42,1.18,-1.52,1.73,1.71,3.02,3.00,2.90,2.70
37.43,1.18,-1.51,1.20,-1.50,1.72,1.64,2.92,2.90,2.92,2.70
37.81,1.10,-1.61,1.13,-1.56,1.68,1.57,2.82,2.78,2.82,2.70
38.19,1.04,-1.66,1.02,-1.68,1.64,1.50,2.71,2.68,2.66,2.70
38.57,0.99,-1.71,0.97,-1.73,1.61,1.43,2.60,2.59,2.58,2.70
38.95,0.94,-1.77,0.99,-1.71,1.59,1.36,2.50,2.53,2.58,2.70
39.34,1.06,-1.64,1.06,-1.64,1.56,1.29,2.39,2.62,2.62,2.70
39.74,1.20,-1.49,1.18,-1.52,1.50,1.22,2.28,2.70,2.68,2.70
40.14,1.32,-1.37,1.30,-1.39,1.40,1.15,2.18,2.72,2.70,2.69
40.54,1.40,-1.29,1.40,-1.29,1.29,1.08,2.07,2.69,2.69,2.69
40.94,1.48,-1.21,1.52,-1.17,1.20,1.02,1.97,2.67,2.71,2.69
41.35,1.64,-1.05,1.65,-1.02,1.13,0.95,1.86,2.76,2.78,2.68
41.76,1.80,-0.87,1.76,-0.91,1.06,0.88,1.76,2.86,2.82,2.67
42.18,1.83,-0.83,1.76,-0.90,0.98,0.82,1.66,2.81,2.74,2.66
42.60,1.70,-0.96,1.71,-0.95,0.88,0.75,1.55,2.58,2.59,2.66
43.03,1.59,-1.07,1.67,-0.99,0.76,0.68,1.45,2.35,2.43,2.66
43.46,1.75,-0.90,1.72,-0.93,0.66,0.62,1.35,2.41,2.38,2.65
43.90,1.90,-0.73,1.95,-0.69,0.60,0.55,1.25,2.50,2.55,2.64
44.33,2.21,-0.42,2.26,-0.37,0.56,0.49,1.15,2.77,2.83,2.63
44.78,2.55,-0.07,2.44,-0.18,0.52,0.43,1.06,3.07,2.96,2.63
45.23,2.54,-0.08,2.41,-0.21,0.46,0.36,0.96,3.00,2.88,2.62
45.68,2.17,-0.45,2.23,-0.38,0.40,0.30,0.86,2.57,2.64,2.61
46.13,1.92,-0.70,2.01,-0.60,0.36,0.24,0.77,2.28,2.37,2.62
46.60,1.98,-0.63,1.96,-0.66,0.34,0.17,0.68,2.32,2.30,2.61
47.06,2.09,-0.53,2.16,-0.46,0.33,0.11,0.58,2.41,2.49,2.62
47.53,2.40,-0.22,2.40,-0.22,0.31,0.05,0.49,2.71,2.72,2.62
48.01,2.69,0.07,2.50,-0.12,0.27,-0.01,0.40,2.97,2.77,2.62
48.49,2.52,-0.11,2.52,-0.11,0.20,-0.07,0.31,2.72,2.73,2.63
48.97,2.35,-0.28,2.55,-0.08,0.11,-0.13,0.22,2.46,2.66,2.63
49.46,2.59,-0.05,2.60,-0.04,0.01,-0.19,0.14,2.60,2.61,2.63
49.96,2.85,0.21,2.64,-0.00,-0.07,-0.25,0.05,2.79,2.57,2.64
50.46,2.69,0.04,2.66,0.01,-0.10,-0.31,-0.04,2.59,2.56,2.65
50.96,2.48,-0.18,2.74,0.08,-0.11,-0.36,-0.12,2.37,2.63,2.66
51.47,2.83,0.17,2.85,0.19,-0.14,-0.42,-0.21,2.69,2.72,2.66
51.99,3.23,0.57,2.96,0.30,-0.16,-0.48,-0.29,3.07,2.80,2.66
52.51,2.98,0.32,2.98,0.32,-0.18,-0.53,-0.37,2.79,2.80,2.66
53.03,2.72,0.05,2.84,0.18,-0.21,-0.59,-0.45,2.50,2.63,2.66
53.56,2.75,0.08,2.75,0.09,-0.26,-0.65,-0.53,2.48,2.49,2.66
54.10,2.82,0.15,2.89,0.22,-0.33,-0.70,-0.61,2.50,2.57,2.67
54.64,3.11,0.44,3.03,0.35,-0.40,-0.76,-0.68,2.72,2.63,2.67
55.18,3.22,0.55,3.06,0.39,-0.45,-0.81,-0.76,2.77,2.61,2.67
