frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.56,-7.32,-5.57,-7.33,6.00,6.06,2.74,0.44,0.43,1.76
20.20,-5.48,-7.25,-5.47,-7.24,6.00,6.06,2.82,0.52,0.53,1.77
20.40,-5.39,-7.17,-5.38,-7.16,6.00,6.06,2.90,0.61,0.62,1.78
20.61,-5.31,-7.09,-5.30,-7.08,6.00,6.05,2.98,0.69,0.70,1.78
20.81,-5.23,-7.02,-5.22,-7.01,6.00,6.05,3.06,0.77,0.78,1.79
21.02,-5.15,-6.94,-5.17,-6.96,6.00,6.05,3.15,0.85,0.83,1.79
21.23,-5.14,-6.94,-5.13,-6.93,6.00,6.05,3.24,0.86,0.87,1.80
21.44,-5.13,-6.93,-5.12,-6.92,6.00,6.05,3.33,0.87,0.88,1.80
21.66,-5.12,-6.92,-5.12,-6.92,6.00,6.04,3.42,0.88,0.88,1.80
21.87,-5.11,-6.91,-5.11,-6.91,6.00,6.04,3.52,0.89,0.89,1.80
22.09,-5.10,-6.91,-5.09,-6.90,6.00,6.04,3.62,0.90,0.91,1.81
22.31,-5.07,-6.87,-5.07,-6.87,6.00,6.04,3.72,0.93,0.93,1.81
22.54,-5.04,-6.84,-5.04,-6.84,6.00,6.03,3.83,0.96,0.96,1.80
22.76,-5.01,-6.79,-5.01,-6.80,6.00,6.03,3.94,0.99,0.99,1.79
22.99,-4.98,-6.76,-4.98,-6.76,6.00,6.03,4.04,1.02,1.02,1.79
23.22,-4.95,-6.73,-4.95,-6.73,6.00,6.03,4.16,1.05,1.05,1.79
23.45,-4.92,-6.69,-4.92,-6.70,6.00,6.02,4.27,1.08,1.08,1.78
23.69,-4.89,-6.66,-4.89,-6.66,6.00,6.02,4.39,1.11,1.11,1.78
23.92,-4.86,-6.63,-4.86,-6.63,6.00,6.02,4.51,1.14,1.14,1.78
24.16,-4.83,-6.60,-4.83,-6.60,6.00,6.01,4.63,1.17,1.17,1.78
24.40,-4.81,-6.58,-4.80,-6.58,6.00,6.01,4.76,1.19,1.20,1.78
24.65,-4.78,-6.55,-4.78,-6.56,6.00,6.01,4.88,1.22,1.22,1.78
24.89,-4.76,-6.53,-4.76,-6.53,6.00,6.00,5.01,1.24,1.24,1.77
25.14,-4.74,-6.51,-4.73,-6.50,6.00,6.00,5.14,1.26,1.27,1.77
25.39,-4.71,-6.47,-4.71,-6.47,6.00,6.00,5.27,1.29,1.29,1.76
25.65,-4.68,-6.44,-4.68,-6.44,6.00,5.99,5.40,1.32,1.32,1.76
25.91,-4.66,-6.42,-4.65,-6.42,6.00,5.99,5.53,1.34,1.35,1.76
26.16,-4.63,-6.39,-4.63,-6.39,6.00,5.98,5.66,1.37,1.37,1.76
26.43,-4.61,-6.37,-4.60,-6.36,6.00,5.98,5.79,1.39,1.40,1.76
26.69,-4.58,-6.34,-4.57,-6.34,6.00,5.98,5.92,1.42,1.43,1.76
26.96,-4.55,-6.31,-4.56,-6.32,6.00,5.97,6.05,1.45,1.44,1.76
27.23,-4.55,-6.31,-4.55,-6.31,6.00,5.97,6.18,1.45,1.45,1.76
27.50,-4.55,-6.31,-4.54,-6.30,6.00,5.96,6.30,1.45,1.46,1.76
27.77,-4.55,-6.30,-4.54,-6.30,6.00,5.96,6.42,1.45,1.46,1.76
28.05,-4.54,-6.29,-4.53,-6.29,6.00,5.95,6.53,1.46,1.47,1.76
28.33,-4.52,-6.27,-4.51,-6.27,6.00,5.95,6.64,1.48,1.49,1.76
28.62,-4.49,-6.24,-4.49,-6.25,6.00,5.94,6.75,1.51,1.51,1.76
28.90,-4.46,-6.22,-4.46,-6.22,6.00,5.94,6.85,1.54,1.54,1.76
29.19,-4.43,-6.19,-4.43,-6.19,6.00,5.93,6.94,1.57,1.57,1.76
29.48,-4.40,-6.16,-4.40,-6.16,6.00,5.93,7.02,1.60,1.60,1.76
29.78,-4.37,-6.14,-4.37,-6.14,6.00,5.92,7.09,1.63,1.63,1.77
30.08,-4.34,-6.11,-4.34,-6.11,6.00,5.92,7.16,1.66,1.66,1.77
30.38,-4.31,-6.08,-4.30,-6.07,6.00,5.91,7.21,1.69,1.70,1.77
30.68,-4.28,-6.05,-4.28,-6.04,6.00,5.90,7.26,1.73,1.73,1.77
30.99,-4.25,-6.01,-4.25,-6.02,6.00,5.90,7.29,1.76,1.75,1.77
31.30,-4.25,-6.01,-4.25,-6.01,6.00,5.89,7.32,1.76,1.76,1.77
31.61,-4.25,-6.01,-4.24,-6.01,6.00,5.89,7.33,1.75,1.76,1.77
31.93,-4.25,-6.01,-4.24,-6.00,5.99,5.88,7.33,1.75,1.75,1.76
32.24,-4.24,-5.99,-4.24,-5.99,5.98,5.87,7.33,1.75,1.75,1.75
32.57,-4.23,-5.98,-4.23,-5.98,5.97,5.87,7.31,1.74,1.74,1.75
32.89,-4.22,-5.97,-4.21,-5.96,5.96,5.86,7.28,1.74,1.74,1.75
33.22,-4.20,-5.93,-4.20,-5.94,5.94,5.85,7.25,1.74,1.74,1.74
33.55,-4.18,-5.91,-4.18,-5.91,5.92,5.85,7.20,1.75,1.75,1.74
33.89,-4.16,-5.88,-4.16,-5.89,5.90,5.84,7.15,1.75,1.74,1.72
34.23,-4.15,-5.87,-4.15,-5.88,5.88,5.83,7.10,1.73,1.73,1.72
34.57,-4.15,-5.87,-4.15,-5.87,5.86,5.83,7.03,1.71,1.71,1.72
34.92,-4.15,-5.87,-4.14,-5.86,5.83,5.82,6.97,1.69,1.69,1.72
35.27,-4.12,-5.83,-4.11,-5.83,5.81,5.81,6.89,1.70,1.70,1.72
35.62,-4.08,-5.79,-4.07,-5.79,5.79,5.80,6.82,1.72,1.72,1.72
35.97,-4.03,-5.74,-4.04,-5.76,5.78,5.80,6.74,1.75,1.73,1.71
36.33,-4.04,-5.75,-4.03,-5.74,5.77,5.79,6.66,1.73,1.73,1.71
36.70,-4.04,-5.75,-4.03,-5.74,5.75,5.78,6.58,1.72,1.72,1.71
37.06,-4.05,-5.75,-4.04,-5.75,5.75,5.77,6.50,1.70,1.70,1.71
37.43,-4.05,-5.75,-4.05,-5.75,5.75,5.77,6.41,1.70,1.70,1.70
37.81,-4.05,-5.76,-4.05,-5.75,5.75,5.76,6.33,1.70,1.70,1.71
38.19,-4.05,-5.76,-4.05,-5.76,5.75,5.75,6.25,1.71,1.71,1.71
38.57,-4.05,-5.75,-4.05,-5.76,5.76,5.74,6.17,1.71,1.71,1.71
38.95,-4.05,-5.76,-4.05,-5.76,5.76,5.74,6.09,1.72,1.72,1.71
39.34,-4.05,-5.76,-4.05,-5.76,5.76,5.73,6.02,1.72,1.72,1.71
39.74,-4.05,-5.75,-4.05,-5.75,5.75,5.72,5.94,1.71,1.71,1.71
40.14,-4.05,-5.75,-4.05,-5.76,5.74,5.71,5.87,1.69,1.69,1.70
40.54,-4.05,-5.75,-4.05,-5.75,5.72,5.71,5.81,1.68,1.67,1.70
40.94,-4.05,-5.74,-4.03,-5.73,5.70,5.70,5.74,1.65,1.67,1.70
41.35,-4.00,-5.69,-3.99,-5.68,5.68,5.69,5.68,1.68,1.69,1.69
41.76,-3.94,-5.62,-3.95,-5.63,5.66,5.68,5.63,1.72,1.71,1.68
42.18,-3.92,-5.59,-3.93,-5.60,5.64,5.68,5.57,1.72,1.71,1.68
42.60,-3.93,-5.60,-3.92,-5.60,5.62,5.67,5.53,1.69,1.69,1.67
43.03,-3.95,-5.61,-3.94,-5.60,5.60,5.66,5.48,1.66,1.67,1.67
43.46,-3.95,-5.61,-3.95,-5.61,5.59,5.66,5.44,1.65,1.65,1.66
43.90,-3.95,-5.60,-3.95,-5.60,5.59,5.65,5.40,1.64,1.64,1.65
44.33,-3.95,-5.59,-3.95,-5.59,5.59,5.65,5.37,1.64,1.64,1.64
44.78,-3.95,-5.59,-3.95,-5.58,5.58,5.64,5.34,1.64,1.64,1.64
