frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.27,-3.63,-1.26,-3.63,3.63,3.11,-0.16,2.36,2.36,2.36
20.20,-1.18,-3.55,-1.18,-3.55,3.55,3.05,-0.17,2.38,2.37,2.37
20.40,-1.10,-3.48,-1.10,-3.48,3.48,2.98,-0.17,2.38,2.38,2.38
20.61,-1.01,-3.39,-1.01,-3.40,3.40,2.91,-0.17,2.39,2.39,2.38
20.81,-0.93,-3.32,-0.93,-3.32,3.31,2.85,-0.17,2.39,2.39,2.39
21.02,-0.84,-3.23,-0.83,-3.23,3.23,2.77,-0.18,2.39,2.39,2.39
21.23,-0.74,-3.14,-0.74,-3.14,3.14,2.70,-0.18,2.40,2.40,2.40
21.44,-0.64,-3.04,-0.64,-3.04,3.04,2.63,-0.18,2.40,2.40,2.40
21.66,-0.54,-2.94,-0.54,-2.94,2.94,2.55,-0.19,2.40,2.40,2.40
21.87,-0.44,-2.84,-0.43,-2.84,2.84,2.47,-0.19,2.40,2.41,2.40
22.09,-0.33,-2.74,-0.33,-2.73,2.73,2.39,-0.19,2.41,2.41,2.41
22.31,-0.22,-2.63,-0.22,-2.62,2.62,2.31,-0.19,2.41,2.41,2.41
22.54,-0.11,-2.51,-0.11,-2.51,2.51,2.22,-0.20,2.40,2.40,2.40
22.76,0.00,-2.39,0.00,-2.39,2.39,2.13,-0.20,2.40,2.40,2.39
22.99,0.11,-2.28,0.12,-2.27,2.27,2.04,-0.20,2.39,2.39,2.39
23.22,0.24,-2.15,0.24,-2.14,2.15,1.95,-0.21,2.39,2.39,2.39
23.45,0.37,-2.00,0.37,-2.01,2.01,1.86,-0.21,2.38,2.37,2.38
23.69,0.50,-1.88,0.50,-1.88,1.86,1.76,-0.21,2.36,2.36,2.38
23.92,0.63,-1.74,0.64,-1.73,1.70,1.66,-0.22,2.34,2.35,2.38
24.16,0.79,-1.58,0.79,-1.58,1.55,1.56,-0.22,2.35,2.35,2.38
24.40,0.96,-1.41,0.97,-1.41,1.41,1.46,-0.23,2.37,2.37,2.38
24.65,1.13,-1.25,1.14,-1.24,1.27,1.36,-0.23,2.40,2.41,2.38
24.89,1.30,-1.07,1.29,-1.09,1.15,1.25,-0.24,2.45,2.44,2.38
25.14,1.40,-0.97,1.39,-0.98,1.04,1.15,-0.24,2.44,2.43,2.37
25.39,1.45,-0.91,1.45,-0.91,0.94,1.04,-0.24,2.40,2.40,2.36
25.65,1.49,-0.87,1.50,-0.87,0.85,0.93,-0.25,2.35,2.35,2.36
25.91,1.54,-0.82,1.55,-0.81,0.77,0.81,-0.26,2.31,2.32,2.36
26.16,1.63,-0.73,1.64,-0.72,0.68,0.70,-0.26,2.31,2.32,2.36
26.43,1.75,-0.61,1.74,-0.62,0.58,0.58,-0.27,2.33,2.33,2.36
26.69,1.87,-0.49,1.86,-0.50,0.47,0.47,-0.28,2.34,2.33,2.36
26.96,1.98,-0.38,1.99,-0.37,0.35,0.35,-0.28,2.33,2.34,2.36
27.23,2.12,-0.24,2.13,-0.23,0.23,0.23,-0.29,2.35,2.35,2.36
27.50,2.27,-0.09,2.28,-0.08,0.11,0.11,-0.30,2.38,2.39,2.36
27.77,2.41,0.06,2.41,0.06,0.01,-0.01,-0.31,2.42,2.42,2.36
28.05,2.54,0.18,2.52,0.16,-0.09,-0.13,-0.32,2.45,2.43,2.36
28.33,2.57,0.22,2.57,0.21,-0.18,-0.25,-0.33,2.40,2.40,2.36
28.62,2.60,0.25,2.61,0.25,-0.26,-0.37,-0.34,2.34,2.35,2.36
28.90,2.63,0.27,2.65,0.29,-0.34,-0.49,-0.35,2.29,2.31,2.37
29.19,2.72,0.36,2.73,0.36,-0.42,-0.61,-0.36,2.30,2.31,2.36
29.48,2.84,0.48,2.84,0.47,-0.51,-0.73,-0.38,2.34,2.33,2.36
29.78,2.97,0.60,2.96,0.60,-0.60,-0.85,-0.39,2.37,2.36,2.37
30.08,3.09,0.72,3.09,0.72,-0.71,-0.97,-0.41,2.38,2.38,2.37
30.38,3.20,0.83,3.21,0.84,-0.82,-1.08,-0.42,2.38,2.39,2.37
30.68,3.32,0.95,3.32,0.95,-0.94,-1.19,-0.44,2.39,2.38,2.37
30.99,3.43,1.06,3.43,1.06,-1.04,-1.30,-0.46,2.39,2.38,2.37
31.30,3.52,1.15,3.52,1.15,-1.14,-1.41,-0.48,2.38,2.38,2.37
31.61,3.60,1.24,3.61,1.24,-1.22,-1.51,-0.50,2.38,2.38,2.37
31.93,3.68,1.32,3.68,1.32,-1.30,-1.61,-0.52,2.38,2.38,2.36
32.24,3.74,1.39,3.74,1.38,-1.38,-1.71,-0.54,2.37,2.36,2.35
32.57,3.79,1.44,3.79,1.44,-1.45,-1.81,-0.57,2.34,2.34,2.35
32.89,3.83,1.48,3.84,1.50,-1.52,-1.90,-0.59,2.31,2.32,2.35
33.22,3.91,1.57,3.91,1.57,-1.59,-1.98,-0.62,2.32,2.32,2.34
33.55,3.99,1.66,3.99,1.66,-1.67,-2.06,-0.65,2.33,2.33,2.34
33.89,4.08,1.76,4.08,1.75,-1.74,-2.14,-0.68,2.34,2.34,2.33
34.23,4.16,1.84,4.16,1.83,-1.82,-2.21,-0.70,2.34,2.33,2.32
34.57,4.22,1.90,4.23,1.91,-1.90,-2.28,-0.74,2.32,2.33,2.32
34.92,4.29,1.97,4.29,1.97,-1.97,-2.34,-0.77,2.32,2.32,2.32
35.27,4.36,2.04,4.36,2.05,-2.04,-2.40,-0.80,2.32,2.32,2.32
35.62,4.43,2.12,4.43,2.12,-2.11,-2.45,-0.83,2.32,2.33,2.32
35.97,4.50,2.19,4.49,2.18,-2.17,-2.50,-0.87,2.33,2.32,2.31
36.33,4.53,2.22,4.53,2.22,-2.23,-2.54,-0.91,2.31,2.31,2.31
36.70,4.57,2.26,4.57,2.27,-2.28,-2.58,-0.94,2.29,2.30,2.31
37.06,4.61,2.31,4.62,2.31,-2.33,-2.62,-0.98,2.29,2.29,2.31
37.43,4.68,2.38,4.69,2.38,-2.37,-2.65,-1.02,2.31,2.31,2.31
37.81,4.75,2.44,4.75,2.44,-2.42,-2.68,-1.06,2.34,2.33,2.31
38.19,4.80,2.49,4.79,2.48,-2.46,-2.71,-1.10,2.34,2.33,2.31
38.57,4.81,2.51,4.81,2.50,-2.50,-2.73,-1.15,2.31,2.31,2.31
38.95,4.82,2.51,4.84,2.53,-2.55,-2.75,-1.19,2.27,2.29,2.31
39.34,4.88,2.57,4.88,2.57,-2.59,-2.77,-1.24,2.29,2.29,2.31
39.74,4.95,2.64,4.94,2.63,-2.64,-2.78,-1.28,2.31,2.30,2.31
40.14,5.00,2.70,5.00,2.69,-2.68,-2.80,-1.33,2.32,2.31,2.30
