frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.50,0.49,9.50,0.48,-0.48,-0.89,-0.76,9.02,9.02,9.01
20.20,9.52,0.51,9.53,0.51,-0.51,-0.90,-0.78,9.01,9.01,9.01
20.40,9.56,0.55,9.56,0.55,-0.55,-0.92,-0.81,9.01,9.01,9.01
20.61,9.59,0.58,9.60,0.58,-0.59,-0.93,-0.83,9.00,9.01,9.01
20.81,9.64,0.63,9.63,0.62,-0.62,-0.95,-0.85,9.02,9.01,9.01
21.02,9.67,0.66,9.67,0.66,-0.66,-0.97,-0.87,9.01,9.01,9.01
21.23,9.70,0.69,9.71,0.69,-0.69,-0.98,-0.90,9.01,9.01,9.01
21.44,9.74,0.73,9.74,0.73,-0.73,-1.00,-0.92,9.01,9.01,9.01
21.66,9.78,0.77,9.78,0.77,-0.76,-1.01,-0.95,9.02,9.01,9.01
21.87,9.81,0.80,9.81,0.80,-0.80,-1.03,-0.97,9.01,9.01,9.01
22.09,9.84,0.83,9.84,0.83,-0.84,-1.05,-1.00,9.01,9.01,9.01
22.31,9.87,0.86,9.88,0.87,-0.87,-1.06,-1.02,9.00,9.01,9.01
22.54,9.92,0.91,9.91,0.91,-0.90,-1.08,-1.05,9.02,9.01,9.01
22.76,9.95,0.94,9.95,0.94,-0.94,-1.10,-1.08,9.01,9.01,9.01
22.99,9.98,0.97,9.98,0.97,-0.97,-1.11,-1.11,9.01,9.01,9.01
23.22,10.01,1.00,10.01,1.01,-1.01,-1.13,-1.14,9.00,9.01,9.01
23.45,10.04,1.03,10.05,1.04,-1.04,-1.15,-1.17,9.00,9.01,9.01
23.69,10.09,1.08,10.08,1.07,-1.07,-1.17,-1.20,9.02,9.01,9.01
23.92,10.11,1.11,10.11,1.11,-1.10,-1.19,-1.23,9.01,9.01,9.01
24.16,10.13,1.13,10.13,1.13,-1.13,-1.20,-1.26,9.00,9.01,9.01
24.40,10.16,1.16,10.15,1.15,-1.16,-1.22,-1.30,9.00,9.00,9.00
24.65,10.17,1.17,10.19,1.18,-1.19,-1.24,-1.33,8.99,9.00,9.00
24.89,10.22,1.22,10.21,1.21,-1.21,-1.26,-1.36,9.01,9.00,9.00
25.14,10.25,1.25,10.24,1.24,-1.24,-1.28,-1.40,9.01,9.00,9.00
25.39,10.26,1.26,10.28,1.27,-1.27,-1.30,-1.43,8.99,9.01,9.00
25.65,10.30,1.30,10.30,1.30,-1.30,-1.32,-1.46,9.00,9.00,9.00
