frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.46,-1.21,4.46,-1.22,1.23,0.33,0.06,5.69,5.68,5.68
20.20,4.47,-1.20,4.48,-1.19,1.19,0.33,0.06,5.67,5.68,5.68
20.40,4.51,-1.16,4.51,-1.16,1.16,0.32,0.06,5.67,5.67,5.68
20.61,4.55,-1.12,4.55,-1.13,1.12,0.32,0.06,5.67,5.67,5.68
20.81,4.58,-1.09,4.59,-1.09,1.09,0.32,0.07,5.67,5.67,5.68
21.02,4.62,-1.05,4.62,-1.05,1.05,0.31,0.07,5.67,5.68,5.67
21.23,4.66,-1.01,4.66,-1.02,1.02,0.31,0.07,5.68,5.67,5.67
21.44,4.69,-0.98,4.69,-0.98,0.98,0.30,0.08,5.67,5.67,5.67
21.66,4.72,-0.95,4.73,-0.94,0.94,0.30,0.08,5.67,5.67,5.67
21.87,4.77,-0.90,4.77,-0.91,0.91,0.30,0.08,5.68,5.67,5.67
22.09,4.80,-0.87,4.80,-0.87,0.87,0.29,0.09,5.67,5.67,5.67
22.31,4.83,-0.84,4.83,-0.84,0.84,0.29,0.09,5.67,5.67,5.67
22.54,4.86,-0.81,4.87,-0.80,0.80,0.28,0.09,5.66,5.67,5.67
22.76,4.90,-0.77,4.90,-0.77,0.77,0.28,0.10,5.67,5.67,5.67
22.99,4.94,-0.73,4.94,-0.73,0.73,0.27,0.10,5.67,5.67,5.67
23.22,4.97,-0.70,4.97,-0.70,0.70,0.27,0.11,5.67,5.67,5.67
23.45,5.00,-0.66,5.00,-0.66,0.67,0.27,0.11,5.67,5.67,5.67
23.69,5.03,-0.63,5.03,-0.63,0.63,0.26,0.11,5.66,5.67,5.67
23.92,5.06,-0.60,5.06,-0.60,0.60,0.26,0.12,5.66,5.66,5.67
24.16,5.09,-0.57,5.09,-0.57,0.57,0.25,0.12,5.66,5.66,5.67
24.40,5.12,-0.54,5.13,-0.54,0.54,0.25,0.13,5.66,5.67,5.66
24.65,5.16,-0.50,5.16,-0.51,0.51,0.24,0.13,5.67,5.67,5.66
