frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.23,4.59,9.23,4.59,-4.59,-4.12,-1.97,4.65,4.65,4.65
20.20,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.03,4.65,4.65,4.65
20.40,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.09,4.65,4.65,4.65
20.61,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.15,4.65,4.65,4.65
20.81,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.21,4.64,4.64,4.64
21.02,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.28,4.64,4.64,4.64
21.23,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.34,4.64,4.64,4.64
21.44,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.41,4.64,4.64,4.64
21.66,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.48,4.64,4.64,4.64
21.87,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.55,4.64,4.64,4.64
22.09,9.23,4.59,9.23,4.59,-4.59,-4.12,-2.63,4.64,4.64,4.64
22.31,9.23,4.59,9.23,4.59,-4.60,-4.12,-2.70,4.64,4.64,4.64
22.54,9.23,4.59,9.23,4.59,-4.59,-4.13,-2.78,4.64,4.64,4.64
22.76,9.23,4.59,9.24,4.60,-4.59,-4.13,-2.86,4.64,4.64,4.64
22.99,9.23,4.59,9.23,4.59,-4.58,-4.13,-2.94,4.65,4.65,4.64
23.22,9.23,4.59,9.22,4.58,-4.57,-4.13,-3.02,4.66,4.65,4.64
23.45,9.20,4.56,9.21,4.57,-4.56,-4.13,-3.11,4.64,4.65,4.64
23.69,9.18,4.55,9.19,4.55,-4.55,-4.13,-3.20,4.63,4.64,4.64
23.92,9.18,4.55,9.17,4.53,-4.54,-4.13,-3.29,4.64,4.63,4.64
24.16,9.14,4.51,9.15,4.52,-4.53,-4.13,-3.38,4.61,4.63,4.63
24.40,9.14,4.51,9.14,4.51,-4.52,-4.13,-3.47,4.62,4.63,4.63
24.65,9.14,4.51,9.14,4.51,-4.51,-4.13,-3.56,4.63,4.63,4.63
24.89,9.14,4.51,9.14,4.51,-4.51,-4.13,-3.66,4.63,4.63,4.63
25.14,9.14,4.51,9.14,4.51,-4.51,-4.13,-3.75,4.64,4.64,4.63
25.39,9.14,4.51,9.14,4.51,-4.51,-4.13,-3.85,4.63,4.63,4.63
25.65,9.14,4.51,9.14,4.51,-4.51,-4.14,-3.94,4.63,4.63,4.63
25.91,9.14,4.51,9.14,4.51,-4.51,-4.14,-4.04,4.63,4.63,4.63
26.16,9.14,4.52,9.14,4.52,-4.52,-4.14,-4.14,4.62,4.62,4.63
26.43,9.14,4.52,9.14,4.52,-4.52,-4.14,-4.23,4.62,4.62,4.63
26.69,9.14,4.52,9.14,4.52,-4.52,-4.14,-4.33,4.62,4.62,4.62
26.96,9.14,4.52,9.14,4.52,-4.52,-4.14,-4.42,4.62,4.62,4.62
27.23,9.14,4.52,9.15,4.52,-4.51,-4.14,-4.51,4.63,4.63,4.62
27.50,9.14,4.52,9.14,4.52,-4.51,-4.14,-4.60,4.64,4.63,4.62
27.77,9.14,4.52,9.13,4.51,-4.49,-4.14,-4.69,4.65,4.63,4.62
28.05,9.09,4.47,9.10,4.49,-4.48,-4.14,-4.77,4.61,4.62,4.62
28.33,9.08,4.47,9.07,4.46,-4.47,-4.14,-4.85,4.62,4.61,4.62
28.62,9.04,4.43,9.05,4.44,-4.45,-4.14,-4.93,4.59,4.60,4.61
28.90,9.04,4.43,9.04,4.43,-4.44,-4.15,-4.99,4.61,4.61,4.61
29.19,9.04,4.43,9.03,4.42,-4.43,-4.15,-5.06,4.62,4.61,4.61
29.48,9.02,4.41,9.03,4.42,-4.42,-4.15,-5.12,4.60,4.61,4.61
29.78,9.02,4.41,9.02,4.42,-4.42,-4.15,-5.17,4.60,4.60,4.61
30.08,9.02,4.42,9.02,4.41,-4.42,-4.15,-5.22,4.60,4.60,4.61
30.38,9.02,4.42,9.02,4.42,-4.42,-4.15,-5.26,4.60,4.60,4.60
30.68,9.02,4.42,9.03,4.43,-4.42,-4.15,-5.29,4.60,4.61,4.60
30.99,9.03,4.43,9.03,4.43,-4.42,-4.15,-5.32,4.61,4.61,4.60
31.30,9.04,4.44,9.03,4.43,-4.41,-4.15,-5.33,4.63,4.62,4.60
31.61,9.00,4.41,9.01,4.41,-4.40,-4.15,-5.34,4.60,4.61,4.60
31.93,8.98,4.39,8.99,4.39,-4.39,-4.15,-5.35,4.60,4.60,4.59
32.24,8.95,4.36,8.96,4.37,-4.37,-4.15,-5.34,4.58,4.59,4.59
32.57,8.95,4.36,8.94,4.35,-4.36,-4.15,-5.33,4.59,4.58,4.59
32.89,8.91,4.33,8.92,4.33,-4.35,-4.15,-5.31,4.57,4.57,4.59
33.22,8.90,4.32,8.91,4.32,-4.34,-4.16,-5.29,4.57,4.57,4.58
33.55,8.90,4.32,8.90,4.32,-4.33,-4.16,-5.26,4.57,4.57,4.58
33.89,8.90,4.32,8.90,4.33,-4.32,-4.16,-5.22,4.58,4.58,4.58
34.23,8.90,4.33,8.90,4.33,-4.32,-4.16,-5.18,4.59,4.59,4.57
34.57,8.90,4.33,8.90,4.32,-4.31,-4.16,-5.14,4.59,4.59,4.57
34.92,8.88,4.31,8.89,4.32,-4.30,-4.16,-5.09,4.58,4.58,4.57
35.27,8.86,4.30,8.86,4.30,-4.30,-4.16,-5.04,4.57,4.57,4.56
35.62,8.85,4.29,8.84,4.28,-4.29,-4.16,-4.99,4.56,4.55,4.56
35.97,8.81,4.25,8.82,4.27,-4.28,-4.16,-4.93,4.53,4.54,4.56
36.33,8.81,4.26,8.81,4.26,-4.27,-4.16,-4.87,4.54,4.54,4.55
36.70,8.81,4.26,8.81,4.26,-4.26,-4.16,-4.81,4.55,4.54,4.55
37.06,8.81,4.27,8.82,4.27,-4.26,-4.16,-4.75,4.55,4.56,4.55
37.43,8.81,4.27,8.81,4.27,-4.25,-4.16,-4.69,4.56,4.55,4.54
37.81,8.80,4.26,8.79,4.25,-4.25,-4.16,-4.63,4.55,4.54,4.54
38.19,8.76,4.23,8.78,4.24,-4.24,-4.16,-4.57,4.52,4.53,4.53
38.57,8.76,4.23,8.76,4.23,-4.24,-4.16,-4.51,4.52,4.52,4.53
38.95,8.76,4.24,8.75,4.23,-4.24,-4.16,-4.45,4.53,4.52,4.52
39.34,8.74,4.22,8.75,4.23,-4.23,-4.16,-4.40,4.51,4.52,4.52
39.74,8.74,4.23,8.74,4.22,-4.23,-4.15,-4.34,4.52,4.51,4.51
40.14,8.72,4.21,8.73,4.22,-4.22,-4.15,-4.29,4.50,4.50,4.51
40.54,8.72,4.22,8.73,4.23,-4.22,-4.15,-4.24,4.50,4.51,4.50
40.94,8.72,4.23,8.72,4.22,-4.22,-4.15,-4.19,4.50,4.50,4.50
41.35,8.72,4.23,8.71,4.22,-4.21,-4.15,-4.14,4.51,4.49,4.49
41.76,8.67,4.19,8.69,4.21,-4.21,-4.15,-4.10,4.46,4.48,4.48
42.18,8.67,4.19,8.67,4.20,-4.20,-4.15,-4.06,4.47,4.48,4.48
42.60,8.67,4.20,8.66,4.19,-4.19,-4.14,-4.02,4.49,4.47,4.47
43.03,8.64,4.18,8.65,4.18,-4.17,-4.14,-3.99,4.47,4.47,4.46
43.46,8.62,4.17,8.62,4.16,-4.16,-4.14,-3.95,4.47,4.46,4.46
43.90,8.58,4.13,8.59,4.14,-4.14,-4.14,-3.93,4.44,4.44,4.45
44.33,8.56,4.12,8.56,4.12,-4.13,-4.14,-3.90,4.43,4.44,4.44
44.78,8.53,4.10,8.54,4.11,-4.11,-4.13,-3.88,4.42,4.42,4.43
45.23,8.53,4.11,8.52,4.09,-4.10,-4.13,-3.86,4.43,4.42,4.42
45.68,8.49,4.08,8.50,4.09,-4.09,-4.13,-3.84,4.41,4.42,4.42
46.13,8.48,4.07,8.48,4.08,-4.07,-4.12,-3.82,4.41,4.41,4.41
46.60,8.47,4.07,8.47,4.07,-4.06,-4.12,-3.81,4.41,4.41,4.40
47.06,8.44,4.05,8.45,4.06,-4.05,-4.12,-3.80,4.40,4.40,4.39
47.53,8.42,4.04,8.41,4.04,-4.03,-4.11,-3.80,4.39,4.38,4.38
48.01,8.38,4.01,8.38,4.02,-4.02,-4.11,-3.79,4.36,4.37,4.37
48.49,8.34,3.98,8.35,4.00,-4.00,-4.10,-3.79,4.34,4.35,4.36
48.97,8.34,4.00,8.33,3.99,-3.99,-4.10,-3.80,4.35,4.34,4.35
49.46,8.30,3.97,8.31,3.97,-3.97,-4.09,-3.80,4.33,4.34,4.34
49.96,8.30,3.98,8.29,3.97,-3.96,-4.09,-3.81,4.34,4.33,4.32
50.46,8.25,3.94,8.27,3.95,-3.95,-4.08,-3.81,4.30,4.31,4.31
50.96,8.25,3.95,8.24,3.95,-3.95,-4.07,-3.82,4.30,4.30,4.30
