frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.37,1.15,7.37,1.15,-1.14,-1.18,-0.60,6.23,6.22,6.22
20.20,7.37,1.15,7.37,1.15,-1.15,-1.19,-0.61,6.22,6.22,6.22
20.40,7.37,1.15,7.38,1.16,-1.16,-1.19,-0.63,6.21,6.22,6.22
20.61,7.37,1.15,7.38,1.16,-1.17,-1.20,-0.65,6.20,6.21,6.22
20.81,7.41,1.19,7.40,1.18,-1.18,-1.20,-0.67,6.23,6.22,6.22
21.02,7.41,1.19,7.41,1.19,-1.19,-1.21,-0.69,6.22,6.22,6.22
21.23,7.41,1.19,7.41,1.19,-1.19,-1.21,-0.71,6.22,6.22,6.22
21.44,7.41,1.19,7.41,1.19,-1.20,-1.22,-0.73,6.21,6.21,6.22
21.66,7.41,1.19,7.42,1.21,-1.21,-1.22,-0.75,6.20,6.21,6.22
21.87,7.45,1.23,7.44,1.22,-1.22,-1.22,-0.78,6.23,6.22,6.22
22.09,7.45,1.23,7.45,1.23,-1.22,-1.23,-0.80,6.23,6.23,6.22
22.31,7.45,1.23,7.45,1.24,-1.23,-1.23,-0.82,6.22,6.22,6.22
22.54,7.45,1.24,7.45,1.23,-1.24,-1.24,-0.85,6.21,6.21,6.21
22.76,7.45,1.24,7.45,1.24,-1.25,-1.24,-0.87,6.20,6.20,6.21
22.99,7.45,1.24,7.46,1.25,-1.26,-1.25,-0.90,6.19,6.20,6.21
23.22,7.48,1.27,7.48,1.26,-1.26,-1.25,-0.92,6.22,6.21,6.21
23.45,7.50,1.29,7.49,1.28,-1.27,-1.26,-0.95,6.23,6.22,6.21
23.69,7.50,1.29,7.50,1.29,-1.28,-1.26,-0.98,6.22,6.23,6.21
23.92,7.50,1.29,7.50,1.29,-1.29,-1.27,-1.01,6.21,6.22,6.21
24.16,7.50,1.29,7.50,1.29,-1.30,-1.27,-1.04,6.20,6.20,6.21
24.40,7.50,1.29,7.50,1.29,-1.30,-1.28,-1.06,6.20,6.20,6.21
24.65,7.51,1.30,7.51,1.30,-1.31,-1.28,-1.09,6.20,6.20,6.21
24.89,7.52,1.31,7.52,1.31,-1.31,-1.29,-1.12,6.21,6.21,6.21
25.14,7.54,1.33,7.53,1.33,-1.32,-1.29,-1.15,6.22,6.22,6.21
25.39,7.54,1.33,7.54,1.33,-1.32,-1.30,-1.18,6.22,6.22,6.21
25.65,7.54,1.33,7.54,1.34,-1.33,-1.30,-1.21,6.21,6.21,6.21
25.91,7.54,1.33,7.54,1.33,-1.34,-1.31,-1.24,6.20,6.20,6.21
26.16,7.54,1.34,7.54,1.33,-1.35,-1.31,-1.28,6.19,6.19,6.20
26.43,7.54,1.34,7.55,1.34,-1.35,-1.32,-1.31,6.19,6.19,6.20
26.69,7.56,1.36,7.56,1.36,-1.36,-1.32,-1.34,6.20,6.20,6.20
26.96,7.58,1.38,7.57,1.37,-1.37,-1.33,-1.37,6.21,6.21,6.20
27.23,7.58,1.38,7.58,1.38,-1.37,-1.33,-1.40,6.21,6.21,6.20
27.50,7.58,1.38,7.58,1.38,-1.38,-1.34,-1.42,6.20,6.21,6.20
27.77,7.58,1.38,7.58,1.38,-1.38,-1.35,-1.45,6.20,6.20,6.20
28.05,7.58,1.38,7.58,1.38,-1.38,-1.35,-1.48,6.20,6.20,6.20
28.33,7.58,1.38,7.58,1.38,-1.39,-1.36,-1.51,6.19,6.19,6.20
28.62,7.58,1.39,7.58,1.38,-1.39,-1.36,-1.53,6.19,6.19,6.19
28.90,7.58,1.39,7.58,1.39,-1.39,-1.37,-1.56,6.19,6.19,6.19
29.19,7.58,1.39,7.58,1.39,-1.40,-1.37,-1.58,6.18,6.18,6.19
29.48,7.60,1.41,7.59,1.40,-1.41,-1.38,-1.60,6.19,6.19,6.19
29.78,7.60,1.41,7.61,1.42,-1.42,-1.38,-1.62,6.18,6.19,6.19
30.08,7.63,1.44,7.62,1.43,-1.43,-1.39,-1.64,6.20,6.19,6.19
30.38,7.63,1.44,7.63,1.44,-1.44,-1.39,-1.65,6.19,6.19,6.19
30.68,7.63,1.45,7.63,1.45,-1.44,-1.40,-1.67,6.19,6.19,6.18
30.99,7.63,1.45,7.63,1.45,-1.45,-1.41,-1.68,6.18,6.18,6.18
31.30,7.63,1.45,7.63,1.45,-1.45,-1.41,-1.69,6.18,6.18,6.18
31.61,7.63,1.45,7.63,1.45,-1.45,-1.42,-1.70,6.18,6.18,6.18
31.93,7.63,1.45,7.63,1.45,-1.45,-1.42,-1.71,6.18,6.18,6.18
32.24,7.63,1.46,7.63,1.46,-1.46,-1.43,-1.71,6.17,6.17,6.17
32.57,7.63,1.46,7.63,1.46,-1.46,-1.44,-1.71,6.17,6.17,6.17
32.89,7.63,1.46,7.63,1.46,-1.46,-1.44,-1.72,6.17,6.17,6.17
33.22,7.63,1.46,7.63,1.46,-1.46,-1.45,-1.72,6.17,6.16,6.17
33.55,7.63,1.47,7.63,1.47,-1.47,-1.45,-1.71,6.16,6.16,6.16
33.89,7.63,1.47,7.64,1.47,-1.48,-1.46,-1.71,6.15,6.16,6.16
34.23,7.65,1.49,7.64,1.48,-1.49,-1.47,-1.71,6.16,6.16,6.16
