frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.37,0.00,5.38,0.01,-0.00,-0.15,-0.22,5.37,5.37,5.37
20.20,5.40,0.03,5.39,0.02,-0.02,-0.15,-0.23,5.38,5.37,5.37
20.40,5.40,0.04,5.41,0.04,-0.04,-0.15,-0.23,5.36,5.36,5.37
20.61,5.42,0.06,5.42,0.06,-0.06,-0.16,-0.24,5.36,5.36,5.37
20.81,5.45,0.09,5.44,0.08,-0.08,-0.16,-0.25,5.37,5.36,5.36
21.02,5.46,0.10,5.46,0.10,-0.10,-0.16,-0.25,5.36,5.36,5.36
21.23,5.49,0.13,5.48,0.12,-0.12,-0.17,-0.26,5.37,5.36,5.36
21.44,5.49,0.13,5.50,0.14,-0.14,-0.17,-0.27,5.35,5.36,5.36
21.66,5.53,0.17,5.52,0.16,-0.16,-0.17,-0.27,5.37,5.36,5.36
21.87,5.54,0.18,5.54,0.18,-0.18,-0.18,-0.28,5.36,5.36,5.36
22.09,5.56,0.20,5.56,0.20,-0.20,-0.18,-0.29,5.36,5.36,5.36
22.31,5.59,0.23,5.58,0.22,-0.22,-0.18,-0.30,5.37,5.36,5.36
22.54,5.59,0.23,5.60,0.24,-0.24,-0.19,-0.31,5.36,5.37,5.36
22.76,5.63,0.27,5.62,0.26,-0.25,-0.19,-0.32,5.38,5.37,5.36
22.99,5.63,0.27,5.62,0.26,-0.27,-0.20,-0.33,5.36,5.36,5.36
23.22,5.63,0.27,5.64,0.28,-0.28,-0.20,-0.33,5.35,5.36,5.36
23.45,5.63,0.27,5.65,0.29,-0.29,-0.20,-0.34,5.34,5.35,5.36
23.69,5.68,0.32,5.66,0.30,-0.31,-0.21,-0.35,5.37,5.36,5.36
23.92,5.68,0.32,5.68,0.32,-0.32,-0.21,-0.36,5.36,5.36,5.36
24.16,5.68,0.32,5.69,0.34,-0.33,-0.22,-0.37,5.35,5.36,5.36
24.40,5.70,0.34,5.70,0.35,-0.35,-0.22,-0.38,5.35,5.36,5.36
24.65,5.73,0.37,5.72,0.36,-0.36,-0.22,-0.39,5.37,5.36,5.36
24.89,5.73,0.38,5.74,0.38,-0.38,-0.23,-0.40,5.35,5.36,5.36
25.14,5.74,0.39,5.75,0.39,-0.40,-0.23,-0.41,5.35,5.35,5.35
25.39,5.77,0.42,5.76,0.41,-0.41,-0.24,-0.42,5.36,5.35,5.35
25.65,5.77,0.42,5.78,0.43,-0.43,-0.24,-0.43,5.34,5.35,5.35
25.91,5.81,0.46,5.80,0.45,-0.45,-0.25,-0.44,5.36,5.35,5.35
26.16,5.82,0.47,5.82,0.47,-0.47,-0.25,-0.46,5.35,5.35,5.35
26.43,5.82,0.47,5.84,0.49,-0.48,-0.26,-0.47,5.34,5.36,5.35
26.69,5.87,0.52,5.86,0.51,-0.50,-0.26,-0.48,5.37,5.36,5.35
26.96,5.87,0.52,5.87,0.52,-0.52,-0.27,-0.49,5.35,5.35,5.35
27.23,5.87,0.52,5.87,0.53,-0.53,-0.27,-0.50,5.34,5.35,5.35
27.50,5.87,0.52,5.88,0.53,-0.54,-0.28,-0.51,5.33,5.34,5.35
27.77,5.89,0.55,5.89,0.55,-0.55,-0.28,-0.52,5.34,5.34,5.34
28.05,5.91,0.57,5.90,0.56,-0.55,-0.29,-0.53,5.36,5.35,5.34
28.33,5.91,0.57,5.91,0.57,-0.56,-0.29,-0.54,5.35,5.35,5.34
28.62,5.91,0.57,5.91,0.57,-0.57,-0.30,-0.54,5.34,5.34,5.34
28.90,5.91,0.57,5.91,0.57,-0.58,-0.30,-0.55,5.33,5.33,5.34
29.19,5.91,0.57,5.91,0.57,-0.59,-0.31,-0.56,5.32,5.32,5.34
29.48,5.91,0.57,5.93,0.59,-0.60,-0.32,-0.57,5.31,5.33,5.34
29.78,5.96,0.63,5.94,0.61,-0.61,-0.32,-0.58,5.35,5.34,5.34
30.08,5.96,0.63,5.96,0.62,-0.61,-0.33,-0.58,5.35,5.35,5.33
30.38,5.96,0.63,5.97,0.63,-0.62,-0.33,-0.59,5.34,5.35,5.33
30.68,5.96,0.63,5.96,0.63,-0.63,-0.34,-0.59,5.33,5.34,5.33
30.99,5.96,0.63,5.96,0.63,-0.63,-0.35,-0.60,5.33,5.33,5.33
31.30,5.96,0.63,5.96,0.63,-0.64,-0.35,-0.60,5.32,5.32,5.33
31.61,5.96,0.64,5.96,0.63,-0.65,-0.36,-0.61,5.31,5.31,5.32
31.93,5.96,0.64,5.97,0.65,-0.66,-0.37,-0.61,5.31,5.31,5.32
32.24,5.98,0.66,5.98,0.66,-0.66,-0.37,-0.62,5.32,5.32,5.32
32.57,6.01,0.69,6.00,0.68,-0.67,-0.38,-0.62,5.34,5.33,5.32
32.89,6.01,0.69,6.01,0.70,-0.68,-0.39,-0.62,5.33,5.33,5.32
33.22,6.01,0.70,6.01,0.70,-0.69,-0.39,-0.62,5.32,5.32,5.31
33.55,6.01,0.70,6.01,0.70,-0.71,-0.40,-0.62,5.31,5.30,5.31
33.89,6.01,0.70,6.01,0.70,-0.72,-0.41,-0.63,5.29,5.30,5.31
34.23,6.01,0.71,6.02,0.72,-0.73,-0.42,-0.63,5.29,5.30,5.31
34.57,6.05,0.75,6.04,0.73,-0.73,-0.43,-0.63,5.32,5.30,5.30
34.92,6.05,0.75,6.05,0.75,-0.74,-0.43,-0.63,5.31,5.31,5.30
35.27,6.05,0.75,6.05,0.76,-0.75,-0.44,-0.63,5.30,5.31,5.30
35.62,6.05,0.76,6.05,0.76,-0.76,-0.45,-0.63,5.30,5.30,5.29
35.97,6.05,0.76,6.05,0.76,-0.76,-0.46,-0.63,5.29,5.29,5.29
36.33,6.05,0.76,6.05,0.76,-0.77,-0.47,-0.63,5.28,5.28,5.29
36.70,6.05,0.77,6.05,0.77,-0.77,-0.48,-0.63,5.28,5.28,5.28
37.06,6.05,0.77,6.05,0.77,-0.77,-0.48,-0.63,5.28,5.28,5.28
37.43,6.05,0.77,6.05,0.77,-0.77,-0.49,-0.63,5.28,5.28,5.28
37.81,6.05,0.78,6.05,0.78,-0.78,-0.50,-0.63,5.27,5.27,5.27
38.19,6.05,0.78,6.05,0.78,-0.78,-0.51,-0.63,5.27,5.27,5.27
38.57,6.05,0.79,6.05,0.79,-0.79,-0.52,-0.63,5.26,5.26,5.26
38.95,6.05,0.79,6.05,0.79,-0.79,-0.53,-0.63,5.26,5.26,5.26
39.34,6.05,0.80,6.05,0.80,-0.80,-0.54,-0.63,5.25,5.25,5.25
39.74,6.05,0.80,6.05,0.80,-0.80,-0.55,-0.63,5.25,5.25,5.25
40.14,6.05,0.81,6.05,0.81,-0.81,-0.56,-0.64,5.24,5.24,5.24
40.54,6.05,0.81,6.05,0.81,-0.81,-0.57,-0.64,5.24,5.24,5.24
40.94,6.05,0.82,6.05,0.82,-0.82,-0.58,-0.64,5.23,5.23,5.23
41.35,6.05,0.82,6.05,0.82,-0.82,-0.59,-0.64,5.23,5.23,5.23
41.76,6.05,0.83,6.05,0.83,-0.83,-0.60,-0.65,5.22,5.22,5.22
42.18,6.05,0.83,6.05,0.83,-0.83,-0.61,-0.65,5.22,5.22,5.22
42.60,6.05,0.84,6.05,0.84,-0.84,-0.62,-0.66,5.21,5.22,5.21
43.03,6.05,0.85,6.05,0.85,-0.84,-0.63,-0.66,5.21,5.21,5.20
43.46,6.05,0.85,6.04,0.85,-0.84,-0.65,-0.67,5.21,5.20,5.20
43.90,6.03,0.84,6.03,0.84,-0.84,-0.66,-0.67,5.19,5.19,5.19
44.33,6.01,0.83,6.02,0.84,-0.84,-0.67,-0.68,5.17,5.17,5.18
44.78,6.01,0.84,6.01,0.83,-0.85,-0.68,-0.69,5.16,5.16,5.17
45.23,6.01,0.84,6.01,0.84,-0.85,-0.69,-0.69,5.16,5.16,5.17
45.68,6.01,0.85,6.01,0.85,-0.85,-0.71,-0.70,5.16,5.16,5.16
46.13,6.01,0.86,6.01,0.86,-0.85,-0.72,-0.71,5.16,5.16,5.15
46.60,6.01,0.87,6.01,0.87,-0.86,-0.73,-0.72,5.16,5.16,5.14
47.06,6.01,0.88,6.00,0.87,-0.86,-0.74,-0.73,5.15,5.14,5.13
47.53,5.98,0.86,5.98,0.86,-0.86,-0.76,-0.74,5.12,5.12,5.12
48.01,5.96,0.85,5.97,0.86,-0.86,-0.77,-0.75,5.10,5.10,5.11
48.49,5.96,0.86,5.96,0.86,-0.87,-0.78,-0.76,5.09,5.09,5.10
48.97,5.96,0.87,5.96,0.87,-0.87,-0.80,-0.77,5.09,5.08,5.09
49.46,5.96,0.88,5.96,0.88,-0.88,-0.81,-0.78,5.08,5.08,5.08
49.96,5.96,0.89,5.96,0.89,-0.89,-0.82,-0.80,5.07,5.07,5.07
50.46,5.96,0.90,5.96,0.90,-0.90,-0.84,-0.81,5.06,5.06,5.06
50.96,5.96,0.91,5.96,0.91,-0.91,-0.85,-0.82,5.05,5.05,5.05
51.47,5.96,0.93,5.97,0.93,-0.92,-0.87,-0.84,5.04,5.05,5.03
51.99,5.96,0.94,5.96,0.94,-0.93,-0.88,-0.85,5.03,5.03,5.02
52.51,5.96,0.95,5.94,0.94,-0.94,-0.90,-0.86,5.03,5.01,5.01
53.03,5.91,0.92,5.93,0.94,-0.94,-0.91,-0.88,4.97,4.99,4.99
53.56,5.91,0.93,5.91,0.94,-0.95,-0.93,-0.89,4.96,4.96,4.98
54.10,5.91,0.95,5.91,0.94,-0.96,-0.94,-0.91,4.95,4.95,4.96
54.64,5.91,0.96,5.91,0.97,-0.96,-0.96,-0.92,4.95,4.95,4.95
55.18,5.91,0.98,5.91,0.98,-0.97,-0.98,-0.94,4.94,4.94,4.93
55.74,5.91,1.00,5.90,0.99,-0.98,-0.99,-0.95,4.93,4.92,4.91
56.29,5.88,0.98,5.89,0.99,-0.99,-1.01,-0.97,4.89,4.90,4.90
56.86,5.87,0.99,5.88,1.00,-1.00,-1.03,-0.98,4.87,4.88,4.88
57.42,5.87,1.01,5.87,1.00,-1.01,-1.04,-0.99,4.87,4.86,4.86
58.00,5.87,1.03,5.85,1.01,-1.01,-1.06,-1.01,4.86,4.84,4.84
58.58,5.82,1.00,5.84,1.01,-1.02,-1.08,-1.02,4.80,4.82,4.82
59.16,5.82,1.02,5.82,1.02,-1.03,-1.09,-1.04,4.79,4.79,4.80
59.76,5.82,1.04,5.82,1.04,-1.04,-1.11,-1.05,4.78,4.78,4.78
60.35,5.82,1.06,5.82,1.06,-1.05,-1.13,-1.07,4.77,4.77,4.76
60.96,5.81,1.07,5.80,1.07,-1.06,-1.15,-1.08,4.75,4.75,4.74
61.57,5.77,1.06,5.78,1.07,-1.07,-1.17,-1.09,4.71,4.72,4.71
62.18,5.77,1.08,5.76,1.07,-1.08,-1.19,-1.11,4.70,4.69,4.69
62.80,5.74,1.07,5.75,1.08,-1.08,-1.20,-1.12,4.66,4.66,4.67
63.43,5.73,1.09,5.74,1.09,-1.09,-1.22,-1.13,4.64,4.64,4.64
64.07,5.73,1.11,5.72,1.10,-1.10,-1.24,-1.14,4.63,4.61,4.62
64.71,5.70,1.11,5.70,1.11,-1.11,-1.26,-1.15,4.59,4.59,4.59
65.35,5.68,1.12,5.69,1.13,-1.13,-1.28,-1.17,4.55,4.57,4.56
66.01,5.68,1.15,5.68,1.14,-1.14,-1.30,-1.18,4.54,4.53,4.53
66.67,5.68,1.18,5.66,1.16,-1.16,-1.32,-1.19,4.52,4.50,4.51
67.33,5.63,1.16,5.65,1.17,-1.18,-1.34,-1.20,4.45,4.47,4.48
68.01,5.63,1.19,5.64,1.19,-1.19,-1.36,-1.21,4.44,4.44,4.44
68.69,5.63,1.22,5.62,1.21,-1.21,-1.38,-1.22,4.42,4.41,4.41
69.37,5.63,1.25,5.62,1.24,-1.23,-1.40,-1.24,4.40,4.39,4.38
70.07,5.59,1.24,5.61,1.26,-1.25,-1.42,-1.25,4.34,4.36,4.35
70.77,5.59,1.28,5.58,1.27,-1.27,-1.44,-1.26,4.32,4.31,4.31
71.48,5.57,1.29,5.57,1.29,-1.29,-1.47,-1.27,4.28,4.28,4.28
72.19,5.54,1.30,5.55,1.31,-1.31,-1.49,-1.29,4.23,4.24,4.24
72.91,5.54,1.33,5.53,1.32,-1.33,-1.51,-1.30,4.21,4.20,4.21
73.64,5.51,1.34,5.51,1.34,-1.34,-1.53,-1.31,4.17,4.17,4.17
74.38,5.49,1.36,5.50,1.36,-1.36,-1.55,-1.33,4.13,4.13,4.13
75.12,5.49,1.40,5.48,1.39,-1.38,-1.57,-1.34,4.11,4.10,4.09
75.87,5.45,1.40,5.46,1.41,-1.41,-1.60,-1.36,4.05,4.05,4.05
76.63,5.45,1.44,5.44,1.42,-1.43,-1.62,-1.38,4.02,4.01,4.01
77.40,5.40,1.43,5.42,1.45,-1.45,-1.64,-1.39,3.95,3.97,3.97
78.17,5.40,1.47,5.40,1.47,-1.47,-1.66,-1.41,3.93,3.93,3.93
78.95,5.40,1.51,5.38,1.50,-1.50,-1.69,-1.43,3.91,3.89,3.89
79.74,5.35,1.51,5.37,1.52,-1.52,-1.71,-1.45,3.83,3.85,3.84
80.54,5.35,1.55,5.34,1.55,-1.54,-1.73,-1.48,3.81,3.80,3.80
81.35,5.31,1.56,5.32,1.57,-1.57,-1.76,-1.50,3.74,3.75,3.75
82.16,5.31,1.61,5.30,1.59,-1.60,-1.78,-1.52,3.71,3.70,3.70
82.98,5.26,1.60,5.28,1.62,-1.63,-1.80,-1.55,3.63,3.65,3.66
83.81,5.26,1.65,5.26,1.65,-1.65,-1.83,-1.58,3.61,3.61,3.61
84.65,5.26,1.70,5.24,1.68,-1.68,-1.85,-1.60,3.58,3.56,3.56
85.50,5.21,1.70,5.23,1.72,-1.71,-1.87,-1.63,3.50,3.52,3.51
86.35,5.21,1.75,5.20,1.74,-1.74,-1.90,-1.66,3.47,3.47,3.46
87.22,5.18,1.77,5.18,1.77,-1.77,-1.92,-1.69,3.41,3.41,3.41
88.09,5.15,1.79,5.15,1.80,-1.79,-1.95,-1.73,3.36,3.36,3.36
88.97,5.12,1.81,5.12,1.81,-1.81,-1.97,-1.76,3.31,3.31,3.31
89.86,5.09,1.84,5.09,1.84,-1.83,-1.99,-1.80,3.26,3.26,3.25
90.76,5.05,1.85,5.06,1.86,-1.86,-2.02,-1.84,3.20,3.20,3.20
91.66,5.03,1.88,5.02,1.88,-1.88,-2.04,-1.87,3.15,3.14,3.15
92.58,4.98,1.89,4.99,1.89,-1.90,-2.07,-1.91,3.08,3.08,3.09
93.51,4.96,1.92,4.96,1.93,-1.93,-2.09,-1.95,3.03,3.03,3.04
94.44,4.93,1.95,4.94,1.95,-1.96,-2.11,-2.00,2.97,2.97,2.98
95.39,4.93,2.01,4.92,2.00,-1.99,-2.14,-2.04,2.94,2.93,2.93
96.34,4.89,2.02,4.90,2.03,-2.02,-2.16,-2.08,2.87,2.88,2.87
97.30,4.89,2.08,4.88,2.07,-2.06,-2.18,-2.13,2.83,2.82,2.81
98.28,4.84,2.09,4.85,2.09,-2.09,-2.21,-2.18,2.75,2.76,2.76
99.26,4.82,2.12,4.82,2.12,-2.12,-2.23,-2.22,2.70,2.70,2.70
100.25,4.79,2.15,4.79,2.15,-2.15,-2.26,-2.27,2.64,2.64,2.64
101.25,4.76,2.18,4.76,2.18,-2.18,-2.28,-2.32,2.58,2.58,2.58
102.27,4.75,2.22,4.74,2.21,-2.22,-2.30,-2.37,2.54,2.52,2.53
103.29,4.70,2.23,4.71,2.25,-2.25,-2.33,-2.42,2.45,2.47,2.47
104.32,4.70,2.29,4.69,2.28,-2.28,-2.35,-2.47,2.42,2.41,2.41
105.37,4.66,2.31,4.66,2.31,-2.31,-2.37,-2.52,2.35,2.35,2.35
106.42,4.65,2.36,4.65,2.35,-2.35,-2.40,-2.57,2.30,2.30,2.29
107.48,4.61,2.37,4.62,2.38,-2.38,-2.42,-2.61,2.23,2.23,2.24
108.56,4.61,2.43,4.60,2.42,-2.42,-2.44,-2.66,2.19,2.18,2.18
109.64,4.56,2.44,4.57,2.45,-2.45,-2.46,-2.71,2.11,2.12,2.12
110.74,4.56,2.50,4.55,2.49,-2.48,-2.48,-2.75,2.08,2.07,2.06
111.85,4.51,2.50,4.52,2.52,-2.52,-2.51,-2.80,1.99,2.01,2.01
112.97,4.51,2.56,4.50,2.55,-2.55,-2.53,-2.84,1.96,1.95,1.95
114.10,4.47,2.58,4.47,2.58,-2.57,-2.55,-2.88,1.90,1.90,1.89
115.24,4.43,2.59,4.44,2.61,-2.60,-2.57,-2.92,1.83,1.84,1.84
116.39,4.42,2.64,4.41,2.62,-2.63,-2.59,-2.95,1.79,1.78,1.78
117.55,4.37,2.64,4.38,2.65,-2.65,-2.61,-2.98,1.72,1.72,1.73
118.73,4.34,2.67,4.35,2.68,-2.68,-2.63,-3.01,1.66,1.67,1.67
119.92,4.33,2.71,4.32,2.70,-2.70,-2.65,-3.04,1.63,1.61,1.62
121.12,4.28,2.72,4.29,2.73,-2.73,-2.67,-3.06,1.55,1.56,1.56
122.33,4.26,2.75,4.26,2.75,-2.75,-2.69,-3.08,1.51,1.51,1.51
123.55,4.23,2.78,4.23,2.78,-2.78,-2.71,-3.09,1.45,1.45,1.46
124.79,4.20,2.80,4.21,2.80,-2.80,-2.73,-3.11,1.40,1.41,1.40
126.03,4.19,2.84,4.18,2.83,-2.82,-2.74,-3.11,1.37,1.35,1.35
127.29,4.14,2.84,4.15,2.85,-2.84,-2.76,-3.12,1.30,1.30,1.30
128.57,4.11,2.86,4.12,2.87,-2.86,-2.78,-3.12,1.25,1.25,1.25
129.85,4.09,2.89,4.08,2.88,-2.88,-2.80,-3.12,1.21,1.20,1.20
131.15,4.05,2.90,4.05,2.90,-2.90,-2.81,-3.11,1.15,1.15,1.15
132.46,4.01,2.91,4.02,2.91,-2.91,-2.83,-3.10,1.10,1.10,1.10
133.79,3.98,2.93,3.98,2.92,-2.93,-2.84,-3.09,1.05,1.05,1.06
135.12,3.95,2.94,3.95,2.94,-2.95,-2.86,-3.07,1.00,1.00,1.01
136.48,3.91,2.95,3.92,2.96,-2.96,-2.87,-3.05,0.95,0.96,0.96
137.84,3.91,2.99,3.90,2.98,-2.98,-2.88,-3.04,0.93,0.92,0.92
139.22,3.86,2.99,3.87,3.00,-3.00,-2.90,-3.01,0.86,0.87,0.87
140.61,3.85,3.02,3.85,3.02,-3.01,-2.91,-2.99,0.84,0.83,0.83
142.02,3.81,3.02,3.82,3.03,-3.03,-2.92,-2.96,0.79,0.79,0.79
143.44,3.79,3.05,3.79,3.05,-3.04,-2.93,-2.94,0.75,0.75,0.75
144.87,3.76,3.06,3.75,3.05,-3.05,-2.94,-2.91,0.71,0.70,0.70
146.32,3.72,3.06,3.72,3.05,-3.06,-2.95,-2.88,0.66,0.66,0.66
147.78,3.67,3.05,3.69,3.06,-3.06,-2.96,-2.86,0.61,0.62,0.63
149.26,3.66,3.07,3.65,3.06,-3.07,-2.97,-2.83,0.59,0.58,0.59
150.75,3.63,3.08,3.62,3.07,-3.08,-2.98,-2.80,0.56,0.55,0.55
152.26,3.58,3.07,3.60,3.08,-3.08,-2.99,-2.77,0.50,0.52,0.51
153.78,3.57,3.09,3.56,3.08,-3.08,-2.99,-2.75,0.49,0.47,0.48
