frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.76,-0.98,4.76,-0.99,1.02,0.90,-0.06,5.78,5.77,5.74
20.20,4.78,-0.96,4.78,-0.96,0.96,0.86,-0.07,5.74,5.75,5.74
20.40,4.81,-0.93,4.82,-0.92,0.91,0.82,-0.07,5.72,5.73,5.74
20.61,4.86,-0.88,4.86,-0.88,0.86,0.79,-0.07,5.72,5.72,5.74
20.81,4.92,-0.82,4.91,-0.83,0.81,0.76,-0.07,5.73,5.72,5.74
21.02,4.97,-0.77,4.97,-0.77,0.76,0.73,-0.07,5.73,5.73,5.74
21.23,5.02,-0.72,5.03,-0.72,0.71,0.70,-0.07,5.73,5.74,5.74
21.44,5.08,-0.66,5.08,-0.66,0.66,0.67,-0.07,5.74,5.74,5.74
21.66,5.14,-0.60,5.14,-0.60,0.61,0.64,-0.08,5.75,5.74,5.74
21.87,5.19,-0.55,5.19,-0.55,0.56,0.61,-0.08,5.75,5.75,5.74
22.09,5.23,-0.51,5.24,-0.50,0.51,0.59,-0.08,5.74,5.75,5.74
22.31,5.28,-0.46,5.28,-0.46,0.47,0.56,-0.08,5.75,5.75,5.74
22.54,5.31,-0.43,5.31,-0.43,0.43,0.54,-0.08,5.74,5.74,5.74
22.76,5.34,-0.40,5.34,-0.40,0.40,0.52,-0.09,5.74,5.74,5.74
22.99,5.37,-0.37,5.37,-0.37,0.36,0.49,-0.09,5.73,5.73,5.74
23.22,5.40,-0.34,5.40,-0.34,0.33,0.47,-0.09,5.73,5.73,5.74
23.45,5.43,-0.31,5.43,-0.31,0.30,0.45,-0.09,5.73,5.73,5.74
23.69,5.46,-0.28,5.46,-0.28,0.27,0.43,-0.09,5.73,5.73,5.74
23.92,5.49,-0.24,5.49,-0.24,0.25,0.41,-0.10,5.74,5.74,5.74
24.16,5.52,-0.21,5.52,-0.22,0.22,0.39,-0.10,5.74,5.74,5.74
24.40,5.55,-0.18,5.55,-0.19,0.19,0.38,-0.10,5.74,5.74,5.73
24.65,5.56,-0.17,5.57,-0.17,0.16,0.36,-0.10,5.72,5.73,5.73
24.89,5.60,-0.13,5.59,-0.14,0.14,0.34,-0.11,5.74,5.73,5.73
25.14,5.60,-0.13,5.61,-0.12,0.12,0.33,-0.11,5.72,5.73,5.73
25.39,5.65,-0.08,5.64,-0.09,0.10,0.31,-0.11,5.75,5.73,5.73
25.65,5.65,-0.08,5.66,-0.07,0.08,0.30,-0.11,5.73,5.73,5.73
25.91,5.68,-0.05,5.68,-0.05,0.06,0.28,-0.12,5.74,5.73,5.73
26.16,5.69,-0.04,5.69,-0.04,0.04,0.27,-0.12,5.73,5.73,5.73
26.43,5.70,-0.03,5.70,-0.02,0.02,0.25,-0.12,5.72,5.72,5.73
26.69,5.73,0.00,5.72,-0.00,-0.00,0.24,-0.13,5.73,5.72,5.73
26.96,5.73,0.00,5.75,0.02,-0.02,0.23,-0.13,5.71,5.73,5.73
27.23,5.78,0.06,5.76,0.04,-0.04,0.22,-0.13,5.74,5.73,5.72
27.50,5.78,0.06,5.78,0.06,-0.05,0.20,-0.14,5.73,5.73,5.72
27.77,5.79,0.07,5.80,0.08,-0.07,0.19,-0.14,5.72,5.73,5.72
28.05,5.82,0.10,5.81,0.09,-0.09,0.18,-0.14,5.73,5.72,5.72
28.33,5.82,0.10,5.83,0.11,-0.12,0.17,-0.15,5.71,5.71,5.72
28.62,5.86,0.14,5.85,0.13,-0.14,0.16,-0.15,5.72,5.71,5.72
28.90,5.86,0.14,5.87,0.16,-0.16,0.15,-0.15,5.70,5.71,5.72
29.19,5.91,0.19,5.90,0.18,-0.18,0.13,-0.16,5.73,5.72,5.72
29.48,5.92,0.21,5.92,0.21,-0.21,0.12,-0.16,5.71,5.72,5.71
29.78,5.95,0.24,5.95,0.24,-0.23,0.11,-0.16,5.72,5.72,5.71
30.08,5.97,0.26,5.97,0.25,-0.26,0.10,-0.17,5.71,5.71,5.71
30.38,5.99,0.28,5.99,0.28,-0.28,0.09,-0.17,5.71,5.71,5.71
30.68,5.99,0.28,6.01,0.30,-0.30,0.08,-0.18,5.69,5.71,5.71
30.99,6.04,0.33,6.02,0.32,-0.32,0.07,-0.18,5.72,5.70,5.71
31.30,6.04,0.34,6.04,0.34,-0.33,0.06,-0.19,5.71,5.71,5.70
31.61,6.04,0.34,6.06,0.36,-0.35,0.06,-0.19,5.69,5.71,5.70
31.93,6.08,0.38,6.06,0.36,-0.37,0.05,-0.20,5.71,5.70,5.70
32.24,6.08,0.38,6.08,0.38,-0.38,0.04,-0.20,5.70,5.70,5.70
