frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.53,-4.41,4.52,-4.42,4.45,4.34,0.91,8.98,8.97,8.94
20.20,4.54,-4.40,4.55,-4.39,4.39,4.28,0.94,8.93,8.94,8.94
20.40,4.59,-4.35,4.60,-4.34,4.33,4.23,0.97,8.92,8.93,8.94
20.61,4.66,-4.28,4.66,-4.28,4.26,4.17,1.00,8.92,8.92,8.94
20.81,4.73,-4.21,4.73,-4.21,4.20,4.11,1.03,8.93,8.93,8.94
21.02,4.80,-4.14,4.80,-4.14,4.13,4.06,1.06,8.93,8.93,8.94
21.23,4.86,-4.08,4.87,-4.07,4.07,4.00,1.09,8.93,8.94,8.94
21.44,4.94,-4.00,4.94,-4.00,4.00,3.94,1.13,8.94,8.94,8.94
21.66,5.01,-3.93,5.01,-3.93,3.93,3.88,1.16,8.94,8.94,8.94
21.87,5.08,-3.86,5.08,-3.86,3.86,3.82,1.20,8.94,8.94,8.94
22.09,5.15,-3.79,5.15,-3.79,3.79,3.77,1.24,8.95,8.94,8.94
22.31,5.21,-3.73,5.21,-3.72,3.73,3.71,1.28,8.94,8.94,8.94
22.54,5.27,-3.67,5.27,-3.67,3.66,3.65,1.32,8.93,8.93,8.94
22.76,5.33,-3.60,5.33,-3.60,3.60,3.59,1.36,8.93,8.93,8.93
22.99,5.39,-3.54,5.39,-3.54,3.53,3.53,1.40,8.92,8.93,8.93
23.22,5.46,-3.47,5.46,-3.48,3.47,3.48,1.44,8.93,8.93,8.93
23.45,5.52,-3.41,5.53,-3.41,3.41,3.42,1.48,8.93,8.93,8.93
23.69,5.60,-3.33,5.59,-3.34,3.34,3.36,1.53,8.94,8.94,8.93
23.92,5.66,-3.27,5.66,-3.27,3.28,3.30,1.57,8.94,8.94,8.93
24.16,5.71,-3.22,5.72,-3.21,3.21,3.24,1.62,8.93,8.93,8.93
24.40,5.78,-3.15,5.78,-3.15,3.15,3.18,1.66,8.93,8.93,8.93
24.65,5.84,-3.09,5.84,-3.09,3.09,3.12,1.71,8.93,8.92,8.93
24.89,5.89,-3.04,5.90,-3.02,3.02,3.06,1.76,8.92,8.93,8.93
25.14,5.97,-2.96,5.96,-2.96,2.96,3.01,1.80,8.93,8.93,8.93
25.39,6.03,-2.89,6.02,-2.90,2.90,2.95,1.85,8.93,8.92,8.93
25.65,6.08,-2.84,6.09,-2.83,2.84,2.89,1.90,8.92,8.93,8.92
25.91,6.15,-2.77,6.15,-2.77,2.77,2.83,1.95,8.92,8.92,8.92
26.16,6.22,-2.70,6.21,-2.71,2.71,2.77,1.99,8.93,8.92,8.92
26.43,6.27,-2.65,6.27,-2.65,2.65,2.71,2.04,8.92,8.92,8.92
26.69,6.33,-2.59,6.33,-2.59,2.59,2.65,2.08,8.92,8.92,8.92
26.96,6.40,-2.52,6.39,-2.53,2.52,2.59,2.12,8.92,8.91,8.92
27.23,6.45,-2.47,6.45,-2.46,2.46,2.54,2.17,8.91,8.91,8.92
27.50,6.51,-2.41,6.51,-2.40,2.40,2.48,2.21,8.91,8.91,8.92
27.77,6.58,-2.33,6.58,-2.34,2.34,2.42,2.24,8.92,8.91,8.91
28.05,6.64,-2.27,6.64,-2.27,2.27,2.36,2.28,8.91,8.91,8.91
28.33,6.70,-2.21,6.70,-2.21,2.22,2.30,2.31,8.92,8.92,8.91
28.62,6.76,-2.15,6.76,-2.15,2.16,2.24,2.34,8.92,8.92,8.91
28.90,6.82,-2.09,6.82,-2.09,2.10,2.18,2.36,8.92,8.92,8.91
29.19,6.87,-2.04,6.87,-2.04,2.04,2.13,2.39,8.91,8.91,8.91
29.48,6.91,-1.99,6.91,-1.99,1.98,2.07,2.41,8.89,8.90,8.91
29.78,6.96,-1.94,6.97,-1.94,1.93,2.01,2.42,8.89,8.89,8.90
30.08,7.03,-1.87,7.03,-1.88,1.87,1.95,2.43,8.90,8.90,8.90
30.38,7.09,-1.81,7.09,-1.81,1.81,1.89,2.44,8.90,8.90,8.90
30.68,7.15,-1.75,7.15,-1.75,1.75,1.84,2.44,8.90,8.90,8.90
30.99,7.20,-1.70,7.20,-1.69,1.70,1.78,2.43,8.90,8.90,8.90
31.30,7.26,-1.63,7.26,-1.64,1.64,1.72,2.42,8.90,8.89,8.89
31.61,7.31,-1.58,7.31,-1.58,1.58,1.66,2.41,8.89,8.89,8.89
31.93,7.37,-1.52,7.37,-1.52,1.52,1.61,2.39,8.89,8.89,8.89
32.24,7.42,-1.47,7.42,-1.47,1.47,1.55,2.37,8.89,8.89,8.89
32.57,7.47,-1.41,7.47,-1.41,1.41,1.49,2.34,8.88,8.89,8.88
32.89,7.52,-1.36,7.52,-1.36,1.36,1.44,2.30,8.88,8.88,8.88
33.22,7.57,-1.31,7.57,-1.31,1.31,1.38,2.27,8.88,8.88,8.88
33.55,7.62,-1.26,7.62,-1.26,1.25,1.32,2.23,8.87,8.87,8.88
33.89,7.67,-1.20,7.67,-1.20,1.20,1.27,2.18,8.87,8.87,8.87
34.23,7.72,-1.15,7.72,-1.15,1.15,1.21,2.13,8.87,8.87,8.87
34.57,7.78,-1.09,7.77,-1.09,1.09,1.16,2.08,8.87,8.86,8.87
34.92,7.82,-1.04,7.83,-1.04,1.04,1.10,2.02,8.86,8.86,8.86
35.27,7.88,-0.98,7.88,-0.98,0.98,1.05,1.96,8.86,8.86,8.86
35.62,7.94,-0.92,7.93,-0.92,0.93,0.99,1.90,8.87,8.86,8.86
35.97,7.98,-0.87,7.98,-0.87,0.87,0.94,1.84,8.85,8.86,8.85
36.33,8.03,-0.82,8.03,-0.82,0.82,0.88,1.77,8.85,8.85,8.85
36.70,8.08,-0.77,8.08,-0.77,0.77,0.83,1.70,8.85,8.84,8.85
37.06,8.12,-0.72,8.12,-0.72,0.72,0.78,1.63,8.84,8.84,8.84
37.43,8.17,-0.67,8.17,-0.67,0.66,0.72,1.56,8.84,8.84,8.84
37.81,8.22,-0.61,8.22,-0.62,0.61,0.67,1.49,8.83,8.83,8.83
38.19,8.26,-0.57,8.27,-0.56,0.56,0.62,1.42,8.82,8.83,8.83
38.57,8.31,-0.51,8.31,-0.51,0.51,0.56,1.35,8.82,8.82,8.82
38.95,8.36,-0.46,8.36,-0.46,0.46,0.51,1.27,8.83,8.82,8.82
