frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.35,-5.92,-3.35,-5.92,5.92,5.47,2.30,2.57,2.57,2.57
20.20,-3.32,-5.89,-3.33,-5.89,5.89,5.50,2.36,2.57,2.56,2.57
20.40,-3.30,-5.87,-3.30,-5.87,5.86,5.52,2.43,2.56,2.56,2.57
20.61,-3.28,-5.85,-3.27,-5.84,5.84,5.54,2.50,2.56,2.57,2.57
20.81,-3.23,-5.80,-3.24,-5.81,5.82,5.56,2.57,2.59,2.58,2.57
21.02,-3.22,-5.80,-3.21,-5.79,5.80,5.57,2.65,2.58,2.59,2.57
21.23,-3.18,-5.76,-3.19,-5.77,5.78,5.59,2.72,2.60,2.59,2.58
21.44,-3.18,-5.76,-3.18,-5.76,5.77,5.60,2.80,2.59,2.59,2.58
21.66,-3.18,-5.76,-3.17,-5.75,5.77,5.61,2.88,2.59,2.60,2.58
21.87,-3.18,-5.76,-3.18,-5.76,5.77,5.61,2.97,2.59,2.59,2.58
22.09,-3.18,-5.76,-3.20,-5.78,5.77,5.61,3.05,2.59,2.58,2.58
22.31,-3.21,-5.79,-3.21,-5.79,5.77,5.61,3.14,2.56,2.56,2.58
22.54,-3.23,-5.81,-3.21,-5.79,5.77,5.61,3.23,2.53,2.56,2.58
22.76,-3.18,-5.76,-3.19,-5.78,5.75,5.61,3.32,2.57,2.56,2.58
22.99,-3.15,-5.74,-3.16,-5.74,5.73,5.60,3.42,2.58,2.57,2.58
23.22,-3.12,-5.71,-3.11,-5.70,5.70,5.59,3.51,2.58,2.59,2.59
23.45,-3.07,-5.66,-3.08,-5.66,5.67,5.58,3.61,2.60,2.59,2.59
23.69,-3.03,-5.62,-3.03,-5.62,5.63,5.57,3.71,2.60,2.59,2.59
23.92,-3.00,-5.59,-2.99,-5.58,5.59,5.55,3.81,2.59,2.60,2.59
24.16,-2.95,-5.54,-2.96,-5.55,5.55,5.54,3.92,2.60,2.59,2.59
24.40,-2.92,-5.51,-2.92,-5.51,5.52,5.52,4.02,2.59,2.59,2.59
24.65,-2.90,-5.49,-2.89,-5.48,5.48,5.50,4.13,2.58,2.59,2.59
24.89,-2.86,-5.45,-2.87,-5.46,5.46,5.47,4.24,2.59,2.59,2.59
25.14,-2.84,-5.43,-2.84,-5.43,5.43,5.45,4.35,2.59,2.59,2.59
25.39,-2.81,-5.40,-2.81,-5.40,5.41,5.42,4.46,2.60,2.60,2.59
25.65,-2.78,-5.38,-2.79,-5.38,5.39,5.40,4.57,2.60,2.60,2.59
25.91,-2.76,-5.36,-2.76,-5.36,5.36,5.37,4.68,2.60,2.60,2.60
26.16,-2.76,-5.36,-2.75,-5.35,5.34,5.34,4.79,2.58,2.59,2.60
26.43,-2.72,-5.32,-2.73,-5.33,5.32,5.31,4.90,2.60,2.59,2.60
26.69,-2.72,-5.32,-2.71,-5.31,5.30,5.28,5.01,2.58,2.59,2.60
26.96,-2.68,-5.28,-2.69,-5.28,5.28,5.24,5.11,2.60,2.60,2.60
27.23,-2.67,-5.27,-2.66,-5.26,5.26,5.21,5.22,2.59,2.60,2.60
27.50,-2.62,-5.22,-2.64,-5.23,5.24,5.18,5.32,2.62,2.61,2.60
27.77,-2.62,-5.22,-2.61,-5.21,5.22,5.14,5.42,2.60,2.61,2.60
28.05,-2.60,-5.20,-2.60,-5.20,5.20,5.11,5.51,2.60,2.61,2.60
28.33,-2.58,-5.18,-2.59,-5.19,5.19,5.07,5.60,2.61,2.60,2.60
28.62,-2.58,-5.18,-2.58,-5.18,5.17,5.04,5.68,2.59,2.59,2.60
28.90,-2.58,-5.18,-2.57,-5.17,5.16,5.00,5.76,2.58,2.60,2.60
29.19,-2.54,-5.14,-2.55,-5.15,5.16,4.96,5.83,2.62,2.61,2.60
29.48,-2.53,-5.13,-2.54,-5.14,5.15,4.93,5.90,2.62,2.62,2.60
29.78,-2.53,-5.13,-2.53,-5.13,5.15,4.89,5.96,2.62,2.62,2.60
30.08,-2.53,-5.14,-2.53,-5.13,5.14,4.86,6.01,2.61,2.61,2.60
30.38,-2.53,-5.14,-2.54,-5.14,5.13,4.82,6.05,2.60,2.60,2.60
30.68,-2.53,-5.14,-2.53,-5.14,5.12,4.79,6.08,2.59,2.59,2.60
30.99,-2.53,-5.14,-2.52,-5.12,5.11,4.75,6.11,2.58,2.59,2.61
31.30,-2.48,-5.09,-2.49,-5.10,5.09,4.72,6.13,2.60,2.59,2.61
31.61,-2.46,-5.07,-2.46,-5.07,5.06,4.69,6.13,2.60,2.60,2.61
31.93,-2.43,-5.04,-2.42,-5.03,5.03,4.65,6.13,2.60,2.61,2.61
32.24,-2.39,-5.00,-2.39,-4.99,5.00,4.62,6.12,2.61,2.61,2.61
32.57,-2.34,-4.95,-2.35,-4.96,4.97,4.59,6.10,2.63,2.61,2.61
32.89,-2.33,-4.94,-2.32,-4.93,4.93,4.56,6.08,2.60,2.61,2.61
33.22,-2.30,-4.91,-2.30,-4.90,4.90,4.53,6.05,2.60,2.60,2.61
33.55,-2.27,-4.88,-2.27,-4.88,4.88,4.51,6.01,2.61,2.60,2.60
33.89,-2.25,-4.86,-2.24,-4.85,4.85,4.48,5.96,2.60,2.61,2.60
34.23,-2.21,-4.82,-2.22,-4.83,4.83,4.45,5.91,2.62,2.61,2.60
34.57,-2.20,-4.80,-2.20,-4.81,4.81,4.43,5.85,2.61,2.61,2.60
34.92,-2.20,-4.80,-2.19,-4.79,4.79,4.41,5.79,2.59,2.60,2.60
35.27,-2.16,-4.76,-2.17,-4.78,4.77,4.39,5.72,2.61,2.60,2.60
35.62,-2.16,-4.76,-2.15,-4.75,4.75,4.37,5.66,2.59,2.60,2.60
35.97,-2.12,-4.72,-2.13,-4.73,4.73,4.35,5.59,2.61,2.60,2.60
36.33,-2.11,-4.71,-2.11,-4.71,4.71,4.33,5.51,2.60,2.60,2.60
36.70,-2.10,-4.70,-2.09,-4.69,4.69,4.32,5.44,2.59,2.61,2.60
37.06,-2.06,-4.66,-2.08,-4.68,4.68,4.31,5.36,2.61,2.60,2.60
37.43,-2.06,-4.66,-2.06,-4.66,4.66,4.29,5.29,2.60,2.60,2.60
37.81,-2.06,-4.66,-2.04,-4.64,4.65,4.28,5.21,2.58,2.60,2.60
38.19,-2.02,-4.62,-2.03,-4.63,4.63,4.28,5.14,2.61,2.60,2.60
38.57,-2.02,-4.61,-2.02,-4.62,4.62,4.27,5.06,2.60,2.59,2.59
38.95,-2.02,-4.61,-2.02,-4.61,4.61,4.26,4.99,2.58,2.59,2.59
39.34,-2.02,-4.61,-2.01,-4.60,4.59,4.26,4.92,2.57,2.58,2.59
39.74,-2.00,-4.59,-2.00,-4.59,4.58,4.26,4.85,2.58,2.59,2.59
40.14,-1.97,-4.56,-1.98,-4.57,4.57,4.26,4.78,2.60,2.59,2.59
40.54,-1.97,-4.56,-1.97,-4.56,4.57,4.26,4.72,2.59,2.59,2.59
40.94,-1.97,-4.55,-1.97,-4.55,4.56,4.27,4.66,2.59,2.59,2.58
41.35,-1.97,-4.55,-1.97,-4.55,4.55,4.27,4.60,2.58,2.58,2.58
41.76,-1.97,-4.55,-1.97,-4.55,4.54,4.28,4.54,2.57,2.57,2.58
