frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.99,-5.53,-6.00,-5.54,5.57,4.62,0.88,-0.42,-0.42,-0.46
20.20,-5.90,-5.45,-5.91,-5.45,5.46,4.52,0.91,-0.44,-0.45,-0.45
20.40,-5.84,-5.39,-5.81,-5.36,5.34,4.41,0.94,-0.50,-0.47,-0.45
20.61,-5.70,-5.25,-5.70,-5.25,5.22,4.30,0.97,-0.48,-0.48,-0.45
20.81,-5.57,-5.12,-5.58,-5.13,5.11,4.19,1.00,-0.46,-0.47,-0.45
21.02,-5.44,-4.99,-5.45,-5.00,4.99,4.09,1.03,-0.45,-0.45,-0.45
21.23,-5.33,-4.88,-5.33,-4.88,4.88,3.99,1.06,-0.45,-0.45,-0.45
21.44,-5.22,-4.77,-5.21,-4.76,4.76,3.88,1.09,-0.46,-0.45,-0.45
21.66,-5.09,-4.65,-5.09,-4.64,4.64,3.78,1.12,-0.45,-0.45,-0.45
21.87,-4.96,-4.51,-4.97,-4.52,4.53,3.69,1.16,-0.43,-0.44,-0.45
22.09,-4.85,-4.41,-4.85,-4.40,4.41,3.59,1.19,-0.44,-0.43,-0.44
22.31,-4.74,-4.30,-4.74,-4.30,4.31,3.50,1.23,-0.43,-0.43,-0.44
22.54,-4.63,-4.19,-4.64,-4.20,4.20,3.40,1.27,-0.43,-0.44,-0.44
22.76,-4.55,-4.11,-4.54,-4.10,4.10,3.31,1.30,-0.45,-0.44,-0.44
22.99,-4.44,-4.00,-4.44,-4.00,4.00,3.22,1.34,-0.44,-0.44,-0.44
23.22,-4.33,-3.89,-4.34,-3.91,3.90,3.14,1.38,-0.43,-0.45,-0.44
23.45,-4.24,-3.80,-4.24,-3.80,3.80,3.05,1.42,-0.44,-0.45,-0.44
23.69,-4.16,-3.72,-4.14,-3.70,3.69,2.97,1.46,-0.47,-0.45,-0.44
23.92,-4.02,-3.58,-4.03,-3.59,3.58,2.89,1.51,-0.44,-0.45,-0.44
24.16,-3.91,-3.47,-3.91,-3.47,3.46,2.82,1.55,-0.45,-0.44,-0.44
24.40,-3.78,-3.34,-3.78,-3.34,3.35,2.74,1.59,-0.43,-0.43,-0.43
24.65,-3.66,-3.23,-3.66,-3.23,3.24,2.67,1.64,-0.43,-0.43,-0.43
24.89,-3.54,-3.11,-3.55,-3.12,3.13,2.60,1.68,-0.41,-0.42,-0.43
25.14,-3.46,-3.03,-3.45,-3.01,3.02,2.53,1.72,-0.44,-0.42,-0.43
25.39,-3.35,-2.92,-3.35,-2.92,2.93,2.46,1.77,-0.42,-0.42,-0.43
25.65,-3.26,-2.83,-3.27,-2.84,2.84,2.39,1.81,-0.42,-0.42,-0.43
25.91,-3.19,-2.76,-3.19,-2.76,2.77,2.33,1.86,-0.42,-0.42,-0.43
26.16,-3.13,-2.70,-3.13,-2.70,2.70,2.27,1.90,-0.43,-0.43,-0.43
26.43,-3.07,-2.64,-3.07,-2.64,2.64,2.21,1.95,-0.44,-0.43,-0.43
26.69,-3.01,-2.58,-3.01,-2.58,2.58,2.15,1.99,-0.43,-0.43,-0.43
26.96,-2.95,-2.53,-2.95,-2.53,2.53,2.09,2.03,-0.42,-0.43,-0.43
27.23,-2.89,-2.47,-2.90,-2.47,2.48,2.04,2.07,-0.41,-0.42,-0.43
27.50,-2.86,-2.44,-2.85,-2.42,2.44,1.99,2.11,-0.43,-0.41,-0.42
27.77,-2.80,-2.38,-2.80,-2.38,2.39,1.94,2.15,-0.41,-0.41,-0.42
28.05,-2.75,-2.33,-2.76,-2.34,2.34,1.89,2.19,-0.41,-0.42,-0.42
28.33,-2.72,-2.30,-2.71,-2.29,2.29,1.84,2.22,-0.43,-0.43,-0.42
28.62,-2.66,-2.24,-2.67,-2.25,2.23,1.79,2.25,-0.44,-0.44,-0.42
28.90,-2.61,-2.19,-2.60,-2.18,2.15,1.75,2.28,-0.46,-0.45,-0.42
29.19,-2.52,-2.10,-2.51,-2.09,2.07,1.70,2.31,-0.45,-0.44,-0.42
29.48,-2.39,-1.97,-2.41,-1.99,1.98,1.66,2.33,-0.41,-0.43,-0.42
29.78,-2.30,-1.88,-2.29,-1.87,1.87,1.62,2.35,-0.43,-0.42,-0.42
30.08,-2.17,-1.75,-2.18,-1.76,1.77,1.58,2.37,-0.41,-0.41,-0.42
30.38,-2.06,-1.64,-2.06,-1.64,1.65,1.54,2.38,-0.41,-0.41,-0.42
