frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.10,0.56,6.09,0.56,-0.55,-1.16,-0.59,5.54,5.54,5.53
20.20,6.11,0.58,6.12,0.58,-0.58,-1.16,-0.60,5.52,5.53,5.53
20.40,6.15,0.62,6.14,0.61,-0.61,-1.16,-0.62,5.53,5.53,5.53
20.61,6.17,0.64,6.17,0.64,-0.64,-1.16,-0.64,5.52,5.53,5.53
20.81,6.20,0.67,6.20,0.67,-0.67,-1.16,-0.66,5.52,5.53,5.53
21.02,6.24,0.71,6.23,0.70,-0.70,-1.17,-0.68,5.53,5.52,5.53
21.23,6.26,0.73,6.26,0.73,-0.73,-1.17,-0.70,5.52,5.53,5.53
21.44,6.29,0.76,6.29,0.76,-0.76,-1.17,-0.72,5.52,5.53,5.53
21.66,6.34,0.81,6.32,0.79,-0.79,-1.17,-0.74,5.54,5.53,5.53
21.87,6.35,0.82,6.35,0.83,-0.82,-1.17,-0.76,5.52,5.53,5.53
22.09,6.38,0.85,6.38,0.85,-0.85,-1.17,-0.78,5.52,5.53,5.53
22.31,6.42,0.89,6.41,0.88,-0.88,-1.17,-0.81,5.54,5.53,5.53
22.54,6.43,0.90,6.44,0.91,-0.91,-1.17,-0.83,5.52,5.53,5.53
22.76,6.48,0.95,6.46,0.94,-0.93,-1.17,-0.86,5.54,5.53,5.53
22.99,6.48,0.95,6.48,0.96,-0.96,-1.17,-0.88,5.52,5.52,5.53
23.22,6.52,0.99,6.51,0.99,-0.99,-1.17,-0.91,5.53,5.52,5.53
23.45,6.53,1.00,6.53,1.01,-1.01,-1.17,-0.93,5.51,5.52,5.53
23.69,6.57,1.04,6.56,1.04,-1.04,-1.17,-0.96,5.53,5.53,5.52
23.92,6.59,1.06,6.59,1.06,-1.06,-1.17,-0.98,5.52,5.52,5.52
24.16,6.62,1.09,6.61,1.09,-1.09,-1.17,-1.01,5.53,5.53,5.52
24.40,6.63,1.10,6.63,1.11,-1.11,-1.18,-1.04,5.52,5.52,5.52
24.65,6.66,1.13,6.65,1.13,-1.13,-1.18,-1.07,5.53,5.52,5.52
24.89,6.67,1.14,6.68,1.15,-1.15,-1.18,-1.10,5.52,5.53,5.52
25.14,6.71,1.18,6.69,1.17,-1.17,-1.18,-1.13,5.54,5.52,5.52
25.39,6.71,1.19,6.71,1.19,-1.19,-1.18,-1.15,5.52,5.52,5.52
25.65,6.71,1.19,6.73,1.21,-1.20,-1.18,-1.18,5.50,5.52,5.52
25.91,6.76,1.24,6.74,1.22,-1.22,-1.18,-1.21,5.53,5.51,5.52
26.16,6.76,1.24,6.76,1.24,-1.24,-1.18,-1.24,5.52,5.52,5.52
26.43,6.76,1.24,6.77,1.26,-1.25,-1.18,-1.27,5.51,5.52,5.52
26.69,6.80,1.28,6.78,1.26,-1.26,-1.18,-1.30,5.53,5.52,5.52
26.96,6.80,1.28,6.79,1.28,-1.28,-1.18,-1.32,5.52,5.51,5.52
27.23,6.80,1.28,6.81,1.29,-1.29,-1.18,-1.35,5.50,5.52,5.52
27.50,6.82,1.30,6.82,1.30,-1.31,-1.18,-1.38,5.51,5.51,5.51
27.77,6.85,1.33,6.83,1.32,-1.32,-1.19,-1.40,5.52,5.51,5.51
28.05,6.85,1.33,6.85,1.34,-1.34,-1.19,-1.43,5.51,5.51,5.51
28.33,6.85,1.33,6.87,1.35,-1.35,-1.19,-1.45,5.50,5.52,5.51
28.62,6.90,1.38,6.88,1.37,-1.37,-1.19,-1.47,5.53,5.51,5.51
28.90,6.90,1.39,6.89,1.38,-1.38,-1.19,-1.49,5.52,5.51,5.51
29.19,6.90,1.39,6.90,1.39,-1.39,-1.19,-1.51,5.50,5.51,5.51
29.48,6.90,1.39,6.91,1.40,-1.41,-1.19,-1.53,5.49,5.50,5.51
29.78,6.94,1.43,6.92,1.42,-1.41,-1.19,-1.55,5.52,5.51,5.51
30.08,6.94,1.43,6.93,1.43,-1.42,-1.19,-1.56,5.52,5.51,5.51
30.38,6.94,1.43,6.94,1.44,-1.43,-1.19,-1.57,5.51,5.51,5.50
30.68,6.94,1.43,6.94,1.43,-1.43,-1.20,-1.58,5.50,5.50,5.50
30.99,6.94,1.43,6.93,1.43,-1.44,-1.20,-1.59,5.50,5.49,5.50
31.30,6.94,1.44,6.94,1.44,-1.45,-1.20,-1.59,5.49,5.49,5.50
31.61,6.94,1.44,6.95,1.45,-1.45,-1.20,-1.60,5.48,5.49,5.50
31.93,6.97,1.47,6.95,1.46,-1.46,-1.20,-1.60,5.51,5.49,5.50
32.24,6.97,1.47,6.97,1.47,-1.47,-1.20,-1.60,5.50,5.50,5.50
32.57,6.97,1.47,6.98,1.48,-1.48,-1.20,-1.60,5.49,5.50,5.49
32.89,6.99,1.49,6.98,1.49,-1.48,-1.20,-1.59,5.50,5.50,5.49
33.22,6.99,1.50,6.99,1.49,-1.49,-1.20,-1.59,5.49,5.49,5.49
33.55,6.99,1.50,6.99,1.50,-1.50,-1.21,-1.58,5.49,5.49,5.49
33.89,6.99,1.50,6.99,1.50,-1.50,-1.21,-1.57,5.48,5.48,5.49
34.23,6.99,1.50,6.99,1.50,-1.51,-1.21,-1.56,5.48,5.48,5.49
34.57,6.99,1.50,6.99,1.50,-1.51,-1.21,-1.55,5.48,5.48,5.48
34.92,6.99,1.51,6.99,1.51,-1.51,-1.21,-1.53,5.48,5.48,5.48
35.27,6.99,1.51,6.99,1.51,-1.51,-1.21,-1.52,5.48,5.48,5.48
35.62,6.99,1.51,6.99,1.51,-1.50,-1.21,-1.51,5.48,5.48,5.48
35.97,6.99,1.51,6.98,1.51,-1.50,-1.21,-1.49,5.49,5.48,5.47
36.33,6.97,1.49,6.97,1.50,-1.49,-1.22,-1.47,5.47,5.48,5.47
36.70,6.97,1.50,6.96,1.49,-1.49,-1.22,-1.46,5.48,5.47,5.47
37.06,6.94,1.47,6.94,1.48,-1.48,-1.22,-1.44,5.45,5.46,5.47
37.43,6.94,1.47,6.94,1.47,-1.48,-1.22,-1.42,5.46,5.46,5.46
37.81,6.94,1.48,6.93,1.47,-1.48,-1.22,-1.41,5.46,5.45,5.46
38.19,6.94,1.48,6.94,1.48,-1.48,-1.22,-1.39,5.46,5.46,5.46
38.57,6.94,1.48,6.94,1.48,-1.48,-1.22,-1.37,5.46,5.46,5.46
38.95,6.94,1.48,6.94,1.48,-1.48,-1.22,-1.36,5.45,5.45,5.45
39.34,6.94,1.49,6.94,1.49,-1.49,-1.23,-1.34,5.45,5.45,5.45
39.74,6.94,1.49,6.94,1.49,-1.49,-1.23,-1.32,5.45,5.45,5.45
40.14,6.94,1.49,6.94,1.50,-1.49,-1.23,-1.31,5.45,5.45,5.44
40.54,6.94,1.50,6.93,1.49,-1.49,-1.23,-1.29,5.45,5.44,5.44
40.94,6.92,1.48,6.92,1.48,-1.48,-1.23,-1.28,5.43,5.43,5.43
41.35,6.90,1.47,6.90,1.47,-1.48,-1.23,-1.27,5.41,5.42,5.43
41.76,6.90,1.47,6.90,1.47,-1.48,-1.23,-1.26,5.42,5.42,5.43
42.18,6.90,1.47,6.90,1.48,-1.47,-1.24,-1.24,5.42,5.43,5.42
42.60,6.90,1.48,6.89,1.48,-1.47,-1.24,-1.23,5.43,5.43,5.42
43.03,6.90,1.48,6.88,1.47,-1.46,-1.24,-1.22,5.44,5.42,5.41
43.46,6.85,1.44,6.87,1.46,-1.45,-1.24,-1.22,5.39,5.41,5.41
43.90,6.85,1.44,6.85,1.44,-1.45,-1.24,-1.21,5.40,5.40,5.40
44.33,6.85,1.45,6.83,1.43,-1.44,-1.24,-1.20,5.41,5.39,5.40
44.78,6.81,1.41,6.82,1.42,-1.42,-1.24,-1.20,5.38,5.39,5.39
45.23,6.80,1.41,6.80,1.41,-1.41,-1.25,-1.19,5.39,5.39,5.39
45.68,6.79,1.40,6.78,1.40,-1.40,-1.25,-1.19,5.39,5.38,5.38
46.13,6.76,1.38,6.76,1.39,-1.38,-1.25,-1.18,5.37,5.38,5.38
46.60,6.76,1.38,6.75,1.37,-1.37,-1.25,-1.18,5.39,5.37,5.37
47.06,6.72,1.35,6.72,1.36,-1.36,-1.25,-1.18,5.36,5.37,5.37
47.53,6.71,1.35,6.70,1.34,-1.34,-1.25,-1.18,5.36,5.36,5.36
48.01,6.68,1.32,6.68,1.33,-1.33,-1.25,-1.18,5.35,5.35,5.35
48.49,6.66,1.31,6.66,1.31,-1.31,-1.26,-1.18,5.34,5.34,5.35
48.97,6.64,1.30,6.64,1.30,-1.30,-1.26,-1.18,5.34,5.34,5.34
49.46,6.62,1.29,6.61,1.28,-1.29,-1.26,-1.18,5.33,5.33,5.33
49.96,6.60,1.27,6.60,1.27,-1.27,-1.26,-1.19,5.32,5.33,5.32
50.46,6.57,1.25,6.57,1.26,-1.26,-1.26,-1.19,5.31,5.32,5.32
50.96,6.57,1.26,6.55,1.25,-1.24,-1.26,-1.20,5.32,5.31,5.31
51.47,6.52,1.22,6.53,1.23,-1.23,-1.26,-1.20,5.29,5.30,5.30
51.99,6.52,1.23,6.51,1.22,-1.22,-1.27,-1.21,5.30,5.29,5.29
52.51,6.48,1.20,6.48,1.20,-1.20,-1.27,-1.21,5.28,5.28,5.28
53.03,6.46,1.18,6.46,1.19,-1.19,-1.27,-1.22,5.27,5.27,5.27
53.56,6.43,1.16,6.43,1.17,-1.17,-1.27,-1.23,5.25,5.26,5.26
54.10,6.43,1.17,6.41,1.16,-1.16,-1.27,-1.23,5.27,5.25,5.25
54.64,6.38,1.14,6.39,1.15,-1.15,-1.27,-1.24,5.23,5.24,5.24
55.18,6.38,1.15,6.37,1.14,-1.13,-1.27,-1.25,5.24,5.23,5.23
55.74,6.34,1.12,6.34,1.12,-1.12,-1.27,-1.25,5.21,5.21,5.22
56.29,6.32,1.11,6.32,1.11,-1.11,-1.28,-1.26,5.21,5.21,5.21
56.86,6.29,1.09,6.29,1.10,-1.10,-1.28,-1.27,5.19,5.20,5.20
57.42,6.29,1.10,6.27,1.09,-1.08,-1.28,-1.27,5.20,5.19,5.18
58.00,6.24,1.07,6.25,1.07,-1.07,-1.28,-1.28,5.16,5.17,5.17
58.58,6.22,1.06,6.22,1.06,-1.06,-1.28,-1.28,5.16,5.16,5.16
59.16,6.20,1.05,6.19,1.05,-1.05,-1.28,-1.29,5.15,5.14,5.14
