frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.57,-7.68,-5.57,-7.68,6.00,6.00,2.71,0.43,0.43,2.11
20.20,-5.54,-7.65,-5.54,-7.65,6.00,6.01,2.79,0.46,0.46,2.11
20.40,-5.50,-7.61,-5.50,-7.61,6.00,6.02,2.87,0.50,0.50,2.11
20.61,-5.44,-7.56,-5.45,-7.56,6.00,6.03,2.95,0.56,0.55,2.12
20.81,-5.39,-7.51,-5.39,-7.51,6.00,6.04,3.03,0.61,0.61,2.12
21.02,-5.35,-7.47,-5.33,-7.45,6.00,6.05,3.12,0.65,0.67,2.12
21.23,-5.26,-7.38,-5.28,-7.40,6.00,6.05,3.21,0.74,0.72,2.12
21.44,-5.22,-7.34,-5.22,-7.34,6.00,6.06,3.30,0.78,0.78,2.12
21.66,-5.18,-7.30,-5.17,-7.29,6.00,6.06,3.40,0.82,0.83,2.12
21.87,-5.13,-7.25,-5.13,-7.25,6.00,6.07,3.49,0.87,0.87,2.12
22.09,-5.07,-7.19,-5.07,-7.19,6.00,6.07,3.59,0.93,0.93,2.12
22.31,-5.01,-7.13,-5.01,-7.14,6.00,6.07,3.69,0.99,0.99,2.12
22.54,-4.96,-7.09,-4.95,-7.08,6.00,6.07,3.80,1.04,1.05,2.13
22.76,-4.90,-7.03,-4.90,-7.02,6.00,6.07,3.91,1.10,1.10,2.13
22.99,-4.83,-6.96,-4.84,-6.97,6.00,6.07,4.02,1.17,1.16,2.13
23.22,-4.79,-6.92,-4.79,-6.92,6.00,6.07,4.13,1.21,1.21,2.13
23.45,-4.74,-6.87,-4.74,-6.87,6.00,6.07,4.24,1.26,1.26,2.13
23.69,-4.69,-6.82,-4.68,-6.81,6.00,6.07,4.36,1.31,1.32,2.13
23.92,-4.62,-6.75,-4.63,-6.76,6.00,6.06,4.48,1.38,1.37,2.13
24.16,-4.57,-6.70,-4.57,-6.70,6.00,6.06,4.61,1.43,1.43,2.13
24.40,-4.52,-6.65,-4.52,-6.66,6.00,6.05,4.73,1.48,1.48,2.13
24.65,-4.48,-6.61,-4.48,-6.61,6.00,6.05,4.86,1.52,1.52,2.13
24.89,-4.44,-6.57,-4.44,-6.57,6.00,6.04,4.99,1.56,1.56,2.14
25.14,-4.39,-6.53,-4.39,-6.53,6.00,6.03,5.12,1.61,1.61,2.14
25.39,-4.35,-6.49,-4.35,-6.49,6.00,6.03,5.25,1.65,1.65,2.14
25.65,-4.30,-6.44,-4.31,-6.44,6.00,6.02,5.38,1.70,1.69,2.14
25.91,-4.27,-6.41,-4.26,-6.40,6.00,6.01,5.51,1.73,1.74,2.14
26.16,-4.22,-6.36,-4.22,-6.36,6.00,6.00,5.64,1.78,1.78,2.14
26.43,-4.18,-6.32,-4.18,-6.32,6.00,5.98,5.77,1.82,1.82,2.14
26.69,-4.14,-6.28,-4.14,-6.28,6.00,5.97,5.90,1.86,1.86,2.14
26.96,-4.11,-6.25,-4.10,-6.25,6.00,5.96,6.03,1.89,1.90,2.14
27.23,-4.06,-6.20,-4.07,-6.21,6.00,5.94,6.16,1.94,1.93,2.14
27.50,-4.03,-6.17,-4.03,-6.17,6.00,5.93,6.28,1.97,1.97,2.14
27.77,-4.00,-6.14,-3.99,-6.14,6.01,5.91,6.40,2.01,2.01,2.14
28.05,-3.95,-6.09,-3.96,-6.10,6.01,5.90,6.51,2.06,2.05,2.14
28.33,-3.92,-6.06,-3.92,-6.07,6.00,5.88,6.62,2.08,2.08,2.15
28.62,-3.89,-6.04,-3.89,-6.03,6.00,5.86,6.72,2.10,2.11,2.15
28.90,-3.86,-6.01,-3.86,-6.01,5.98,5.84,6.81,2.12,2.12,2.15
29.19,-3.83,-5.98,-3.83,-5.98,5.96,5.82,6.90,2.13,2.13,2.15
29.48,-3.80,-5.95,-3.80,-5.95,5.94,5.80,6.97,2.14,2.14,2.15
29.78,-3.77,-5.92,-3.77,-5.91,5.91,5.78,7.04,2.14,2.15,2.15
30.08,-3.73,-5.88,-3.73,-5.88,5.88,5.76,7.10,2.15,2.15,2.15
30.38,-3.69,-5.84,-3.69,-5.84,5.85,5.73,7.14,2.16,2.16,2.15
30.68,-3.66,-5.81,-3.66,-5.81,5.82,5.71,7.17,2.16,2.16,2.15
30.99,-3.63,-5.78,-3.63,-5.78,5.78,5.69,7.19,2.15,2.15,2.15
31.30,-3.60,-5.75,-3.60,-5.75,5.75,5.66,7.20,2.15,2.15,2.15
31.61,-3.57,-5.72,-3.57,-5.72,5.72,5.64,7.20,2.15,2.15,2.15
31.93,-3.54,-5.69,-3.54,-5.69,5.68,5.61,7.18,2.14,2.14,2.15
32.24,-3.51,-5.66,-3.51,-5.66,5.65,5.58,7.16,2.14,2.14,2.15
32.57,-3.47,-5.62,-3.47,-5.62,5.62,5.55,7.12,2.15,2.15,2.15
32.89,-3.43,-5.58,-3.43,-5.58,5.59,5.53,7.07,2.16,2.15,2.15
33.22,-3.40,-5.55,-3.40,-5.55,5.55,5.50,7.01,2.15,2.15,2.15
33.55,-3.37,-5.52,-3.37,-5.52,5.52,5.47,6.94,2.15,2.15,2.15
33.89,-3.34,-5.49,-3.34,-5.49,5.49,5.44,6.87,2.15,2.15,2.15
34.23,-3.31,-5.46,-3.31,-5.46,5.46,5.41,6.78,2.15,2.15,2.15
34.57,-3.28,-5.43,-3.28,-5.43,5.42,5.37,6.69,2.14,2.14,2.15
34.92,-3.25,-5.40,-3.25,-5.39,5.39,5.34,6.60,2.14,2.14,2.15
35.27,-3.21,-5.36,-3.21,-5.36,5.36,5.31,6.50,2.15,2.15,2.15
35.62,-3.17,-5.32,-3.17,-5.32,5.32,5.27,6.39,2.15,2.15,2.15
35.97,-3.14,-5.28,-3.14,-5.28,5.28,5.24,6.28,2.14,2.15,2.15
36.33,-3.10,-5.24,-3.10,-5.25,5.25,5.21,6.17,2.15,2.14,2.14
36.70,-3.06,-5.20,-3.06,-5.21,5.20,5.17,6.06,2.14,2.14,2.14
37.06,-3.03,-5.17,-3.02,-5.16,5.16,5.14,5.94,2.13,2.14,2.14
37.43,-2.97,-5.11,-2.98,-5.12,5.12,5.10,5.83,2.15,2.14,2.14
37.81,-2.94,-5.08,-2.94,-5.08,5.08,5.06,5.72,2.14,2.14,2.14
38.19,-2.89,-5.03,-2.89,-5.03,5.03,5.03,5.60,2.14,2.14,2.14
