frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-7.27,-9.72,-7.28,-9.73,6.00,5.28,2.63,-1.27,-1.28,2.46
20.20,-7.24,-9.70,-7.23,-9.68,6.00,5.33,2.70,-1.24,-1.23,2.46
20.40,-7.18,-9.64,-7.17,-9.63,6.00,5.37,2.78,-1.18,-1.17,2.46
20.61,-7.10,-9.56,-7.11,-9.57,6.00,5.42,2.86,-1.10,-1.11,2.46
20.81,-7.03,-9.49,-7.03,-9.49,6.00,5.47,2.95,-1.03,-1.03,2.46
21.02,-6.97,-9.43,-6.96,-9.42,6.00,5.51,3.03,-0.97,-0.96,2.46
21.23,-6.89,-9.35,-6.90,-9.36,6.00,5.56,3.12,-0.89,-0.90,2.46
21.44,-6.84,-9.30,-6.83,-9.29,6.00,5.60,3.21,-0.84,-0.83,2.46
21.66,-6.76,-9.22,-6.75,-9.22,6.00,5.65,3.30,-0.76,-0.75,2.47
21.87,-6.68,-9.14,-6.68,-9.15,6.00,5.69,3.40,-0.68,-0.68,2.47
22.09,-6.61,-9.07,-6.61,-9.08,6.00,5.73,3.49,-0.61,-0.61,2.47
22.31,-6.55,-9.02,-6.54,-9.01,6.00,5.77,3.59,-0.55,-0.54,2.47
22.54,-6.48,-8.95,-6.48,-8.95,6.00,5.81,3.70,-0.48,-0.48,2.47
22.76,-6.42,-8.89,-6.41,-8.88,6.00,5.85,3.80,-0.42,-0.41,2.47
22.99,-6.34,-8.81,-6.35,-8.82,6.00,5.88,3.91,-0.34,-0.35,2.47
23.22,-6.29,-8.76,-6.28,-8.75,6.00,5.92,4.02,-0.29,-0.28,2.47
23.45,-6.21,-8.68,-6.21,-8.68,6.00,5.95,4.14,-0.21,-0.21,2.47
23.69,-6.14,-8.61,-6.14,-8.62,6.00,5.99,4.25,-0.14,-0.14,2.47
23.92,-6.08,-8.55,-6.07,-8.55,6.00,6.02,4.37,-0.08,-0.07,2.48
24.16,-6.00,-8.47,-6.01,-8.48,6.00,6.05,4.49,0.00,-0.01,2.48
24.40,-5.95,-8.42,-5.94,-8.42,6.00,6.08,4.62,0.05,0.06,2.48
24.65,-5.87,-8.35,-5.87,-8.35,6.00,6.11,4.74,0.13,0.13,2.48
24.89,-5.81,-8.29,-5.81,-8.29,6.00,6.14,4.87,0.19,0.19,2.48
25.14,-5.75,-8.23,-5.74,-8.22,6.00,6.16,5.00,0.25,0.26,2.48
25.39,-5.68,-8.16,-5.68,-8.16,6.00,6.18,5.13,0.32,0.32,2.48
25.65,-5.60,-8.08,-5.61,-8.09,6.00,6.21,5.26,0.40,0.39,2.48
25.91,-5.55,-8.03,-5.54,-8.02,6.00,6.23,5.39,0.45,0.46,2.48
26.16,-5.47,-7.95,-5.47,-7.95,6.00,6.25,5.52,0.53,0.53,2.48
26.43,-5.40,-7.88,-5.40,-7.89,6.00,6.26,5.65,0.60,0.60,2.48
26.69,-5.34,-7.82,-5.33,-7.82,6.00,6.28,5.78,0.66,0.67,2.49
26.96,-5.27,-7.75,-5.27,-7.76,6.00,6.29,5.90,0.73,0.73,2.49
27.23,-5.21,-7.70,-5.21,-7.69,6.00,6.30,6.03,0.79,0.79,2.49
27.50,-5.14,-7.63,-5.14,-7.63,6.00,6.32,6.15,0.86,0.86,2.49
27.77,-5.08,-7.56,-5.07,-7.56,6.00,6.32,6.27,0.92,0.93,2.49
28.05,-5.00,-7.49,-5.00,-7.49,6.00,6.33,6.38,1.00,1.00,2.49
28.33,-4.94,-7.43,-4.93,-7.42,6.00,6.34,6.49,1.06,1.07,2.49
28.62,-4.87,-7.36,-4.87,-7.35,6.00,6.34,6.60,1.13,1.13,2.49
28.90,-4.79,-7.28,-4.80,-7.29,6.00,6.34,6.69,1.21,1.20,2.49
29.19,-4.74,-7.23,-4.73,-7.22,6.00,6.34,6.78,1.26,1.27,2.49
29.48,-4.66,-7.15,-4.67,-7.16,6.00,6.34,6.86,1.34,1.33,2.49
29.78,-4.61,-7.10,-4.61,-7.10,6.00,6.33,6.94,1.39,1.39,2.49
30.08,-4.55,-7.04,-4.54,-7.03,6.00,6.33,7.00,1.45,1.46,2.49
30.38,-4.48,-6.97,-4.49,-6.98,6.00,6.32,7.05,1.52,1.51,2.49
