frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.62,0.92,4.62,0.92,-0.92,-1.24,-0.64,3.70,3.71,3.70
20.20,4.65,0.95,4.64,0.93,-0.93,-1.24,-0.66,3.71,3.70,3.70
20.40,4.65,0.95,4.65,0.95,-0.95,-1.25,-0.68,3.70,3.70,3.70
20.61,4.67,0.97,4.67,0.97,-0.97,-1.25,-0.70,3.70,3.70,3.70
20.81,4.69,0.99,4.68,0.98,-0.99,-1.25,-0.72,3.70,3.70,3.70
21.02,4.70,1.00,4.70,1.00,-1.00,-1.25,-0.74,3.69,3.70,3.70
21.23,4.73,1.03,4.72,1.02,-1.02,-1.25,-0.77,3.70,3.70,3.70
21.44,4.73,1.03,4.74,1.04,-1.04,-1.25,-0.79,3.69,3.70,3.70
21.66,4.77,1.07,4.76,1.06,-1.06,-1.25,-0.81,3.71,3.70,3.70
21.87,4.78,1.08,4.78,1.08,-1.08,-1.25,-0.84,3.70,3.70,3.70
22.09,4.79,1.09,4.79,1.10,-1.09,-1.25,-0.86,3.69,3.70,3.70
22.31,4.82,1.12,4.81,1.11,-1.11,-1.25,-0.89,3.71,3.70,3.70
22.54,4.82,1.12,4.83,1.13,-1.13,-1.25,-0.91,3.69,3.70,3.70
22.76,4.85,1.15,4.84,1.14,-1.15,-1.25,-0.94,3.70,3.69,3.70
22.99,4.86,1.16,4.85,1.16,-1.16,-1.26,-0.96,3.69,3.69,3.70
23.22,4.86,1.16,4.88,1.18,-1.18,-1.26,-0.99,3.68,3.70,3.70
23.45,4.91,1.21,4.89,1.19,-1.19,-1.26,-1.02,3.71,3.69,3.70
23.69,4.91,1.21,4.91,1.21,-1.21,-1.26,-1.05,3.70,3.70,3.69
23.92,4.91,1.21,4.92,1.23,-1.22,-1.26,-1.08,3.68,3.70,3.69
24.16,4.95,1.25,4.93,1.24,-1.24,-1.26,-1.11,3.71,3.70,3.69
24.40,4.95,1.25,4.94,1.25,-1.25,-1.26,-1.14,3.70,3.69,3.69
24.65,4.95,1.25,4.95,1.26,-1.26,-1.26,-1.17,3.69,3.69,3.69
24.89,4.95,1.25,4.96,1.27,-1.27,-1.26,-1.20,3.68,3.69,3.69
25.14,4.99,1.29,4.97,1.28,-1.28,-1.26,-1.23,3.70,3.69,3.69
25.39,4.99,1.30,4.98,1.29,-1.29,-1.27,-1.26,3.69,3.69,3.69
25.65,4.99,1.30,4.99,1.30,-1.30,-1.27,-1.29,3.68,3.69,3.69
25.91,4.99,1.30,5.00,1.31,-1.31,-1.27,-1.33,3.67,3.68,3.69
