frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.03,-10.15,-5.03,-10.14,6.00,5.71,2.50,0.97,0.97,5.12
20.20,-4.90,-10.02,-4.90,-10.03,6.00,5.75,2.57,1.10,1.10,5.12
20.40,-4.78,-9.91,-4.78,-9.91,6.00,5.78,2.65,1.22,1.22,5.13
20.61,-4.65,-9.79,-4.65,-9.79,6.00,5.81,2.73,1.35,1.35,5.14
20.81,-4.52,-9.66,-4.52,-9.67,6.00,5.84,2.81,1.48,1.48,5.14
21.02,-4.40,-9.55,-4.39,-9.54,6.00,5.86,2.89,1.60,1.61,5.15
21.23,-4.26,-9.41,-4.26,-9.41,6.00,5.89,2.98,1.74,1.74,5.15
21.44,-4.13,-9.29,-4.13,-9.29,6.00,5.92,3.06,1.87,1.87,5.16
21.66,-4.00,-9.17,-4.00,-9.16,6.00,5.94,3.15,2.00,2.00,5.17
21.87,-3.87,-9.04,-3.87,-9.04,6.00,5.96,3.25,2.13,2.13,5.17
22.09,-3.75,-8.93,-3.75,-8.93,6.00,5.99,3.34,2.25,2.25,5.18
22.31,-3.64,-8.83,-3.64,-8.82,6.00,6.01,3.44,2.36,2.36,5.19
22.54,-3.54,-8.73,-3.54,-8.73,6.00,6.03,3.54,2.46,2.46,5.19
22.76,-3.44,-8.64,-3.44,-8.63,6.00,6.04,3.64,2.56,2.56,5.20
22.99,-3.33,-8.54,-3.34,-8.54,6.00,6.06,3.75,2.67,2.66,5.21
23.22,-3.24,-8.46,-3.24,-8.45,6.00,6.08,3.86,2.76,2.76,5.22
23.45,-3.14,-8.36,-3.14,-8.37,6.00,6.09,3.97,2.86,2.86,5.23
23.69,-3.05,-8.29,-3.05,-8.28,6.00,6.10,4.08,2.95,2.95,5.23
23.92,-2.95,-8.19,-2.95,-8.19,6.00,6.11,4.19,3.05,3.05,5.24
24.16,-2.85,-8.10,-2.85,-8.10,6.00,6.12,4.31,3.15,3.15,5.25
24.40,-2.75,-8.01,-2.75,-8.02,6.00,6.13,4.43,3.25,3.25,5.26
24.65,-2.65,-7.93,-2.65,-7.93,6.00,6.14,4.55,3.35,3.35,5.28
24.89,-2.55,-7.84,-2.55,-7.84,6.00,6.14,4.67,3.45,3.45,5.29
