frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.96,-5.34,1.96,-5.34,5.34,-0.53,0.90,7.30,7.30,7.30
20.20,2.05,-5.25,2.05,-5.26,5.26,-0.53,0.93,7.30,7.30,7.30
20.40,2.14,-5.17,2.14,-5.17,5.17,-0.53,0.96,7.31,7.31,7.31
20.61,2.22,-5.09,2.23,-5.09,5.09,-0.53,1.00,7.31,7.32,7.32
20.81,2.32,-5.00,2.32,-5.00,5.00,-0.53,1.03,7.32,7.32,7.32
21.02,2.41,-4.92,2.41,-4.92,4.92,-0.54,1.06,7.33,7.33,7.33
21.23,2.50,-4.83,2.50,-4.83,4.83,-0.54,1.09,7.33,7.33,7.33
21.44,2.59,-4.75,2.59,-4.75,4.75,-0.54,1.13,7.34,7.34,7.34
21.66,2.68,-4.67,2.68,-4.66,4.66,-0.54,1.17,7.34,7.34,7.35
21.87,2.78,-4.57,2.77,-4.58,4.57,-0.55,1.20,7.35,7.35,7.35
22.09,2.87,-4.49,2.87,-4.49,4.49,-0.55,1.24,7.35,7.35,7.36
22.31,2.97,-4.40,2.96,-4.40,4.40,-0.55,1.28,7.37,7.36,7.37
22.54,3.05,-4.31,3.06,-4.31,4.31,-0.55,1.32,7.36,7.37,7.36
22.76,3.16,-4.22,3.16,-4.22,4.22,-0.55,1.36,7.38,7.38,7.37
22.99,3.26,-4.13,3.25,-4.13,4.13,-0.56,1.40,7.39,7.39,7.38
23.22,3.35,-4.05,3.35,-4.04,4.04,-0.56,1.45,7.39,7.39,7.39
23.45,3.45,-3.96,3.44,-3.96,3.96,-0.56,1.49,7.41,7.40,7.40
23.69,3.53,-3.88,3.54,-3.87,3.87,-0.57,1.54,7.41,7.41,7.41
23.92,3.64,-3.78,3.64,-3.78,3.79,-0.57,1.58,7.42,7.42,7.42
24.16,3.74,-3.69,3.73,-3.70,3.70,-0.57,1.63,7.44,7.43,7.43
24.40,3.83,-3.61,3.83,-3.61,3.61,-0.57,1.67,7.44,7.44,7.44
24.65,3.93,-3.53,3.93,-3.53,3.53,-0.58,1.72,7.45,7.45,7.46
24.89,4.03,-3.44,4.03,-3.44,3.44,-0.58,1.77,7.47,7.47,7.47
25.14,4.13,-3.35,4.13,-3.35,3.35,-0.58,1.82,7.48,7.48,7.48
25.39,4.23,-3.26,4.23,-3.26,3.26,-0.59,1.86,7.49,7.49,7.49
25.65,4.33,-3.17,4.33,-3.17,3.18,-0.59,1.91,7.50,7.50,7.50
25.91,4.42,-3.09,4.43,-3.09,3.09,-0.59,1.96,7.51,7.51,7.52
