frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.17,-4.76,-2.17,-4.75,4.75,4.47,1.31,2.59,2.59,2.59
20.20,-2.11,-4.70,-2.11,-4.70,4.70,4.49,1.35,2.60,2.59,2.59
20.40,-2.05,-4.65,-2.05,-4.65,4.65,4.52,1.39,2.60,2.60,2.60
20.61,-2.00,-4.61,-1.99,-4.60,4.60,4.53,1.43,2.60,2.61,2.61
20.81,-1.93,-4.54,-1.94,-4.55,4.55,4.55,1.48,2.61,2.61,2.61
21.02,-1.88,-4.49,-1.88,-4.49,4.50,4.55,1.52,2.62,2.62,2.62
21.23,-1.83,-4.44,-1.82,-4.44,4.44,4.56,1.57,2.62,2.62,2.62
21.44,-1.76,-4.39,-1.76,-4.39,4.39,4.55,1.62,2.63,2.63,2.63
21.66,-1.71,-4.34,-1.71,-4.34,4.34,4.55,1.66,2.63,2.63,2.64
21.87,-1.64,-4.28,-1.65,-4.29,4.29,4.53,1.72,2.64,2.64,2.64
22.09,-1.59,-4.24,-1.59,-4.24,4.24,4.52,1.77,2.64,2.65,2.65
22.31,-1.53,-4.19,-1.53,-4.19,4.19,4.49,1.82,2.65,2.65,2.66
22.54,-1.48,-4.13,-1.48,-4.14,4.14,4.47,1.88,2.66,2.66,2.66
22.76,-1.41,-4.08,-1.41,-4.08,4.09,4.43,1.93,2.67,2.67,2.67
22.99,-1.36,-4.03,-1.36,-4.03,4.03,4.40,1.99,2.68,2.68,2.68
23.22,-1.30,-3.98,-1.30,-3.98,3.99,4.36,2.05,2.69,2.69,2.69
23.45,-1.24,-3.94,-1.24,-3.94,3.94,4.31,2.11,2.69,2.69,2.70
23.69,-1.19,-3.89,-1.18,-3.89,3.89,4.27,2.17,2.70,2.70,2.70
23.92,-1.12,-3.84,-1.13,-3.84,3.84,4.22,2.23,2.72,2.71,2.71
24.16,-1.06,-3.79,-1.07,-3.79,3.79,4.16,2.30,2.73,2.73,2.72
24.40,-1.00,-3.74,-1.00,-3.74,3.74,4.11,2.36,2.74,2.74,2.73
24.65,-0.95,-3.70,-0.95,-3.70,3.69,4.05,2.43,2.75,2.75,2.75
24.89,-0.88,-3.65,-0.88,-3.65,3.64,3.98,2.49,2.76,2.76,2.76
25.14,-0.82,-3.60,-0.82,-3.59,3.59,3.92,2.56,2.77,2.77,2.77
25.39,-0.75,-3.54,-0.76,-3.54,3.54,3.86,2.63,2.79,2.78,2.78
25.65,-0.70,-3.49,-0.70,-3.49,3.49,3.79,2.69,2.80,2.80,2.79
25.91,-0.64,-3.45,-0.63,-3.44,3.44,3.72,2.76,2.81,2.81,2.81
26.16,-0.57,-3.39,-0.58,-3.39,3.39,3.65,2.82,2.82,2.82,2.82
26.43,-0.52,-3.35,-0.52,-3.35,3.35,3.58,2.89,2.83,2.83,2.83
26.69,-0.46,-3.29,-0.46,-3.30,3.30,3.51,2.95,2.84,2.84,2.84
26.96,-0.40,-3.25,-0.40,-3.25,3.25,3.44,3.02,2.86,2.86,2.86
27.23,-0.34,-3.20,-0.34,-3.21,3.21,3.37,3.08,2.87,2.87,2.87
27.50,-0.28,-3.16,-0.28,-3.16,3.16,3.30,3.14,2.88,2.88,2.89
27.77,-0.21,-3.11,-0.22,-3.11,3.11,3.23,3.19,2.90,2.90,2.90
28.05,-0.16,-3.07,-0.15,-3.07,3.07,3.16,3.25,2.91,2.91,2.92
28.33,-0.09,-3.02,-0.09,-3.02,3.02,3.09,3.30,2.92,2.93,2.92
28.62,-0.03,-2.97,-0.03,-2.97,2.97,3.02,3.34,2.95,2.94,2.94
28.90,0.03,-2.92,0.03,-2.92,2.92,2.95,3.38,2.96,2.96,2.95
29.19,0.09,-2.88,0.09,-2.88,2.88,2.88,3.42,2.97,2.97,2.97
29.48,0.16,-2.83,0.15,-2.83,2.83,2.82,3.45,2.98,2.98,2.98
29.78,0.21,-2.79,0.22,-2.78,2.77,2.75,3.48,2.99,2.99,3.00
30.08,0.28,-2.73,0.28,-2.73,2.72,2.68,3.50,3.01,3.01,3.01
30.38,0.35,-2.67,0.35,-2.67,2.67,2.62,3.52,3.02,3.02,3.03
30.68,0.42,-2.61,0.42,-2.61,2.62,2.56,3.53,3.04,3.04,3.04
30.99,0.49,-2.56,0.49,-2.56,2.57,2.49,3.53,3.06,3.06,3.06
31.30,0.55,-2.51,0.55,-2.51,2.52,2.43,3.53,3.07,3.07,3.06
31.61,0.61,-2.47,0.62,-2.47,2.47,2.37,3.52,3.08,3.08,3.08
31.93,0.67,-2.42,0.67,-2.42,2.42,2.31,3.51,3.09,3.09,3.09
32.24,0.74,-2.38,0.73,-2.37,2.37,2.26,3.49,3.11,3.11,3.11
32.57,0.79,-2.33,0.79,-2.33,2.32,2.20,3.46,3.12,3.12,3.12
32.89,0.86,-2.28,0.86,-2.28,2.28,2.14,3.43,3.13,3.13,3.14
33.22,0.91,-2.23,0.92,-2.23,2.23,2.09,3.39,3.14,3.15,3.15
33.55,0.99,-2.18,0.98,-2.18,2.18,2.04,3.35,3.17,3.16,3.16
33.89,1.04,-2.13,1.04,-2.13,2.13,1.99,3.30,3.18,3.18,3.17
34.23,1.10,-2.09,1.11,-2.08,2.09,1.93,3.25,3.19,3.19,3.19
34.57,1.16,-2.03,1.16,-2.03,2.04,1.88,3.19,3.20,3.20,3.20
34.92,1.22,-1.98,1.22,-1.99,1.99,1.84,3.13,3.22,3.21,3.21
35.27,1.27,-1.95,1.28,-1.95,1.95,1.79,3.06,3.22,3.22,3.23
35.62,1.32,-1.91,1.33,-1.90,1.90,1.74,3.00,3.23,3.23,3.23
35.97,1.39,-1.86,1.38,-1.86,1.86,1.70,2.93,3.24,3.24,3.24
36.33,1.44,-1.81,1.43,-1.82,1.81,1.65,2.86,3.25,3.25,3.25
36.70,1.48,-1.77,1.49,-1.77,1.77,1.61,2.78,3.26,3.26,3.26
37.06,1.54,-1.73,1.54,-1.73,1.73,1.57,2.71,3.27,3.27,3.26
