frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.81,-4.94,-1.81,-4.94,4.94,4.44,1.35,3.14,3.14,3.14
20.20,-1.75,-4.88,-1.75,-4.89,4.89,4.44,1.39,3.14,3.14,3.14
20.40,-1.69,-4.83,-1.69,-4.83,4.83,4.45,1.44,3.15,3.15,3.15
20.61,-1.63,-4.78,-1.63,-4.78,4.78,4.45,1.48,3.15,3.15,3.16
20.81,-1.57,-4.72,-1.57,-4.72,4.72,4.45,1.53,3.16,3.16,3.16
21.02,-1.51,-4.67,-1.51,-4.67,4.67,4.44,1.58,3.16,3.16,3.17
21.23,-1.45,-4.61,-1.45,-4.61,4.62,4.43,1.63,3.17,3.17,3.17
21.44,-1.39,-4.56,-1.39,-4.56,4.56,4.42,1.68,3.18,3.18,3.18
21.66,-1.33,-4.51,-1.33,-4.51,4.51,4.41,1.74,3.18,3.18,3.18
21.87,-1.27,-4.45,-1.27,-4.45,4.45,4.40,1.79,3.19,3.19,3.18
22.09,-1.21,-4.40,-1.21,-4.40,4.40,4.38,1.85,3.19,3.19,3.19
22.31,-1.15,-4.35,-1.15,-4.35,4.35,4.35,1.91,3.20,3.20,3.20
22.54,-1.09,-4.29,-1.09,-4.29,4.29,4.33,1.97,3.21,3.21,3.20
22.76,-1.03,-4.24,-1.03,-4.24,4.24,4.30,2.03,3.22,3.22,3.21
22.99,-0.97,-4.19,-0.97,-4.19,4.19,4.27,2.09,3.22,3.22,3.22
23.22,-0.91,-4.14,-0.91,-4.14,4.14,4.24,2.15,3.23,3.23,3.23
23.45,-0.85,-4.09,-0.85,-4.09,4.09,4.20,2.22,3.24,3.24,3.24
23.69,-0.79,-4.04,-0.79,-4.04,4.04,4.16,2.29,3.25,3.25,3.25
23.92,-0.73,-3.99,-0.73,-3.99,3.99,4.12,2.35,3.26,3.26,3.26
24.16,-0.67,-3.94,-0.66,-3.93,3.93,4.08,2.42,3.27,3.27,3.27
24.40,-0.60,-3.88,-0.60,-3.88,3.88,4.04,2.49,3.29,3.28,3.28
24.65,-0.54,-3.84,-0.54,-3.83,3.83,3.99,2.57,3.30,3.30,3.30
24.89,-0.48,-3.78,-0.47,-3.78,3.78,3.94,2.64,3.31,3.31,3.31
25.14,-0.42,-3.73,-0.41,-3.73,3.73,3.89,2.71,3.32,3.32,3.32
25.39,-0.35,-3.67,-0.35,-3.68,3.68,3.83,2.78,3.33,3.33,3.33
25.65,-0.29,-3.62,-0.29,-3.63,3.63,3.78,2.86,3.34,3.34,3.34
25.91,-0.23,-3.58,-0.23,-3.58,3.58,3.72,2.93,3.35,3.36,3.36
26.16,-0.17,-3.53,-0.17,-3.53,3.53,3.67,3.00,3.37,3.36,3.37
26.43,-0.11,-3.48,-0.11,-3.48,3.48,3.61,3.07,3.38,3.38,3.38
26.69,-0.05,-3.43,-0.05,-3.43,3.44,3.55,3.14,3.39,3.39,3.39
26.96,0.01,-3.39,0.01,-3.39,3.39,3.49,3.21,3.40,3.40,3.40
27.23,0.07,-3.34,0.07,-3.34,3.34,3.43,3.28,3.42,3.42,3.41
27.50,0.13,-3.30,0.13,-3.30,3.30,3.37,3.34,3.43,3.43,3.43
27.77,0.19,-3.25,0.20,-3.25,3.25,3.31,3.41,3.45,3.45,3.44
28.05,0.25,-3.21,0.25,-3.21,3.21,3.25,3.47,3.46,3.46,3.46
28.33,0.31,-3.16,0.31,-3.16,3.16,3.19,3.52,3.48,3.47,3.47
28.62,0.36,-3.13,0.37,-3.12,3.12,3.14,3.57,3.48,3.49,3.49
28.90,0.42,-3.08,0.42,-3.08,3.08,3.08,3.62,3.50,3.50,3.50
29.19,0.48,-3.03,0.48,-3.03,3.03,3.02,3.66,3.51,3.51,3.52
29.48,0.54,-2.98,0.54,-2.99,2.99,2.97,3.70,3.53,3.53,3.53
29.78,0.60,-2.94,0.60,-2.94,2.94,2.91,3.73,3.54,3.54,3.55
30.08,0.66,-2.89,0.66,-2.89,2.89,2.86,3.75,3.56,3.56,3.56
30.38,0.72,-2.85,0.72,-2.85,2.85,2.81,3.77,3.57,3.57,3.57
30.68,0.78,-2.80,0.78,-2.80,2.80,2.76,3.79,3.59,3.59,3.58
30.99,0.84,-2.76,0.84,-2.76,2.76,2.71,3.79,3.60,3.60,3.60
31.30,0.89,-2.72,0.90,-2.72,2.72,2.66,3.79,3.61,3.61,3.61
31.61,0.95,-2.68,0.95,-2.67,2.67,2.61,3.78,3.63,3.63,3.63
31.93,1.01,-2.63,1.01,-2.63,2.63,2.56,3.77,3.65,3.64,3.64
32.24,1.06,-2.59,1.06,-2.59,2.59,2.52,3.74,3.66,3.66,3.66
32.57,1.11,-2.55,1.12,-2.55,2.55,2.47,3.72,3.67,3.67,3.67
32.89,1.16,-2.52,1.17,-2.52,2.51,2.43,3.68,3.68,3.68,3.68
33.22,1.22,-2.47,1.22,-2.47,2.47,2.39,3.64,3.69,3.69,3.69
33.55,1.27,-2.44,1.28,-2.43,2.43,2.34,3.60,3.70,3.71,3.71
33.89,1.33,-2.39,1.33,-2.39,2.39,2.30,3.54,3.72,3.72,3.72
