frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.57,-4.75,-2.57,-4.75,4.75,4.60,1.57,2.18,2.18,2.18
20.20,-2.49,-4.73,-2.49,-4.73,4.72,4.59,1.62,2.23,2.23,2.24
20.40,-2.41,-4.70,-2.41,-4.70,4.70,4.57,1.66,2.29,2.29,2.29
20.61,-2.33,-4.68,-2.33,-4.67,4.67,4.54,1.71,2.34,2.35,2.35
20.81,-2.24,-4.64,-2.24,-4.64,4.65,4.52,1.77,2.41,2.40,2.40
21.02,-2.16,-4.62,-2.16,-4.62,4.62,4.50,1.82,2.46,2.46,2.46
21.23,-2.08,-4.59,-2.08,-4.59,4.59,4.48,1.87,2.51,2.51,2.51
21.44,-2.00,-4.56,-2.00,-4.56,4.56,4.45,1.93,2.56,2.56,2.56
21.66,-1.92,-4.53,-1.92,-4.53,4.53,4.43,1.99,2.61,2.61,2.61
21.87,-1.84,-4.50,-1.84,-4.50,4.49,4.40,2.05,2.66,2.65,2.66
22.09,-1.76,-4.47,-1.76,-4.47,4.46,4.38,2.11,2.70,2.70,2.71
22.31,-1.68,-4.44,-1.68,-4.43,4.43,4.35,2.17,2.75,2.75,2.76
22.54,-1.59,-4.39,-1.59,-4.39,4.39,4.32,2.24,2.80,2.80,2.80
22.76,-1.51,-4.35,-1.51,-4.35,4.36,4.30,2.30,2.85,2.85,2.85
22.99,-1.43,-4.32,-1.43,-4.32,4.32,4.27,2.37,2.89,2.89,2.88
23.22,-1.35,-4.28,-1.35,-4.28,4.28,4.24,2.44,2.93,2.93,2.93
23.45,-1.27,-4.24,-1.27,-4.25,4.25,4.21,2.51,2.98,2.98,2.97
23.69,-1.19,-4.21,-1.19,-4.21,4.21,4.18,2.58,3.02,3.02,3.02
23.92,-1.11,-4.17,-1.11,-4.18,4.17,4.15,2.65,3.07,3.06,3.06
24.16,-1.03,-4.14,-1.03,-4.14,4.14,4.12,2.73,3.11,3.11,3.11
24.40,-0.95,-4.10,-0.95,-4.10,4.10,4.09,2.80,3.15,3.15,3.15
24.65,-0.87,-4.06,-0.87,-4.06,4.06,4.06,2.88,3.19,3.19,3.19
24.89,-0.79,-4.02,-0.79,-4.02,4.02,4.02,2.96,3.24,3.24,3.23
25.14,-0.71,-3.98,-0.71,-3.98,3.99,3.99,3.03,3.28,3.27,3.27
25.39,-0.64,-3.95,-0.64,-3.95,3.95,3.96,3.11,3.31,3.31,3.31
25.65,-0.56,-3.91,-0.56,-3.91,3.91,3.92,3.19,3.35,3.35,3.35
25.91,-0.48,-3.87,-0.48,-3.87,3.87,3.89,3.26,3.39,3.39,3.39
26.16,-0.40,-3.83,-0.40,-3.83,3.83,3.86,3.34,3.43,3.42,3.43
26.43,-0.33,-3.79,-0.33,-3.79,3.79,3.82,3.42,3.46,3.46,3.46
26.69,-0.25,-3.75,-0.25,-3.75,3.75,3.79,3.49,3.50,3.50,3.50
26.96,-0.17,-3.71,-0.17,-3.71,3.71,3.75,3.56,3.54,3.53,3.54
27.23,-0.10,-3.67,-0.10,-3.67,3.67,3.72,3.64,3.57,3.57,3.57
27.50,-0.02,-3.63,-0.02,-3.63,3.63,3.68,3.70,3.61,3.61,3.61
27.77,0.05,-3.59,0.05,-3.59,3.59,3.65,3.77,3.64,3.64,3.65
28.05,0.12,-3.55,0.12,-3.56,3.56,3.61,3.83,3.68,3.68,3.67
28.33,0.19,-3.52,0.19,-3.52,3.52,3.57,3.89,3.71,3.71,3.71
28.62,0.26,-3.49,0.26,-3.49,3.48,3.54,3.95,3.74,3.75,3.75
28.90,0.34,-3.45,0.34,-3.45,3.45,3.50,4.00,3.79,3.79,3.79
29.19,0.41,-3.41,0.41,-3.41,3.42,3.46,4.04,3.83,3.83,3.82
29.48,0.48,-3.38,0.48,-3.38,3.38,3.43,4.08,3.86,3.86,3.86
29.78,0.55,-3.35,0.55,-3.35,3.35,3.39,4.12,3.90,3.90,3.90
30.08,0.61,-3.32,0.61,-3.32,3.33,3.35,4.15,3.93,3.93,3.93
30.38,0.67,-3.30,0.67,-3.30,3.30,3.32,4.17,3.97,3.97,3.97
30.68,0.72,-3.28,0.72,-3.27,3.28,3.28,4.18,4.00,4.00,4.00
30.99,0.78,-3.25,0.78,-3.26,3.25,3.24,4.19,4.03,4.03,4.03
31.30,0.83,-3.23,0.83,-3.23,3.23,3.21,4.20,4.06,4.06,4.06
31.61,0.88,-3.21,0.88,-3.21,3.21,3.17,4.19,4.09,4.09,4.09
31.93,0.94,-3.18,0.94,-3.18,3.18,3.13,4.18,4.12,4.12,4.12
32.24,0.99,-3.16,0.99,-3.16,3.16,3.09,4.16,4.15,4.15,4.15
32.57,1.05,-3.13,1.05,-3.13,3.13,3.06,4.14,4.18,4.18,4.18
32.89,1.10,-3.11,1.10,-3.10,3.10,3.02,4.11,4.20,4.20,4.21
33.22,1.16,-3.06,1.16,-3.07,3.07,2.98,4.08,4.23,4.23,4.23
33.55,1.21,-3.04,1.21,-3.04,3.04,2.94,4.04,4.25,4.25,4.25
33.89,1.26,-3.01,1.26,-3.01,3.01,2.91,3.99,4.27,4.28,4.27
34.23,1.31,-2.98,1.31,-2.98,2.99,2.87,3.94,4.30,4.30,4.29
34.57,1.36,-2.96,1.36,-2.96,2.95,2.83,3.89,4.31,4.31,4.32
34.92,1.41,-2.93,1.41,-2.93,2.92,2.80,3.83,4.33,4.33,4.34
35.27,1.46,-2.89,1.46,-2.90,2.89,2.76,3.77,4.35,4.35,4.35
35.62,1.51,-2.86,1.51,-2.86,2.86,2.72,3.70,4.37,4.37,4.37
35.97,1.57,-2.82,1.57,-2.82,2.82,2.69,3.63,4.39,4.39,4.39
36.33,1.62,-2.78,1.62,-2.78,2.79,2.65,3.57,4.41,4.41,4.40
36.70,1.67,-2.75,1.67,-2.74,2.75,2.61,3.49,4.42,4.42,4.42
37.06,1.72,-2.71,1.72,-2.71,2.71,2.58,3.42,4.43,4.43,4.43
37.43,1.77,-2.67,1.77,-2.67,2.67,2.54,3.35,4.44,4.44,4.44
37.81,1.82,-2.64,1.82,-2.64,2.63,2.51,3.28,4.45,4.45,4.46
38.19,1.87,-2.60,1.87,-2.60,2.59,2.47,3.20,4.46,4.46,4.47
38.57,1.92,-2.55,1.92,-2.56,2.56,2.43,3.13,4.48,4.47,4.47
38.95,1.96,-2.52,1.96,-2.52,2.52,2.40,3.05,4.48,4.48,4.48
39.34,2.01,-2.48,2.01,-2.48,2.48,2.36,2.98,4.49,4.49,4.49
39.74,2.05,-2.44,2.05,-2.44,2.44,2.33,2.91,4.49,4.49,4.49
40.14,2.09,-2.40,2.09,-2.41,2.41,2.29,2.84,4.50,4.50,4.49
40.54,2.13,-2.37,2.13,-2.37,2.37,2.26,2.77,4.50,4.50,4.50
40.94,2.16,-2.34,2.16,-2.34,2.34,2.22,2.70,4.50,4.50,4.50
41.35,2.20,-2.30,2.20,-2.30,2.30,2.19,2.63,4.50,4.50,4.50
41.76,2.24,-2.27,2.24,-2.27,2.26,2.16,2.56,4.50,4.50,4.51
42.18,2.28,-2.22,2.28,-2.23,2.23,2.12,2.50,4.51,4.51,4.50
42.60,2.31,-2.20,2.31,-2.19,2.19,2.09,2.43,4.50,4.51,4.51
43.03,2.35,-2.15,2.35,-2.16,2.16,2.05,2.37,4.51,4.51,4.50
43.46,2.39,-2.12,2.39,-2.12,2.12,2.02,2.31,4.51,4.51,4.51
43.90,2.42,-2.09,2.42,-2.08,2.09,1.99,2.25,4.51,4.51,4.51
44.33,2.46,-2.05,2.46,-2.05,2.05,1.95,2.19,4.51,4.51,4.51
44.78,2.49,-2.02,2.49,-2.02,2.01,1.92,2.14,4.50,4.51,4.51
45.23,2.53,-1.98,2.53,-1.98,1.98,1.89,2.08,4.51,4.51,4.51
45.68,2.56,-1.95,2.56,-1.94,1.94,1.86,2.03,4.50,4.51,4.51
46.13,2.60,-1.90,2.60,-1.91,1.91,1.82,1.98,4.51,4.51,4.50
46.60,2.63,-1.87,2.63,-1.87,1.87,1.79,1.93,4.50,4.50,4.50
47.06,2.66,-1.84,2.66,-1.84,1.84,1.76,1.88,4.50,4.50,4.50
47.53,2.69,-1.80,2.69,-1.81,1.80,1.73,1.84,4.49,4.49,4.49
48.01,2.72,-1.78,2.72,-1.77,1.77,1.70,1.79,4.49,4.49,4.50
48.49,2.75,-1.74,2.75,-1.74,1.74,1.67,1.75,4.49,4.49,4.49
48.97,2.78,-1.70,2.78,-1.71,1.71,1.63,1.71,4.49,4.49,4.48
49.46,2.80,-1.69,2.80,-1.68,1.69,1.60,1.67,4.49,4.49,4.49
49.96,2.82,-1.66,2.82,-1.66,1.67,1.57,1.63,4.49,4.49,4.48
50.46,2.83,-1.65,2.83,-1.65,1.65,1.54,1.59,4.48,4.48,4.48
50.96,2.84,-1.63,2.84,-1.64,1.63,1.51,1.55,4.47,4.47,4.47
51.47,2.85,-1.62,2.85,-1.62,1.61,1.48,1.52,4.46,4.47,4.47
51.99,2.87,-1.60,2.87,-1.60,1.59,1.45,1.48,4.46,4.46,4.47
52.51,2.89,-1.57,2.89,-1.58,1.58,1.42,1.45,4.47,4.46,4.46
53.03,2.90,-1.56,2.90,-1.55,1.56,1.39,1.41,4.46,4.46,4.46
53.56,2.92,-1.53,2.92,-1.53,1.53,1.36,1.38,4.45,4.45,4.45
54.10,2.93,-1.51,2.93,-1.51,1.51,1.33,1.35,4.44,4.44,4.44
54.64,2.95,-1.48,2.95,-1.48,1.48,1.30,1.32,4.43,4.43,4.43
55.18,2.97,-1.45,2.97,-1.45,1.45,1.28,1.29,4.42,4.41,4.42
55.74,2.99,-1.42,2.99,-1.42,1.41,1.25,1.26,4.40,4.40,4.41
56.29,3.01,-1.38,3.01,-1.38,1.38,1.22,1.23,4.39,4.39,4.39
56.86,3.03,-1.35,3.03,-1.34,1.34,1.19,1.20,4.37,4.37,4.37
57.42,3.05,-1.30,3.05,-1.30,1.31,1.16,1.17,4.36,4.36,4.35
58.00,3.07,-1.26,3.07,-1.26,1.27,1.13,1.15,4.34,4.34,4.33
58.58,3.08,-1.23,3.08,-1.23,1.23,1.10,1.12,4.31,4.31,4.31
59.16,3.09,-1.19,3.09,-1.19,1.19,1.08,1.09,4.28,4.28,4.28
59.76,3.10,-1.16,3.10,-1.16,1.15,1.05,1.06,4.25,4.25,4.26
60.35,3.11,-1.12,3.11,-1.12,1.11,1.02,1.03,4.22,4.23,4.23
60.96,3.13,-1.07,3.13,-1.07,1.07,0.99,1.00,4.20,4.20,4.20
61.57,3.15,-1.03,3.15,-1.03,1.02,0.96,0.97,4.17,4.17,4.18
62.18,3.17,-0.97,3.17,-0.98,0.97,0.94,0.94,4.14,4.14,4.14
