frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.81,-5.56,-5.81,-5.55,5.56,3.68,-0.38,-0.26,-0.26,-0.26
20.20,-5.60,-5.41,-5.61,-5.41,5.41,3.58,-0.39,-0.20,-0.20,-0.20
20.40,-5.40,-5.25,-5.40,-5.26,5.26,3.48,-0.40,-0.15,-0.15,-0.15
20.61,-5.20,-5.11,-5.20,-5.11,5.11,3.38,-0.40,-0.09,-0.09,-0.09
20.81,-4.99,-4.95,-4.99,-4.96,4.95,3.28,-0.41,-0.04,-0.04,-0.04
21.02,-4.78,-4.80,-4.78,-4.80,4.80,3.18,-0.42,0.01,0.02,0.02
21.23,-4.57,-4.64,-4.58,-4.64,4.64,3.08,-0.43,0.07,0.07,0.07
21.44,-4.36,-4.48,-4.37,-4.49,4.49,2.98,-0.44,0.13,0.12,0.12
21.66,-4.17,-4.34,-4.16,-4.33,4.33,2.87,-0.45,0.16,0.17,0.17
21.87,-3.95,-4.17,-3.95,-4.17,4.17,2.77,-0.46,0.22,0.22,0.22
22.09,-3.74,-4.01,-3.74,-4.01,4.01,2.67,-0.47,0.27,0.27,0.27
22.31,-3.53,-3.85,-3.54,-3.85,3.85,2.56,-0.48,0.32,0.31,0.32
22.54,-3.34,-3.69,-3.33,-3.69,3.69,2.46,-0.49,0.35,0.36,0.36
22.76,-3.12,-3.53,-3.12,-3.53,3.53,2.35,-0.50,0.40,0.40,0.41
22.99,-2.92,-3.36,-2.91,-3.36,3.36,2.25,-0.51,0.45,0.45,0.45
23.22,-2.71,-3.20,-2.71,-3.20,3.20,2.14,-0.52,0.50,0.50,0.50
23.45,-2.49,-3.03,-2.50,-3.04,3.04,2.04,-0.53,0.54,0.54,0.54
23.69,-2.30,-2.88,-2.29,-2.87,2.87,1.93,-0.54,0.58,0.58,0.58
23.92,-2.08,-2.71,-2.08,-2.71,2.71,1.82,-0.56,0.63,0.63,0.62
24.16,-1.87,-2.55,-1.88,-2.55,2.54,1.71,-0.57,0.67,0.67,0.67
24.40,-1.66,-2.38,-1.67,-2.38,2.38,1.60,-0.58,0.72,0.71,0.71
24.65,-1.47,-2.22,-1.46,-2.21,2.21,1.49,-0.60,0.75,0.75,0.75
24.89,-1.25,-2.04,-1.25,-2.04,2.05,1.38,-0.61,0.79,0.79,0.79
25.14,-1.04,-1.87,-1.05,-1.88,1.88,1.27,-0.62,0.84,0.83,0.83
25.39,-0.84,-1.71,-0.84,-1.71,1.71,1.16,-0.64,0.87,0.87,0.87
25.65,-0.64,-1.55,-0.64,-1.55,1.55,1.05,-0.65,0.91,0.91,0.91
25.91,-0.44,-1.39,-0.43,-1.38,1.38,0.94,-0.67,0.94,0.95,0.95
26.16,-0.22,-1.21,-0.23,-1.21,1.21,0.82,-0.68,0.99,0.99,0.99
26.43,-0.03,-1.05,-0.03,-1.05,1.05,0.71,-0.70,1.02,1.02,1.02
26.69,0.18,-0.88,0.18,-0.88,0.88,0.59,-0.72,1.06,1.06,1.06
26.96,0.37,-0.72,0.37,-0.72,0.72,0.48,-0.74,1.09,1.09,1.10
27.23,0.57,-0.55,0.57,-0.56,0.55,0.36,-0.76,1.12,1.13,1.13
27.50,0.77,-0.39,0.78,-0.39,0.39,0.25,-0.78,1.16,1.16,1.16
27.77,0.98,-0.23,0.98,-0.22,0.23,0.13,-0.80,1.21,1.20,1.20
28.05,1.18,-0.06,1.17,-0.06,0.07,0.01,-0.82,1.24,1.24,1.23
28.33,1.37,0.09,1.37,0.09,-0.09,-0.11,-0.84,1.28,1.27,1.27
28.62,1.55,0.24,1.56,0.25,-0.25,-0.23,-0.86,1.30,1.31,1.31
28.90,1.75,0.40,1.75,0.40,-0.40,-0.35,-0.89,1.34,1.34,1.35
29.19,1.94,0.56,1.94,0.55,-0.56,-0.47,-0.91,1.38,1.38,1.38
29.48,2.13,0.71,2.13,0.71,-0.71,-0.59,-0.94,1.42,1.42,1.42
29.78,2.31,0.86,2.31,0.86,-0.85,-0.71,-0.97,1.46,1.46,1.46
30.08,2.49,1.01,2.49,1.01,-1.00,-0.83,-1.00,1.49,1.49,1.48
30.38,2.67,1.15,2.67,1.15,-1.15,-0.95,-1.03,1.53,1.53,1.52
30.68,2.85,1.29,2.84,1.29,-1.29,-1.08,-1.06,1.56,1.56,1.55
30.99,3.01,1.42,3.02,1.43,-1.43,-1.20,-1.09,1.58,1.59,1.59
31.30,3.18,1.56,3.18,1.56,-1.57,-1.33,-1.12,1.61,1.61,1.62
31.61,3.35,1.71,3.36,1.71,-1.71,-1.45,-1.16,1.65,1.65,1.65
31.93,3.52,1.85,3.52,1.85,-1.85,-1.58,-1.20,1.68,1.68,1.68
32.24,3.70,1.99,3.69,1.99,-1.99,-1.70,-1.23,1.71,1.71,1.71
32.57,3.85,2.12,3.86,2.13,-2.13,-1.83,-1.27,1.73,1.73,1.73
32.89,4.03,2.26,4.02,2.26,-2.27,-1.96,-1.32,1.76,1.76,1.76
33.22,4.19,2.41,4.19,2.40,-2.40,-2.08,-1.36,1.78,1.78,1.78
33.55,4.35,2.54,4.35,2.54,-2.54,-2.21,-1.40,1.81,1.81,1.81
33.89,4.51,2.68,4.50,2.68,-2.67,-2.34,-1.45,1.83,1.83,1.83
34.23,4.65,2.81,4.66,2.81,-2.80,-2.47,-1.50,1.85,1.85,1.84
34.57,4.81,2.93,4.81,2.94,-2.93,-2.60,-1.54,1.87,1.87,1.87
34.92,4.95,3.06,4.95,3.06,-3.06,-2.73,-1.60,1.89,1.89,1.89
35.27,5.09,3.19,5.10,3.19,-3.19,-2.85,-1.65,1.91,1.91,1.91
35.62,5.23,3.31,5.24,3.31,-3.31,-2.98,-1.70,1.92,1.92,1.93
35.97,5.38,3.43,5.37,3.43,-3.43,-3.11,-1.76,1.94,1.94,1.94
36.33,5.51,3.55,5.51,3.55,-3.55,-3.24,-1.81,1.95,1.96,1.95
36.70,5.64,3.68,5.64,3.67,-3.67,-3.37,-1.87,1.97,1.97,1.97
37.06,5.78,3.79,5.78,3.79,-3.79,-3.50,-1.93,1.98,1.98,1.99
