frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.35,-4.92,-5.35,-4.92,4.92,3.89,1.76,-0.43,-0.43,-0.43
20.20,-5.27,-4.90,-5.27,-4.90,4.90,3.89,1.81,-0.37,-0.37,-0.37
20.40,-5.19,-4.87,-5.19,-4.87,4.87,3.89,1.86,-0.32,-0.32,-0.32
20.61,-5.11,-4.85,-5.11,-4.85,4.85,3.89,1.92,-0.26,-0.26,-0.26
20.81,-5.03,-4.82,-5.03,-4.82,4.82,3.89,1.97,-0.21,-0.21,-0.21
21.02,-4.95,-4.80,-4.95,-4.80,4.79,3.89,2.03,-0.15,-0.15,-0.15
21.23,-4.87,-4.77,-4.87,-4.77,4.77,3.89,2.09,-0.10,-0.10,-0.10
21.44,-4.79,-4.74,-4.79,-4.74,4.74,3.89,2.15,-0.05,-0.05,-0.05
21.66,-4.71,-4.71,-4.71,-4.71,4.71,3.89,2.21,0.00,0.00,-0.00
21.87,-4.64,-4.69,-4.63,-4.68,4.68,3.89,2.28,0.05,0.05,0.05
22.09,-4.56,-4.66,-4.56,-4.66,4.65,3.89,2.34,0.10,0.10,0.10
22.31,-4.48,-4.63,-4.48,-4.63,4.62,3.89,2.41,0.15,0.14,0.15
22.54,-4.41,-4.60,-4.40,-4.59,4.59,3.89,2.48,0.18,0.19,0.19
22.76,-4.33,-4.56,-4.33,-4.56,4.56,3.89,2.55,0.23,0.23,0.24
22.99,-4.25,-4.52,-4.25,-4.53,4.53,3.90,2.63,0.28,0.28,0.28
23.22,-4.18,-4.50,-4.18,-4.50,4.50,3.90,2.70,0.32,0.33,0.33
23.45,-4.10,-4.46,-4.10,-4.47,4.47,3.90,2.78,0.37,0.37,0.37
23.69,-4.03,-4.44,-4.03,-4.44,4.44,3.90,2.86,0.41,0.41,0.41
23.92,-3.95,-4.40,-3.95,-4.41,4.41,3.90,2.94,0.46,0.46,0.45
24.16,-3.88,-4.38,-3.88,-4.38,4.38,3.90,3.02,0.50,0.50,0.50
24.40,-3.81,-4.35,-3.80,-4.35,4.34,3.90,3.10,0.54,0.54,0.54
24.65,-3.73,-4.31,-3.73,-4.31,4.31,3.90,3.18,0.58,0.58,0.58
24.89,-3.66,-4.28,-3.66,-4.28,4.28,3.90,3.27,0.63,0.62,0.62
25.14,-3.59,-4.25,-3.59,-4.25,4.25,3.90,3.35,0.66,0.67,0.66
25.39,-3.52,-4.22,-3.52,-4.22,4.22,3.90,3.44,0.70,0.70,0.70
25.65,-3.45,-4.19,-3.45,-4.19,4.19,3.90,3.52,0.74,0.74,0.74
25.91,-3.39,-4.17,-3.38,-4.16,4.16,3.90,3.61,0.77,0.78,0.78
26.16,-3.32,-4.14,-3.32,-4.13,4.13,3.90,3.70,0.81,0.81,0.82
26.43,-3.25,-4.10,-3.25,-4.10,4.10,3.90,3.78,0.85,0.85,0.85
26.69,-3.19,-4.08,-3.19,-4.07,4.07,3.90,3.87,0.88,0.89,0.89
26.96,-3.12,-4.04,-3.12,-4.04,4.04,3.90,3.95,0.92,0.92,0.93
27.23,-3.06,-4.01,-3.06,-4.02,4.01,3.90,4.03,0.96,0.96,0.95
27.50,-2.99,-3.98,-2.99,-3.99,3.99,3.90,4.11,1.00,1.00,0.99
27.77,-2.93,-3.96,-2.93,-3.96,3.96,3.90,4.19,1.03,1.03,1.03
28.05,-2.87,-3.93,-2.87,-3.93,3.94,3.90,4.26,1.07,1.07,1.06
28.33,-2.81,-3.91,-2.81,-3.91,3.91,3.90,4.33,1.11,1.10,1.10
28.62,-2.76,-3.90,-2.75,-3.89,3.89,3.90,4.40,1.13,1.14,1.14
28.90,-2.70,-3.88,-2.70,-3.87,3.87,3.90,4.46,1.17,1.17,1.18
29.19,-2.64,-3.85,-2.64,-3.85,3.85,3.90,4.52,1.21,1.21,1.21
29.48,-2.59,-3.84,-2.58,-3.83,3.83,3.90,4.57,1.25,1.25,1.25
29.78,-2.53,-3.81,-2.53,-3.81,3.82,3.90,4.62,1.29,1.29,1.29
30.08,-2.48,-3.79,-2.48,-3.80,3.80,3.90,4.66,1.32,1.32,1.31
30.38,-2.44,-3.79,-2.43,-3.79,3.79,3.90,4.70,1.35,1.35,1.35
30.68,-2.39,-3.77,-2.39,-3.78,3.78,3.90,4.72,1.39,1.38,1.38
30.99,-2.35,-3.77,-2.35,-3.77,3.76,3.89,4.75,1.42,1.42,1.42
31.30,-2.31,-3.76,-2.31,-3.76,3.75,3.89,4.76,1.45,1.45,1.45
31.61,-2.27,-3.75,-2.27,-3.75,3.75,3.89,4.77,1.48,1.48,1.48
31.93,-2.23,-3.74,-2.23,-3.74,3.74,3.89,4.78,1.51,1.51,1.51
32.24,-2.19,-3.72,-2.19,-3.73,3.73,3.89,4.77,1.54,1.54,1.54
32.57,-2.16,-3.72,-2.15,-3.72,3.72,3.89,4.76,1.56,1.57,1.56
32.89,-2.12,-3.71,-2.12,-3.71,3.71,3.89,4.75,1.59,1.59,1.59
33.22,-2.09,-3.70,-2.09,-3.71,3.70,3.89,4.73,1.62,1.61,1.61
33.55,-2.07,-3.71,-2.06,-3.70,3.70,3.89,4.70,1.63,1.63,1.64
33.89,-2.04,-3.70,-2.04,-3.69,3.69,3.89,4.67,1.65,1.65,1.66
34.23,-2.01,-3.68,-2.01,-3.69,3.69,3.89,4.64,1.68,1.68,1.67
34.57,-1.98,-3.68,-1.98,-3.68,3.68,3.89,4.60,1.70,1.70,1.70
34.92,-1.96,-3.68,-1.96,-3.68,3.68,3.89,4.55,1.72,1.72,1.72
35.27,-1.94,-3.68,-1.94,-3.68,3.68,3.89,4.51,1.74,1.74,1.74
35.62,-1.93,-3.68,-1.92,-3.68,3.68,3.89,4.46,1.75,1.76,1.76
35.97,-1.91,-3.68,-1.91,-3.68,3.68,3.89,4.41,1.78,1.77,1.77
36.33,-1.90,-3.68,-1.90,-3.69,3.69,3.89,4.36,1.79,1.79,1.78
36.70,-1.90,-3.70,-1.89,-3.69,3.70,3.89,4.30,1.80,1.80,1.80
37.06,-1.89,-3.71,-1.89,-3.70,3.70,3.89,4.25,1.81,1.81,1.82
37.43,-1.89,-3.71,-1.89,-3.71,3.71,3.89,4.20,1.82,1.83,1.82
37.81,-1.88,-3.72,-1.88,-3.72,3.72,3.89,4.14,1.84,1.84,1.84
38.19,-1.88,-3.73,-1.88,-3.73,3.72,3.89,4.09,1.85,1.85,1.85
38.57,-1.88,-3.73,-1.88,-3.73,3.73,3.88,4.04,1.85,1.85,1.85
38.95,-1.88,-3.74,-1.88,-3.74,3.74,3.88,3.99,1.86,1.86,1.86
39.34,-1.88,-3.75,-1.87,-3.74,3.74,3.88,3.94,1.86,1.87,1.87
39.74,-1.87,-3.74,-1.87,-3.74,3.75,3.88,3.89,1.88,1.88,1.88
40.14,-1.87,-3.74,-1.87,-3.75,3.75,3.88,3.84,1.88,1.88,1.87
40.54,-1.88,-3.76,-1.88,-3.75,3.76,3.88,3.80,1.88,1.88,1.88
40.94,-1.89,-3.77,-1.89,-3.77,3.76,3.88,3.75,1.88,1.88,1.88
41.35,-1.89,-3.77,-1.89,-3.77,3.77,3.88,3.71,1.88,1.88,1.88
41.76,-1.90,-3.78,-1.90,-3.78,3.78,3.88,3.68,1.88,1.88,1.89
42.18,-1.90,-3.78,-1.90,-3.79,3.79,3.87,3.64,1.89,1.89,1.88
42.60,-1.91,-3.80,-1.91,-3.80,3.80,3.87,3.61,1.89,1.89,1.89
43.03,-1.92,-3.80,-1.92,-3.80,3.81,3.87,3.58,1.89,1.89,1.88
43.46,-1.93,-3.82,-1.93,-3.81,3.81,3.87,3.55,1.89,1.89,1.89
43.90,-1.94,-3.82,-1.94,-3.82,3.82,3.87,3.52,1.88,1.88,1.88
44.33,-1.94,-3.83,-1.94,-3.83,3.82,3.87,3.50,1.89,1.88,1.89
44.78,-1.95,-3.83,-1.95,-3.83,3.83,3.86,3.48,1.88,1.88,1.88
45.23,-1.95,-3.84,-1.94,-3.83,3.83,3.86,3.46,1.88,1.88,1.89
45.68,-1.94,-3.82,-1.94,-3.83,3.83,3.86,3.45,1.89,1.88,1.88
46.13,-1.94,-3.82,-1.94,-3.82,3.82,3.86,3.44,1.88,1.88,1.88
46.60,-1.94,-3.82,-1.94,-3.81,3.82,3.86,3.43,1.88,1.88,1.88
47.06,-1.94,-3.81,-1.94,-3.81,3.81,3.85,3.42,1.87,1.87,1.87
47.53,-1.93,-3.80,-1.93,-3.80,3.80,3.85,3.42,1.87,1.87,1.87
48.01,-1.92,-3.79,-1.92,-3.79,3.79,3.85,3.41,1.87,1.87,1.87
48.49,-1.91,-3.77,-1.91,-3.77,3.77,3.85,3.41,1.87,1.86,1.86
48.97,-1.90,-3.76,-1.90,-3.76,3.76,3.84,3.42,1.86,1.86,1.86
49.46,-1.89,-3.75,-1.89,-3.74,3.75,3.84,3.42,1.86,1.86,1.86
49.96,-1.87,-3.72,-1.87,-3.73,3.73,3.84,3.43,1.86,1.86,1.85
50.46,-1.86,-3.71,-1.86,-3.71,3.71,3.84,3.44,1.85,1.85,1.85
50.96,-1.84,-3.69,-1.84,-3.69,3.69,3.83,3.45,1.85,1.85,1.85
51.47,-1.83,-3.68,-1.83,-3.67,3.67,3.83,3.46,1.84,1.84,1.85
51.99,-1.81,-3.65,-1.81,-3.65,3.65,3.83,3.47,1.84,1.84,1.84
52.51,-1.79,-3.62,-1.79,-3.62,3.62,3.82,3.49,1.83,1.83,1.83
53.03,-1.77,-3.60,-1.77,-3.59,3.59,3.82,3.50,1.82,1.82,1.83
53.56,-1.74,-3.56,-1.74,-3.56,3.56,3.82,3.52,1.82,1.82,1.82
54.10,-1.72,-3.53,-1.71,-3.53,3.53,3.81,3.53,1.81,1.81,1.81
54.64,-1.69,-3.49,-1.69,-3.49,3.50,3.81,3.55,1.81,1.80,1.80
55.18,-1.67,-3.46,-1.67,-3.46,3.46,3.81,3.57,1.80,1.79,1.79
55.74,-1.66,-3.44,-1.65,-3.43,3.43,3.80,3.58,1.77,1.78,1.78
56.29,-1.64,-3.40,-1.64,-3.40,3.40,3.80,3.60,1.76,1.76,1.76
56.86,-1.63,-3.37,-1.63,-3.37,3.37,3.79,3.61,1.74,1.74,1.75
