frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-17.14,-15.13,-17.14,-15.12,6.00,5.41,2.70,-11.14,-11.14,-2.01
20.20,-17.03,-15.07,-17.03,-15.07,6.00,5.44,2.77,-11.03,-11.03,-1.95
20.40,-16.92,-15.01,-16.92,-15.02,6.00,5.47,2.85,-10.92,-10.92,-1.90
20.61,-16.82,-14.98,-16.81,-14.97,6.00,5.50,2.93,-10.82,-10.81,-1.84
20.81,-16.71,-14.91,-16.71,-14.92,6.00,5.52,3.01,-10.71,-10.71,-1.79
21.02,-16.60,-14.86,-16.60,-14.86,6.00,5.55,3.10,-10.60,-10.60,-1.73
21.23,-16.49,-14.80,-16.49,-14.81,6.00,5.58,3.18,-10.49,-10.49,-1.68
21.44,-16.39,-14.75,-16.38,-14.75,6.00,5.61,3.27,-10.39,-10.38,-1.63
21.66,-16.28,-14.69,-16.28,-14.69,6.00,5.63,3.37,-10.28,-10.28,-1.58
21.87,-16.17,-14.63,-16.17,-14.63,6.00,5.66,3.46,-10.17,-10.17,-1.53
22.09,-16.06,-14.57,-16.06,-14.58,6.00,5.69,3.56,-10.06,-10.06,-1.48
22.31,-15.96,-14.52,-15.95,-14.52,6.00,5.71,3.66,-9.96,-9.95,-1.43
22.54,-15.85,-14.45,-15.85,-14.45,6.00,5.74,3.76,-9.85,-9.85,-1.40
22.76,-15.74,-14.39,-15.74,-14.39,6.00,5.76,3.87,-9.74,-9.74,-1.35
22.99,-15.63,-14.32,-15.63,-14.33,6.00,5.78,3.97,-9.63,-9.63,-1.31
23.22,-15.53,-14.27,-15.52,-14.27,6.00,5.81,4.08,-9.53,-9.52,-1.26
23.45,-15.42,-14.20,-15.42,-14.20,6.00,5.83,4.20,-9.42,-9.42,-1.22
23.69,-15.31,-14.14,-15.31,-14.14,6.00,5.85,4.31,-9.31,-9.31,-1.17
23.92,-15.20,-14.07,-15.20,-14.08,6.00,5.88,4.43,-9.20,-9.20,-1.13
24.16,-15.10,-14.02,-15.09,-14.01,6.00,5.90,4.55,-9.10,-9.09,-1.08
24.40,-14.99,-13.95,-14.99,-13.95,6.00,5.92,4.67,-8.99,-8.99,-1.04
24.65,-14.88,-13.88,-14.88,-13.88,6.00,5.94,4.79,-8.88,-8.88,-1.00
24.89,-14.77,-13.81,-14.77,-13.81,6.00,5.96,4.91,-8.77,-8.77,-0.96
25.14,-14.66,-13.74,-14.66,-13.74,6.00,5.98,5.04,-8.66,-8.66,-0.92
25.39,-14.55,-13.67,-14.55,-13.67,6.00,6.00,5.16,-8.55,-8.55,-0.88
25.65,-14.45,-13.61,-14.44,-13.60,6.00,6.02,5.29,-8.45,-8.44,-0.84
25.91,-14.34,-13.54,-14.34,-13.54,6.00,6.04,5.42,-8.34,-8.34,-0.80
26.16,-14.23,-13.46,-14.23,-13.47,6.00,6.06,5.54,-8.23,-8.23,-0.76
26.43,-14.13,-13.40,-14.13,-13.40,6.00,6.07,5.67,-8.13,-8.13,-0.73
26.69,-14.02,-13.32,-14.02,-13.33,6.00,6.09,5.80,-8.02,-8.02,-0.69
26.96,-13.92,-13.26,-13.92,-13.26,6.00,6.11,5.92,-7.92,-7.92,-0.65
27.23,-13.81,-13.18,-13.81,-13.19,6.00,6.12,6.04,-7.81,-7.81,-0.63
27.50,-13.71,-13.12,-13.71,-13.12,6.00,6.14,6.16,-7.71,-7.71,-0.59
27.77,-13.60,-13.05,-13.60,-13.05,6.00,6.16,6.28,-7.60,-7.60,-0.55
28.05,-13.50,-12.98,-13.50,-12.99,6.00,6.17,6.39,-7.50,-7.50,-0.52
28.33,-13.40,-12.92,-13.39,-12.92,6.00,6.18,6.49,-7.40,-7.39,-0.48
28.62,-13.30,-12.86,-13.30,-12.85,6.00,6.20,6.59,-7.30,-7.30,-0.44
28.90,-13.19,-12.79,-13.19,-12.79,6.00,6.21,6.69,-7.19,-7.19,-0.40
29.19,-13.10,-12.73,-13.09,-12.73,6.00,6.22,6.78,-7.10,-7.09,-0.37
29.48,-13.00,-12.67,-13.00,-12.67,6.00,6.23,6.86,-7.00,-7.00,-0.33
29.78,-12.90,-12.61,-12.90,-12.61,6.00,6.25,6.93,-6.90,-6.90,-0.29
30.08,-12.81,-12.55,-12.81,-12.54,6.00,6.26,6.99,-6.81,-6.81,-0.26
30.38,-12.71,-12.48,-12.71,-12.48,6.00,6.27,7.05,-6.71,-6.71,-0.22
30.68,-12.61,-12.41,-12.61,-12.42,6.00,6.28,7.09,-6.61,-6.61,-0.20
30.99,-12.51,-12.35,-12.51,-12.36,6.00,6.29,7.13,-6.51,-6.51,-0.16
31.30,-12.43,-12.30,-12.42,-12.30,6.00,6.30,7.16,-6.43,-6.42,-0.13
31.61,-12.34,-12.24,-12.34,-12.24,6.00,6.30,7.18,-6.34,-6.34,-0.10
31.93,-12.25,-12.18,-12.25,-12.18,6.00,6.31,7.18,-6.25,-6.25,-0.07
32.24,-12.17,-12.13,-12.16,-12.12,6.00,6.32,7.18,-6.17,-6.16,-0.04
32.57,-12.08,-12.07,-12.08,-12.07,6.00,6.33,7.18,-6.08,-6.08,-0.01
32.89,-12.00,-12.01,-12.00,-12.01,6.00,6.33,7.16,-6.00,-6.00,0.02
33.22,-11.91,-11.94,-11.91,-11.95,6.00,6.34,7.13,-5.91,-5.91,0.03
33.55,-11.83,-11.89,-11.82,-11.88,6.00,6.34,7.10,-5.83,-5.82,0.06
33.89,-11.74,-11.82,-11.74,-11.82,6.00,6.35,7.06,-5.74,-5.74,0.08
34.23,-11.65,-11.75,-11.65,-11.75,6.00,6.35,7.02,-5.65,-5.65,0.10
34.57,-11.57,-11.69,-11.57,-11.69,6.00,6.35,6.97,-5.57,-5.57,0.13
34.92,-11.49,-11.63,-11.49,-11.63,6.00,6.36,6.92,-5.49,-5.49,0.15
