frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.71,-15.75,-18.71,-15.75,6.00,5.45,2.88,-12.71,-12.71,-2.96
20.20,-18.54,-15.64,-18.54,-15.64,6.00,5.49,2.97,-12.54,-12.54,-2.90
20.40,-18.37,-15.52,-18.37,-15.52,6.00,5.53,3.05,-12.37,-12.37,-2.85
20.61,-18.20,-15.41,-18.20,-15.41,6.00,5.56,3.14,-12.20,-12.20,-2.79
20.81,-18.03,-15.29,-18.03,-15.29,6.00,5.60,3.23,-12.03,-12.03,-2.74
21.02,-17.86,-15.18,-17.86,-15.18,6.00,5.63,3.32,-11.86,-11.86,-2.68
21.23,-17.69,-15.06,-17.69,-15.06,6.00,5.67,3.42,-11.69,-11.69,-2.63
21.44,-17.53,-14.95,-17.53,-14.95,6.00,5.70,3.52,-11.53,-11.53,-2.58
21.66,-17.36,-14.83,-17.36,-14.83,6.00,5.73,3.62,-11.36,-11.36,-2.53
21.87,-17.19,-14.71,-17.19,-14.71,6.00,5.77,3.72,-11.19,-11.19,-2.48
22.09,-17.02,-14.59,-17.02,-14.59,6.00,5.80,3.83,-11.02,-11.02,-2.43
22.31,-16.85,-14.47,-16.85,-14.46,6.00,5.83,3.94,-10.85,-10.85,-2.38
22.54,-16.67,-14.33,-16.67,-14.33,6.00,5.86,4.05,-10.67,-10.67,-2.34
22.76,-16.50,-14.21,-16.50,-14.21,6.00,5.89,4.16,-10.50,-10.50,-2.29
22.99,-16.33,-14.08,-16.33,-14.08,6.00,5.91,4.28,-10.33,-10.33,-2.25
23.22,-16.16,-13.96,-16.16,-13.95,6.00,5.94,4.40,-10.16,-10.16,-2.20
23.45,-15.99,-13.82,-15.99,-13.83,6.00,5.97,4.53,-9.99,-9.99,-2.16
23.69,-15.82,-13.71,-15.82,-13.70,6.00,6.00,4.65,-9.82,-9.82,-2.12
23.92,-15.65,-13.57,-15.65,-13.57,6.00,6.02,4.78,-9.65,-9.65,-2.07
24.16,-15.47,-13.44,-15.47,-13.45,6.00,6.04,4.91,-9.47,-9.47,-2.03
24.40,-15.30,-13.31,-15.30,-13.31,6.00,6.07,5.05,-9.30,-9.30,-1.99
24.65,-15.13,-13.18,-15.12,-13.18,6.00,6.09,5.18,-9.13,-9.12,-1.95
24.89,-14.95,-13.04,-14.95,-13.04,6.00,6.11,5.32,-8.95,-8.95,-1.91
25.14,-14.78,-12.91,-14.78,-12.91,6.00,6.13,5.46,-8.78,-8.78,-1.87
25.39,-14.61,-12.78,-14.61,-12.78,6.00,6.15,5.60,-8.61,-8.61,-1.83
25.65,-14.44,-12.65,-14.44,-12.65,6.00,6.17,5.74,-8.44,-8.44,-1.79
25.91,-14.27,-12.52,-14.27,-12.52,6.00,6.19,5.88,-8.27,-8.27,-1.75
26.16,-14.10,-12.39,-14.10,-12.39,6.00,6.20,6.02,-8.10,-8.10,-1.71
26.43,-13.93,-12.25,-13.93,-12.25,6.00,6.22,6.16,-7.93,-7.93,-1.68
26.69,-13.76,-12.12,-13.76,-12.12,6.00,6.23,6.30,-7.76,-7.76,-1.64
26.96,-13.59,-11.99,-13.59,-11.98,6.00,6.24,6.43,-7.59,-7.59,-1.60
27.23,-13.42,-11.85,-13.42,-11.85,6.00,6.26,6.57,-7.42,-7.42,-1.57
27.50,-13.25,-11.72,-13.25,-11.72,6.00,6.27,6.70,-7.25,-7.25,-1.53
27.77,-13.09,-11.59,-13.09,-11.59,6.00,6.28,6.83,-7.09,-7.09,-1.49
28.05,-12.92,-11.45,-12.92,-11.46,6.00,6.28,6.95,-6.92,-6.92,-1.46
28.33,-12.76,-11.33,-12.76,-11.33,6.00,6.29,7.06,-6.76,-6.76,-1.43
28.62,-12.59,-11.21,-12.59,-11.20,6.00,6.30,7.17,-6.59,-6.59,-1.39
28.90,-12.43,-11.08,-12.43,-11.08,6.00,6.30,7.27,-6.43,-6.43,-1.35
29.19,-12.26,-10.94,-12.26,-10.95,6.00,6.30,7.37,-6.26,-6.26,-1.32
29.48,-12.10,-10.82,-12.10,-10.82,6.00,6.30,7.45,-6.10,-6.10,-1.28
29.78,-11.94,-10.70,-11.94,-10.70,6.00,6.30,7.52,-5.94,-5.94,-1.24
30.08,-11.78,-10.57,-11.79,-10.58,6.00,6.30,7.58,-5.78,-5.79,-1.21
30.38,-11.64,-10.47,-11.64,-10.47,6.00,6.30,7.63,-5.64,-5.64,-1.17
