frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.22,-6.38,-3.22,-6.38,5.99,6.11,1.71,2.77,2.78,3.17
20.20,-3.10,-6.32,-3.10,-6.32,6.01,6.07,1.76,2.91,2.91,3.23
20.40,-2.99,-6.26,-2.99,-6.26,6.02,6.03,1.82,3.03,3.03,3.28
20.61,-2.87,-6.20,-2.87,-6.20,6.01,5.99,1.87,3.14,3.14,3.33
20.81,-2.76,-6.14,-2.76,-6.14,6.00,5.94,1.93,3.25,3.25,3.39
21.02,-2.64,-6.08,-2.64,-6.08,5.98,5.89,1.98,3.35,3.35,3.44
21.23,-2.52,-6.01,-2.52,-6.01,5.96,5.84,2.04,3.44,3.44,3.49
21.44,-2.40,-5.94,-2.40,-5.94,5.92,5.79,2.10,3.52,3.52,3.54
21.66,-2.28,-5.87,-2.28,-5.87,5.87,5.74,2.17,3.59,3.59,3.59
21.87,-2.16,-5.80,-2.16,-5.80,5.81,5.68,2.23,3.65,3.65,3.64
22.09,-2.04,-5.73,-2.04,-5.73,5.74,5.63,2.30,3.71,3.70,3.69
22.31,-1.92,-5.66,-1.92,-5.66,5.67,5.57,2.37,3.75,3.75,3.74
22.54,-1.80,-5.58,-1.80,-5.58,5.59,5.51,2.44,3.79,3.79,3.78
22.76,-1.68,-5.51,-1.68,-5.51,5.51,5.45,2.51,3.84,3.83,3.83
22.99,-1.57,-5.44,-1.56,-5.44,5.44,5.39,2.58,3.87,3.87,3.87
23.22,-1.45,-5.37,-1.45,-5.37,5.37,5.32,2.65,3.92,3.92,3.92
23.45,-1.33,-5.29,-1.33,-5.29,5.29,5.26,2.73,3.97,3.96,3.96
23.69,-1.21,-5.22,-1.21,-5.22,5.22,5.19,2.81,4.01,4.01,4.01
23.92,-1.10,-5.15,-1.09,-5.15,5.15,5.13,2.89,4.05,4.05,4.05
24.16,-0.98,-5.08,-0.98,-5.07,5.07,5.06,2.97,4.10,4.09,4.10
24.40,-0.86,-5.00,-0.86,-5.00,5.00,4.99,3.05,4.14,4.14,4.14
24.65,-0.75,-4.93,-0.74,-4.92,4.92,4.92,3.13,4.17,4.18,4.18
24.89,-0.63,-4.84,-0.63,-4.84,4.85,4.86,3.21,4.22,4.22,4.22
25.14,-0.51,-4.76,-0.51,-4.77,4.77,4.79,3.30,4.27,4.26,4.26
25.39,-0.40,-4.69,-0.40,-4.69,4.70,4.72,3.38,4.30,4.30,4.30
