frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.00,-1.86,3.99,-1.86,1.86,1.22,0.30,5.86,5.86,5.86
20.20,4.02,-1.81,4.02,-1.82,1.82,1.22,0.31,5.83,5.83,5.83
20.40,4.04,-1.77,4.04,-1.77,1.77,1.21,0.32,5.81,5.81,5.81
20.61,4.06,-1.72,4.06,-1.73,1.73,1.21,0.34,5.79,5.79,5.79
20.81,4.09,-1.68,4.08,-1.68,1.68,1.20,0.35,5.77,5.77,5.77
21.02,4.11,-1.64,4.11,-1.64,1.64,1.20,0.36,5.75,5.75,5.75
21.23,4.13,-1.60,4.13,-1.60,1.60,1.19,0.37,5.73,5.73,5.73
21.44,4.15,-1.56,4.15,-1.56,1.56,1.19,0.38,5.71,5.71,5.71
21.66,4.17,-1.52,4.17,-1.52,1.53,1.18,0.40,5.69,5.69,5.69
21.87,4.19,-1.49,4.19,-1.49,1.49,1.17,0.41,5.67,5.67,5.68
22.09,4.21,-1.45,4.21,-1.45,1.45,1.17,0.43,5.66,5.66,5.66
22.31,4.23,-1.42,4.23,-1.42,1.42,1.16,0.44,5.65,5.65,5.65
22.54,4.25,-1.39,4.25,-1.39,1.39,1.16,0.46,5.63,5.63,5.64
22.76,4.27,-1.36,4.27,-1.36,1.36,1.15,0.47,5.62,5.62,5.62
22.99,4.29,-1.33,4.29,-1.33,1.33,1.15,0.49,5.61,5.61,5.61
23.22,4.31,-1.30,4.31,-1.30,1.30,1.14,0.50,5.60,5.60,5.60
23.45,4.33,-1.27,4.33,-1.27,1.27,1.13,0.52,5.60,5.60,5.59
23.69,4.35,-1.24,4.35,-1.24,1.24,1.13,0.54,5.59,5.59,5.58
23.92,4.37,-1.22,4.37,-1.21,1.21,1.12,0.55,5.58,5.58,5.58
24.16,4.39,-1.19,4.39,-1.19,1.19,1.11,0.57,5.57,5.57,5.57
24.40,4.41,-1.16,4.41,-1.16,1.16,1.11,0.59,5.57,5.57,5.57
24.65,4.43,-1.13,4.43,-1.14,1.13,1.10,0.60,5.56,5.56,5.56
24.89,4.45,-1.11,4.45,-1.11,1.11,1.09,0.62,5.55,5.55,5.56
25.14,4.47,-1.08,4.47,-1.08,1.08,1.09,0.64,5.55,5.55,5.55
25.39,4.49,-1.05,4.49,-1.06,1.06,1.08,0.66,5.54,5.54,5.54
25.65,4.51,-1.03,4.50,-1.03,1.03,1.07,0.68,5.54,5.54,5.54
25.91,4.52,-1.01,4.52,-1.01,1.01,1.07,0.70,5.53,5.53,5.53
26.16,4.54,-0.99,4.54,-0.99,0.99,1.06,0.71,5.52,5.52,5.53
26.43,4.56,-0.97,4.56,-0.97,0.96,1.05,0.73,5.52,5.52,5.52
26.69,4.58,-0.94,4.57,-0.94,0.94,1.04,0.75,5.52,5.52,5.51
26.96,4.60,-0.92,4.59,-0.92,0.92,1.03,0.77,5.51,5.51,5.51
27.23,4.61,-0.90,4.61,-0.89,0.90,1.03,0.78,5.50,5.51,5.50
27.50,4.63,-0.87,4.63,-0.87,0.87,1.02,0.80,5.50,5.50,5.50
