frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.71,3.54,11.72,3.54,-3.54,-3.50,-1.56,8.18,8.18,8.18
20.20,11.71,3.57,11.71,3.56,-3.56,-3.50,-1.61,8.15,8.15,8.15
20.40,11.70,3.58,11.71,3.58,-3.58,-3.50,-1.65,8.12,8.13,8.13
20.61,11.70,3.60,11.70,3.60,-3.60,-3.50,-1.70,8.11,8.10,8.11
20.81,11.69,3.61,11.70,3.61,-3.62,-3.50,-1.75,8.08,8.08,8.08
21.02,11.69,3.63,11.69,3.63,-3.63,-3.51,-1.80,8.06,8.06,8.06
21.23,11.69,3.65,11.69,3.65,-3.65,-3.51,-1.86,8.05,8.04,8.04
21.44,11.68,3.66,11.69,3.66,-3.66,-3.51,-1.91,8.02,8.03,8.02
21.66,11.68,3.68,11.68,3.68,-3.67,-3.51,-1.97,8.01,8.01,8.00
21.87,11.67,3.68,11.68,3.69,-3.69,-3.51,-2.03,7.99,7.99,7.99
22.09,11.67,3.70,11.67,3.70,-3.70,-3.51,-2.08,7.98,7.98,7.97
22.31,11.66,3.70,11.67,3.70,-3.71,-3.51,-2.14,7.96,7.96,7.96
22.54,11.66,3.71,11.66,3.71,-3.71,-3.51,-2.21,7.95,7.95,7.95
22.76,11.65,3.71,11.66,3.72,-3.72,-3.51,-2.27,7.93,7.94,7.94
22.99,11.65,3.72,11.65,3.72,-3.73,-3.51,-2.34,7.93,7.93,7.93
23.22,11.65,3.74,11.65,3.73,-3.73,-3.51,-2.40,7.92,7.92,7.92
23.45,11.64,3.74,11.65,3.74,-3.74,-3.51,-2.47,7.91,7.91,7.91
23.69,11.64,3.75,11.64,3.74,-3.74,-3.51,-2.54,7.90,7.90,7.90
23.92,11.63,3.74,11.64,3.74,-3.74,-3.51,-2.61,7.89,7.90,7.90
24.16,11.63,3.75,11.63,3.74,-3.74,-3.52,-2.68,7.89,7.89,7.88
24.40,11.62,3.74,11.62,3.74,-3.74,-3.52,-2.76,7.88,7.88,7.88
24.65,11.61,3.74,11.62,3.74,-3.74,-3.52,-2.83,7.87,7.87,7.87
24.89,11.60,3.73,11.61,3.74,-3.74,-3.52,-2.91,7.86,7.86,7.87
25.14,11.60,3.74,11.60,3.74,-3.74,-3.52,-2.98,7.86,7.86,7.86
25.39,11.59,3.74,11.60,3.74,-3.74,-3.52,-3.06,7.85,7.86,7.85
25.65,11.59,3.74,11.59,3.74,-3.74,-3.52,-3.13,7.85,7.85,7.85
25.91,11.58,3.75,11.58,3.74,-3.74,-3.52,-3.21,7.84,7.84,7.84
26.16,11.57,3.74,11.58,3.74,-3.74,-3.52,-3.29,7.83,7.84,7.84
26.43,11.57,3.74,11.57,3.74,-3.74,-3.52,-3.36,7.84,7.83,7.84
26.69,11.56,3.74,11.56,3.74,-3.74,-3.52,-3.44,7.83,7.83,7.82
26.96,11.55,3.73,11.55,3.73,-3.73,-3.52,-3.51,7.82,7.82,7.82
