frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.42,1.22,10.42,1.22,-1.21,-1.26,-0.88,9.21,9.21,9.21
20.20,10.47,1.30,10.47,1.29,-1.29,-1.27,-0.91,9.18,9.18,9.18
20.40,10.51,1.36,10.52,1.36,-1.36,-1.28,-0.94,9.15,9.16,9.16
20.61,10.56,1.43,10.56,1.43,-1.43,-1.30,-0.96,9.13,9.13,9.14
20.81,10.60,1.49,10.60,1.48,-1.49,-1.31,-0.99,9.11,9.11,9.12
21.02,10.63,1.54,10.64,1.54,-1.55,-1.32,-1.02,9.09,9.09,9.10
21.23,10.67,1.60,10.67,1.60,-1.60,-1.33,-1.05,9.07,9.07,9.08
21.44,10.70,1.65,10.70,1.65,-1.65,-1.35,-1.08,9.06,9.06,9.05
21.66,10.72,1.69,10.73,1.69,-1.69,-1.36,-1.12,9.03,9.04,9.03
21.87,10.75,1.73,10.75,1.73,-1.73,-1.37,-1.15,9.03,9.02,9.02
22.09,10.76,1.76,10.77,1.76,-1.76,-1.38,-1.18,9.00,9.01,9.00
22.31,10.78,1.79,10.78,1.79,-1.79,-1.40,-1.22,9.00,9.00,8.99
22.54,10.79,1.81,10.79,1.81,-1.81,-1.41,-1.25,8.99,8.99,8.98
22.76,10.80,1.83,10.80,1.83,-1.82,-1.42,-1.29,8.98,8.98,8.97
22.99,10.79,1.83,10.80,1.83,-1.83,-1.43,-1.33,8.96,8.96,8.96
23.22,10.78,1.83,10.79,1.84,-1.84,-1.45,-1.37,8.94,8.95,8.95
23.45,10.78,1.84,10.78,1.84,-1.84,-1.46,-1.41,8.94,8.94,8.94
23.69,10.77,1.84,10.78,1.84,-1.85,-1.47,-1.45,8.93,8.93,8.93
23.92,10.77,1.84,10.77,1.85,-1.85,-1.49,-1.49,8.92,8.92,8.93
24.16,10.77,1.86,10.77,1.85,-1.85,-1.50,-1.53,8.92,8.92,8.92
24.40,10.77,1.86,10.77,1.86,-1.86,-1.51,-1.57,8.91,8.91,8.92
24.65,10.77,1.87,10.77,1.86,-1.87,-1.52,-1.61,8.91,8.91,8.91
24.89,10.77,1.87,10.77,1.87,-1.87,-1.53,-1.66,8.90,8.90,8.91
25.14,10.77,1.88,10.77,1.88,-1.88,-1.55,-1.70,8.90,8.90,8.90
25.39,10.77,1.89,10.77,1.89,-1.88,-1.56,-1.74,8.89,8.89,8.88
25.65,10.77,1.89,10.77,1.89,-1.89,-1.57,-1.79,8.88,8.88,8.88
25.91,10.77,1.90,10.77,1.90,-1.90,-1.58,-1.83,8.88,8.88,8.87
