frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.49,0.68,9.49,0.68,-0.68,-1.50,-0.85,8.81,8.81,8.81
20.20,9.51,0.73,9.51,0.73,-0.73,-1.50,-0.87,8.78,8.78,8.78
20.40,9.53,0.77,9.53,0.77,-0.77,-1.50,-0.90,8.76,8.76,8.76
20.61,9.55,0.81,9.55,0.81,-0.81,-1.51,-0.92,8.74,8.73,8.74
20.81,9.56,0.84,9.56,0.85,-0.85,-1.51,-0.95,8.71,8.71,8.72
21.02,9.58,0.88,9.58,0.88,-0.89,-1.51,-0.98,8.69,8.69,8.69
21.23,9.60,0.92,9.60,0.92,-0.93,-1.51,-1.01,8.67,8.67,8.67
21.44,9.62,0.97,9.62,0.96,-0.96,-1.52,-1.04,8.65,8.65,8.65
21.66,9.64,1.00,9.64,1.00,-1.00,-1.52,-1.07,8.64,8.64,8.63
21.87,9.66,1.04,9.66,1.04,-1.04,-1.52,-1.10,8.62,8.62,8.62
22.09,9.68,1.08,9.68,1.07,-1.07,-1.53,-1.13,8.61,8.61,8.60
22.31,9.70,1.11,9.70,1.10,-1.10,-1.53,-1.16,8.60,8.59,8.59
22.54,9.71,1.13,9.71,1.13,-1.13,-1.53,-1.19,8.57,8.58,8.58
22.76,9.73,1.16,9.73,1.16,-1.16,-1.53,-1.23,8.56,8.57,8.57
22.99,9.75,1.19,9.75,1.19,-1.19,-1.54,-1.26,8.56,8.56,8.56
23.22,9.77,1.22,9.77,1.22,-1.22,-1.54,-1.30,8.55,8.55,8.55
23.45,9.79,1.25,9.79,1.25,-1.25,-1.54,-1.34,8.54,8.54,8.54
23.69,9.81,1.28,9.81,1.28,-1.27,-1.55,-1.37,8.54,8.53,8.53
23.92,9.82,1.29,9.82,1.30,-1.30,-1.55,-1.41,8.52,8.52,8.53
24.16,9.84,1.32,9.84,1.32,-1.32,-1.55,-1.45,8.52,8.52,8.52
24.40,9.86,1.34,9.86,1.34,-1.35,-1.56,-1.49,8.51,8.51,8.51
24.65,9.88,1.37,9.88,1.37,-1.37,-1.56,-1.53,8.51,8.50,8.50
