frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.39,3.33,12.39,3.34,-3.33,-3.41,-1.62,9.05,9.05,9.05
20.20,12.39,3.36,12.39,3.36,-3.36,-3.41,-1.66,9.03,9.03,9.02
20.40,12.39,3.38,12.39,3.38,-3.38,-3.42,-1.71,9.00,9.00,9.00
20.61,12.39,3.40,12.39,3.41,-3.41,-3.42,-1.76,8.98,8.98,8.98
20.81,12.39,3.43,12.39,3.43,-3.43,-3.42,-1.81,8.96,8.96,8.96
21.02,12.39,3.45,12.39,3.45,-3.45,-3.43,-1.86,8.94,8.94,8.94
21.23,12.39,3.47,12.39,3.47,-3.47,-3.43,-1.92,8.92,8.92,8.92
21.44,12.39,3.49,12.39,3.49,-3.49,-3.43,-1.97,8.90,8.90,8.90
21.66,12.39,3.51,12.39,3.50,-3.50,-3.44,-2.03,8.88,8.88,8.88
21.87,12.39,3.52,12.39,3.52,-3.52,-3.44,-2.09,8.87,8.87,8.87
22.09,12.39,3.54,12.39,3.54,-3.53,-3.44,-2.15,8.85,8.85,8.85
22.31,12.39,3.55,12.39,3.55,-3.55,-3.45,-2.21,8.84,8.84,8.84
22.54,12.39,3.56,12.39,3.56,-3.56,-3.45,-2.27,8.83,8.83,8.83
22.76,12.39,3.57,12.39,3.57,-3.57,-3.46,-2.34,8.82,8.82,8.82
22.99,12.39,3.58,12.39,3.58,-3.58,-3.46,-2.41,8.80,8.80,8.81
23.22,12.39,3.59,12.39,3.59,-3.59,-3.46,-2.48,8.80,8.80,8.80
23.45,12.39,3.60,12.39,3.60,-3.60,-3.47,-2.54,8.79,8.79,8.79
23.69,12.39,3.61,12.39,3.61,-3.61,-3.47,-2.62,8.78,8.78,8.77
23.92,12.39,3.61,12.39,3.62,-3.62,-3.48,-2.69,8.77,8.77,8.77
24.16,12.39,3.62,12.39,3.62,-3.62,-3.48,-2.76,8.76,8.76,8.76
24.40,12.39,3.63,12.39,3.63,-3.63,-3.48,-2.84,8.76,8.76,8.76
24.65,12.39,3.64,12.39,3.63,-3.64,-3.49,-2.91,8.75,8.75,8.75
24.89,12.39,3.64,12.39,3.64,-3.64,-3.49,-2.99,8.74,8.74,8.75
25.14,12.39,3.65,12.39,3.65,-3.65,-3.50,-3.07,8.74,8.74,8.74
25.39,12.39,3.66,12.39,3.66,-3.65,-3.50,-3.15,8.73,8.73,8.73
25.65,12.39,3.66,12.39,3.66,-3.66,-3.51,-3.22,8.73,8.73,8.73
25.91,12.39,3.67,12.39,3.67,-3.67,-3.51,-3.30,8.72,8.72,8.72
26.16,12.39,3.67,12.39,3.67,-3.67,-3.52,-3.38,8.71,8.71,8.71
26.43,12.39,3.67,12.39,3.68,-3.68,-3.52,-3.46,8.71,8.71,8.71
26.69,12.39,3.69,12.39,3.68,-3.68,-3.53,-3.54,8.70,8.70,8.70
26.96,12.39,3.69,12.39,3.69,-3.69,-3.53,-3.61,8.70,8.70,8.70
27.23,12.39,3.70,12.39,3.69,-3.69,-3.54,-3.69,8.69,8.69,8.69
27.50,12.39,3.70,12.39,3.70,-3.70,-3.54,-3.76,8.69,8.69,8.69
27.77,12.39,3.70,12.39,3.70,-3.70,-3.55,-3.83,8.68,8.68,8.69
28.05,12.39,3.71,12.39,3.71,-3.71,-3.56,-3.90,8.68,8.68,8.68
28.33,12.39,3.71,12.39,3.71,-3.71,-3.56,-3.97,8.67,8.67,8.67
28.62,12.39,3.71,12.39,3.72,-3.72,-3.57,-4.03,8.67,8.67,8.67
28.90,12.39,3.73,12.39,3.72,-3.72,-3.57,-4.09,8.67,8.67,8.66
29.19,12.39,3.73,12.39,3.73,-3.73,-3.58,-4.14,8.66,8.66,8.66
29.48,12.39,3.73,12.39,3.73,-3.73,-3.59,-4.19,8.66,8.66,8.66
29.78,12.39,3.73,12.39,3.73,-3.73,-3.59,-4.24,8.65,8.65,8.66
30.08,12.39,3.73,12.39,3.74,-3.74,-3.60,-4.28,8.65,8.65,8.65
30.38,12.39,3.75,12.39,3.74,-3.74,-3.60,-4.32,8.65,8.65,8.64
30.68,12.39,3.75,12.39,3.75,-3.75,-3.61,-4.35,8.64,8.64,8.64
30.99,12.39,3.75,12.39,3.75,-3.75,-3.62,-4.37,8.64,8.64,8.64
31.30,12.39,3.75,12.39,3.76,-3.76,-3.62,-4.39,8.63,8.63,8.64
31.61,12.39,3.76,12.39,3.76,-3.76,-3.63,-4.41,8.63,8.63,8.62
31.93,12.39,3.77,12.39,3.77,-3.77,-3.64,-4.41,8.62,8.62,8.62
32.24,12.39,3.77,12.39,3.77,-3.77,-3.65,-4.42,8.62,8.62,8.62
32.57,12.39,3.78,12.39,3.78,-3.78,-3.65,-4.42,8.61,8.61,8.61
32.89,12.39,3.78,12.39,3.78,-3.78,-3.66,-4.41,8.60,8.60,8.60
33.22,12.39,3.79,12.39,3.79,-3.79,-3.67,-4.40,8.60,8.60,8.60
33.55,12.39,3.80,12.39,3.80,-3.80,-3.67,-4.39,8.59,8.59,8.59
33.89,12.39,3.80,12.39,3.80,-3.80,-3.68,-4.36,8.59,8.59,8.59
34.23,12.39,3.81,12.39,3.81,-3.81,-3.69,-4.34,8.58,8.58,8.58
34.57,12.39,3.82,12.39,3.81,-3.82,-3.70,-4.32,8.57,8.57,8.57
34.92,12.39,3.82,12.39,3.82,-3.82,-3.71,-4.29,8.57,8.57,8.57
35.27,12.39,3.82,12.39,3.83,-3.83,-3.71,-4.26,8.56,8.56,8.56
35.62,12.39,3.84,12.39,3.84,-3.83,-3.72,-4.22,8.55,8.55,8.55
35.97,12.39,3.84,12.39,3.84,-3.84,-3.73,-4.19,8.55,8.55,8.55
36.33,12.39,3.85,12.39,3.85,-3.85,-3.74,-4.15,8.54,8.54,8.54
36.70,12.39,3.85,12.39,3.85,-3.85,-3.75,-4.12,8.54,8.54,8.54
37.06,12.39,3.85,12.39,3.86,-3.86,-3.76,-4.08,8.53,8.53,8.53
37.43,12.39,3.87,12.39,3.86,-3.86,-3.77,-4.04,8.52,8.52,8.52
37.81,12.39,3.87,12.39,3.87,-3.87,-3.77,-4.01,8.52,8.52,8.52
38.19,12.39,3.88,12.39,3.88,-3.88,-3.78,-3.97,8.51,8.51,8.51
38.57,12.39,3.89,12.39,3.89,-3.89,-3.79,-3.94,8.50,8.50,8.50
38.95,12.39,3.90,12.39,3.90,-3.90,-3.80,-3.90,8.49,8.49,8.49
39.34,12.39,3.91,12.39,3.91,-3.91,-3.81,-3.87,8.48,8.48,8.48
39.74,12.39,3.92,12.39,3.92,-3.92,-3.82,-3.84,8.47,8.47,8.47
40.14,12.39,3.93,12.39,3.93,-3.93,-3.83,-3.81,8.46,8.46,8.46
40.54,12.39,3.94,12.39,3.94,-3.94,-3.84,-3.79,8.45,8.45,8.45
40.94,12.39,3.94,12.39,3.94,-3.94,-3.85,-3.76,8.44,8.44,8.44
41.35,12.39,3.95,12.39,3.95,-3.95,-3.86,-3.74,8.44,8.44,8.44
41.76,12.39,3.96,12.39,3.96,-3.95,-3.87,-3.72,8.43,8.43,8.43
42.18,12.39,3.96,12.39,3.96,-3.96,-3.88,-3.70,8.43,8.43,8.43
42.60,12.39,3.97,12.39,3.97,-3.96,-3.89,-3.69,8.42,8.42,8.42
43.03,12.39,3.97,12.39,3.97,-3.97,-3.90,-3.67,8.42,8.42,8.42
43.46,12.39,3.97,12.39,3.97,-3.98,-3.91,-3.66,8.41,8.41,8.41
43.90,12.39,3.98,12.39,3.98,-3.99,-3.92,-3.66,8.40,8.40,8.41
44.33,12.39,3.99,12.39,3.99,-4.00,-3.93,-3.65,8.39,8.39,8.40
44.78,12.40,4.01,12.40,4.01,-4.01,-3.95,-3.65,8.39,8.39,8.39
45.23,12.41,4.02,12.41,4.03,-4.02,-3.96,-3.65,8.38,8.38,8.38
45.68,12.42,4.04,12.42,4.04,-4.03,-3.97,-3.66,8.38,8.38,8.37
46.13,12.42,4.05,12.42,4.05,-4.04,-3.98,-3.66,8.37,8.37,8.37
46.60,12.41,4.05,12.41,4.05,-4.05,-3.99,-3.67,8.36,8.36,8.36
47.06,12.40,4.05,12.40,4.05,-4.05,-4.00,-3.69,8.35,8.35,8.35
47.53,12.38,4.05,12.38,4.05,-4.05,-4.01,-3.70,8.33,8.33,8.33
48.01,12.36,4.04,12.36,4.04,-4.04,-4.03,-3.72,8.32,8.32,8.32
48.49,12.33,4.02,12.33,4.03,-4.02,-4.04,-3.74,8.30,8.31,8.31
48.97,12.31,4.01,12.30,4.01,-4.01,-4.05,-3.76,8.30,8.29,8.29
49.46,12.27,3.98,12.27,3.99,-3.99,-4.06,-3.78,8.28,8.28,8.28
49.96,12.24,3.97,12.24,3.97,-3.97,-4.08,-3.81,8.27,8.27,8.27
50.46,12.21,3.95,12.21,3.95,-3.95,-4.09,-3.84,8.26,8.26,8.26
50.96,12.18,3.93,12.18,3.93,-3.93,-4.10,-3.87,8.25,8.25,8.25
51.47,12.15,3.90,12.15,3.91,-3.91,-4.11,-3.90,8.24,8.24,8.24
51.99,12.12,3.89,12.12,3.89,-3.89,-4.13,-3.93,8.22,8.23,8.23
52.51,12.10,3.88,12.10,3.88,-3.88,-4.14,-3.97,8.22,8.21,8.22
53.03,12.08,3.88,12.08,3.87,-3.88,-4.15,-4.00,8.20,8.20,8.20
53.56,12.06,3.87,12.06,3.87,-3.87,-4.16,-4.04,8.18,8.19,8.19
54.10,12.05,3.87,12.05,3.87,-3.88,-4.18,-4.07,8.17,8.17,8.18
54.64,12.05,3.88,12.05,3.88,-3.89,-4.19,-4.11,8.16,8.16,8.17
55.18,12.05,3.90,12.05,3.90,-3.90,-4.20,-4.14,8.15,8.15,8.15
