frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.57,0.83,5.57,0.83,-0.83,-0.77,-0.49,4.74,4.74,4.74
20.20,5.57,0.86,5.56,0.85,-0.85,-0.77,-0.51,4.72,4.71,4.71
20.40,5.57,0.88,5.56,0.87,-0.87,-0.77,-0.52,4.69,4.69,4.69
20.61,5.56,0.89,5.56,0.89,-0.89,-0.77,-0.54,4.66,4.67,4.67
20.81,5.56,0.91,5.56,0.91,-0.91,-0.78,-0.55,4.64,4.64,4.65
21.02,5.56,0.93,5.56,0.93,-0.93,-0.78,-0.57,4.63,4.63,4.63
21.23,5.56,0.95,5.56,0.95,-0.95,-0.78,-0.58,4.61,4.61,4.61
21.44,5.56,0.97,5.55,0.97,-0.96,-0.78,-0.60,4.59,4.59,4.59
21.66,5.55,0.98,5.55,0.98,-0.98,-0.79,-0.62,4.57,4.57,4.57
21.87,5.55,0.99,5.55,1.00,-0.99,-0.79,-0.64,4.55,4.55,4.56
22.09,5.55,1.01,5.54,1.01,-1.01,-0.79,-0.65,4.54,4.54,4.54
22.31,5.55,1.02,5.54,1.02,-1.02,-0.79,-0.67,4.53,4.53,4.52
22.54,5.54,1.02,5.54,1.03,-1.03,-0.79,-0.69,4.51,4.51,4.51
22.76,5.54,1.03,5.54,1.03,-1.04,-0.80,-0.71,4.50,4.50,4.50
22.99,5.54,1.04,5.54,1.04,-1.05,-0.80,-0.73,4.49,4.49,4.49
23.22,5.54,1.05,5.54,1.05,-1.05,-0.80,-0.75,4.48,4.48,4.48
23.45,5.54,1.06,5.53,1.06,-1.06,-0.80,-0.78,4.48,4.47,4.47
23.69,5.53,1.07,5.53,1.07,-1.06,-0.81,-0.80,4.46,4.46,4.46
23.92,5.53,1.07,5.53,1.07,-1.07,-0.81,-0.82,4.46,4.46,4.46
24.16,5.53,1.08,5.52,1.07,-1.07,-0.81,-0.84,4.45,4.45,4.45
24.40,5.53,1.08,5.52,1.08,-1.08,-0.82,-0.86,4.45,4.44,4.45
24.65,5.52,1.08,5.52,1.08,-1.08,-0.82,-0.89,4.43,4.44,4.44
24.89,5.52,1.08,5.52,1.08,-1.08,-0.82,-0.91,4.43,4.43,4.44
25.14,5.52,1.09,5.51,1.09,-1.09,-0.82,-0.93,4.43,4.43,4.43
25.39,5.51,1.09,5.51,1.09,-1.09,-0.83,-0.96,4.42,4.42,4.41
25.65,5.51,1.09,5.50,1.09,-1.09,-0.83,-0.98,4.41,4.41,4.41
25.91,5.50,1.09,5.50,1.09,-1.09,-0.83,-1.01,4.40,4.41,4.40
26.16,5.50,1.10,5.50,1.10,-1.10,-0.84,-1.03,4.40,4.40,4.40
26.43,5.50,1.10,5.49,1.10,-1.10,-0.84,-1.05,4.40,4.39,4.40
26.69,5.49,1.10,5.49,1.10,-1.10,-0.84,-1.08,4.39,4.39,4.39
26.96,5.49,1.10,5.49,1.10,-1.10,-0.85,-1.10,4.38,4.38,4.39
27.23,5.49,1.11,5.48,1.10,-1.10,-0.85,-1.12,4.38,4.38,4.38
27.50,5.48,1.10,5.48,1.11,-1.10,-0.85,-1.14,4.37,4.38,4.37
27.77,5.48,1.10,5.48,1.11,-1.11,-0.86,-1.17,4.37,4.37,4.37
28.05,5.48,1.11,5.47,1.11,-1.11,-0.86,-1.19,4.37,4.37,4.36
28.33,5.47,1.11,5.47,1.11,-1.11,-0.86,-1.21,4.36,4.36,4.36
28.62,5.47,1.11,5.46,1.11,-1.11,-0.87,-1.22,4.36,4.36,4.36
28.90,5.46,1.11,5.46,1.11,-1.11,-0.87,-1.24,4.35,4.35,4.35
29.19,5.46,1.11,5.46,1.11,-1.11,-0.87,-1.26,4.35,4.35,4.35
29.48,5.46,1.11,5.45,1.11,-1.11,-0.88,-1.27,4.35,4.34,4.34
29.78,5.45,1.10,5.45,1.11,-1.11,-0.88,-1.29,4.33,4.34,4.34
30.08,5.45,1.11,5.45,1.11,-1.12,-0.88,-1.30,4.33,4.33,4.34
30.38,5.46,1.13,5.45,1.12,-1.12,-0.89,-1.31,4.33,4.33,4.33
30.68,5.46,1.13,5.46,1.13,-1.13,-0.89,-1.32,4.33,4.33,4.33
30.99,5.47,1.14,5.46,1.14,-1.14,-0.90,-1.32,4.33,4.33,4.32
31.30,5.47,1.14,5.46,1.14,-1.14,-0.90,-1.33,4.33,4.32,4.32
31.61,5.46,1.15,5.46,1.15,-1.15,-0.90,-1.33,4.31,4.32,4.31
31.93,5.46,1.15,5.46,1.15,-1.15,-0.91,-1.34,4.31,4.31,4.31
32.24,5.46,1.15,5.45,1.15,-1.15,-0.91,-1.34,4.30,4.30,4.30
32.57,5.45,1.15,5.45,1.15,-1.15,-0.92,-1.34,4.29,4.30,4.29
32.89,5.44,1.15,5.44,1.15,-1.15,-0.92,-1.34,4.29,4.29,4.29
33.22,5.44,1.15,5.43,1.15,-1.15,-0.93,-1.33,4.29,4.28,4.29
33.55,5.43,1.15,5.43,1.15,-1.15,-0.93,-1.33,4.28,4.28,4.27
33.89,5.42,1.14,5.42,1.15,-1.14,-0.93,-1.32,4.27,4.27,4.27
34.23,5.41,1.14,5.41,1.14,-1.14,-0.94,-1.31,4.26,4.26,4.27
34.57,5.40,1.14,5.40,1.14,-1.14,-0.94,-1.31,4.26,4.26,4.26
34.92,5.39,1.13,5.39,1.13,-1.14,-0.95,-1.30,4.25,4.25,4.25
35.27,5.38,1.13,5.38,1.13,-1.13,-0.95,-1.29,4.25,4.25,4.25
35.62,5.37,1.13,5.37,1.13,-1.13,-0.96,-1.28,4.24,4.24,4.24
35.97,5.36,1.12,5.36,1.12,-1.12,-0.96,-1.27,4.24,4.24,4.23
36.33,5.35,1.12,5.34,1.11,-1.11,-0.97,-1.26,4.23,4.23,4.23
36.70,5.33,1.10,5.33,1.11,-1.11,-0.97,-1.24,4.22,4.22,4.22
37.06,5.32,1.10,5.32,1.10,-1.10,-0.98,-1.23,4.21,4.22,4.22
37.43,5.31,1.10,5.30,1.09,-1.10,-0.98,-1.22,4.21,4.21,4.21
37.81,5.30,1.09,5.29,1.09,-1.09,-0.99,-1.21,4.20,4.20,4.20
38.19,5.28,1.08,5.28,1.09,-1.09,-0.99,-1.20,4.19,4.19,4.20
38.57,5.27,1.08,5.27,1.08,-1.08,-1.00,-1.19,4.18,4.18,4.18
38.95,5.26,1.08,5.25,1.08,-1.08,-1.00,-1.17,4.18,4.17,4.18
39.34,5.25,1.08,5.24,1.08,-1.08,-1.01,-1.16,4.17,4.17,4.16
39.74,5.23,1.07,5.23,1.07,-1.07,-1.01,-1.15,4.15,4.16,4.16
40.14,5.22,1.07,5.21,1.07,-1.07,-1.02,-1.14,4.15,4.15,4.14
40.54,5.20,1.06,5.20,1.06,-1.06,-1.02,-1.13,4.13,4.14,4.14
40.94,5.19,1.06,5.19,1.06,-1.06,-1.03,-1.12,4.13,4.13,4.13
41.35,5.18,1.05,5.18,1.05,-1.05,-1.03,-1.12,4.12,4.12,4.12
41.76,5.17,1.05,5.17,1.05,-1.05,-1.04,-1.11,4.12,4.12,4.12
42.18,5.16,1.04,5.16,1.04,-1.04,-1.04,-1.10,4.12,4.12,4.11
42.60,5.15,1.04,5.15,1.04,-1.04,-1.05,-1.10,4.11,4.11,4.10
43.03,5.14,1.03,5.14,1.03,-1.03,-1.05,-1.09,4.10,4.10,4.11
43.46,5.13,1.03,5.13,1.03,-1.03,-1.06,-1.09,4.10,4.10,4.10
43.90,5.12,1.02,5.12,1.03,-1.03,-1.07,-1.08,4.09,4.09,4.09
44.33,5.12,1.03,5.12,1.03,-1.03,-1.07,-1.08,4.08,4.08,4.09
44.78,5.12,1.04,5.12,1.04,-1.04,-1.08,-1.08,4.08,4.08,4.08
45.23,5.12,1.05,5.12,1.05,-1.04,-1.08,-1.08,4.07,4.07,4.07
45.68,5.12,1.06,5.12,1.06,-1.05,-1.09,-1.08,4.06,4.06,4.06
46.13,5.12,1.06,5.12,1.06,-1.07,-1.09,-1.08,4.05,4.05,4.05
46.60,5.12,1.07,5.12,1.08,-1.08,-1.10,-1.08,4.04,4.04,4.04
47.06,5.12,1.08,5.12,1.09,-1.09,-1.10,-1.08,4.02,4.03,4.03
47.53,5.13,1.11,5.12,1.11,-1.11,-1.11,-1.08,4.02,4.02,4.01
48.01,5.13,1.12,5.13,1.12,-1.12,-1.11,-1.09,4.01,4.01,4.00
48.49,5.13,1.13,5.13,1.14,-1.13,-1.12,-1.09,4.00,4.00,3.99
48.97,5.13,1.15,5.12,1.14,-1.14,-1.12,-1.09,3.99,3.98,3.98
49.46,5.12,1.15,5.12,1.15,-1.14,-1.13,-1.10,3.97,3.97,3.97
49.96,5.11,1.15,5.11,1.15,-1.15,-1.13,-1.11,3.96,3.96,3.96
50.46,5.10,1.15,5.09,1.15,-1.15,-1.14,-1.11,3.95,3.95,3.95
50.96,5.08,1.14,5.08,1.14,-1.14,-1.14,-1.12,3.93,3.94,3.93
51.47,5.07,1.14,5.06,1.14,-1.14,-1.14,-1.13,3.93,3.92,3.93
51.99,5.05,1.13,5.05,1.13,-1.13,-1.15,-1.14,3.91,3.91,3.92
52.51,5.03,1.12,5.03,1.13,-1.13,-1.15,-1.15,3.90,3.90,3.90
53.03,5.02,1.13,5.01,1.12,-1.12,-1.16,-1.16,3.89,3.89,3.89
53.56,5.00,1.12,5.00,1.12,-1.12,-1.16,-1.17,3.88,3.88,3.87
54.10,4.98,1.11,4.98,1.11,-1.11,-1.17,-1.18,3.86,3.86,3.87
54.64,4.96,1.11,4.96,1.11,-1.11,-1.17,-1.19,3.85,3.85,3.85
55.18,4.94,1.10,4.94,1.10,-1.10,-1.17,-1.20,3.83,3.84,3.83
55.74,4.93,1.11,4.92,1.10,-1.10,-1.18,-1.21,3.83,3.82,3.82
56.29,4.91,1.10,4.91,1.10,-1.10,-1.18,-1.22,3.81,3.81,3.81
56.86,4.89,1.09,4.89,1.09,-1.09,-1.18,-1.23,3.79,3.79,3.79
57.42,4.87,1.09,4.87,1.09,-1.09,-1.19,-1.24,3.78,3.78,3.77
58.00,4.85,1.08,4.85,1.09,-1.09,-1.19,-1.25,3.76,3.76,3.76
58.58,4.84,1.09,4.83,1.09,-1.09,-1.19,-1.26,3.74,3.74,3.74
59.16,4.83,1.10,4.82,1.09,-1.10,-1.20,-1.27,3.73,3.72,3.72
59.76,4.81,1.09,4.81,1.10,-1.11,-1.20,-1.28,3.70,3.71,3.71
60.35,4.81,1.12,4.81,1.12,-1.12,-1.21,-1.29,3.69,3.69,3.69
60.96,4.81,1.14,4.80,1.13,-1.13,-1.21,-1.30,3.67,3.67,3.67
61.57,4.80,1.15,4.80,1.15,-1.15,-1.22,-1.31,3.64,3.65,3.65
62.18,4.80,1.17,4.79,1.17,-1.17,-1.22,-1.32,3.63,3.62,3.62
62.80,4.79,1.19,4.79,1.19,-1.19,-1.23,-1.33,3.59,3.60,3.60
63.43,4.79,1.21,4.78,1.21,-1.21,-1.23,-1.34,3.57,3.57,3.57
64.07,4.78,1.23,4.78,1.23,-1.23,-1.24,-1.35,3.54,3.54,3.55
64.71,4.78,1.26,4.77,1.26,-1.25,-1.24,-1.36,3.52,3.52,3.52
65.35,4.77,1.27,4.77,1.27,-1.27,-1.25,-1.37,3.50,3.50,3.49
66.01,4.76,1.29,4.75,1.29,-1.29,-1.26,-1.38,3.47,3.47,3.46
66.67,4.74,1.30,4.74,1.30,-1.30,-1.27,-1.39,3.44,3.44,3.43
67.33,4.72,1.31,4.72,1.31,-1.31,-1.28,-1.40,3.41,3.41,3.41
68.01,4.70,1.32,4.69,1.32,-1.32,-1.29,-1.40,3.38,3.37,3.37
68.69,4.67,1.32,4.67,1.33,-1.33,-1.31,-1.41,3.34,3.34,3.34
69.37,4.65,1.33,4.65,1.34,-1.34,-1.32,-1.42,3.31,3.31,3.31
70.07,4.63,1.35,4.62,1.34,-1.34,-1.33,-1.43,3.28,3.28,3.28
70.77,4.60,1.35,4.60,1.35,-1.35,-1.35,-1.44,3.25,3.25,3.25
71.48,4.58,1.36,4.57,1.36,-1.36,-1.37,-1.45,3.22,3.22,3.22
72.19,4.55,1.36,4.55,1.36,-1.36,-1.39,-1.46,3.18,3.18,3.19
72.91,4.53,1.38,4.53,1.38,-1.38,-1.41,-1.47,3.15,3.15,3.15
73.64,4.51,1.39,4.50,1.39,-1.39,-1.43,-1.48,3.12,3.11,3.11
74.38,4.49,1.40,4.49,1.41,-1.41,-1.45,-1.50,3.08,3.08,3.08
75.12,4.48,1.43,4.48,1.43,-1.43,-1.47,-1.51,3.04,3.04,3.05
75.87,4.47,1.45,4.47,1.45,-1.46,-1.50,-1.52,3.00,3.01,3.02
76.63,4.47,1.49,4.46,1.49,-1.49,-1.52,-1.54,2.97,2.97,2.98
77.40,4.47,1.53,4.47,1.53,-1.53,-1.55,-1.55,2.94,2.94,2.94
78.17,4.47,1.56,4.47,1.57,-1.57,-1.57,-1.57,2.90,2.90,2.90
78.95,4.48,1.61,4.47,1.61,-1.61,-1.60,-1.59,2.87,2.87,2.86
79.74,4.48,1.66,4.47,1.65,-1.65,-1.63,-1.61,2.83,2.83,2.82
80.54,4.47,1.68,4.47,1.69,-1.68,-1.66,-1.63,2.78,2.78,2.78
81.35,4.46,1.72,4.46,1.72,-1.72,-1.68,-1.65,2.74,2.74,2.74
82.16,4.45,1.75,4.45,1.75,-1.75,-1.71,-1.67,2.70,2.70,2.69
