frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.34,-11.60,-4.34,-11.60,6.00,5.93,2.71,1.66,1.66,7.26
20.20,-4.30,-11.53,-4.30,-11.53,6.00,5.93,2.79,1.70,1.70,7.23
20.40,-4.25,-11.46,-4.25,-11.47,6.00,5.93,2.87,1.75,1.75,7.21
20.61,-4.21,-11.40,-4.21,-11.40,6.00,5.93,2.95,1.79,1.79,7.19
20.81,-4.16,-11.33,-4.16,-11.33,6.00,5.93,3.03,1.84,1.84,7.17
21.02,-4.12,-11.27,-4.12,-11.27,6.00,5.93,3.12,1.88,1.88,7.15
21.23,-4.07,-11.20,-4.07,-11.20,6.00,5.94,3.20,1.93,1.93,7.13
21.44,-4.02,-11.13,-4.02,-11.13,6.00,5.94,3.30,1.98,1.98,7.11
21.66,-3.97,-11.06,-3.97,-11.07,6.00,5.94,3.39,2.03,2.03,7.09
21.87,-3.93,-11.01,-3.92,-11.00,6.00,5.94,3.49,2.07,2.08,7.08
22.09,-3.88,-10.94,-3.88,-10.94,6.00,5.94,3.58,2.12,2.12,7.06
22.31,-3.83,-10.88,-3.83,-10.88,6.00,5.94,3.69,2.17,2.17,7.05
22.54,-3.79,-10.83,-3.78,-10.82,6.00,5.95,3.79,2.21,2.22,7.04
22.76,-3.74,-10.77,-3.74,-10.77,6.00,5.95,3.90,2.26,2.26,7.03
22.99,-3.69,-10.71,-3.69,-10.71,6.00,5.95,4.01,2.31,2.31,7.02
23.22,-3.65,-10.66,-3.64,-10.65,6.00,5.95,4.12,2.35,2.36,7.01
23.45,-3.60,-10.59,-3.60,-10.60,6.00,5.95,4.23,2.40,2.40,7.00
23.69,-3.55,-10.53,-3.55,-10.54,6.00,5.95,4.35,2.45,2.45,6.98
23.92,-3.51,-10.49,-3.50,-10.49,6.00,5.96,4.47,2.49,2.50,6.98
24.16,-3.46,-10.43,-3.46,-10.43,6.00,5.96,4.59,2.54,2.54,6.97
24.40,-3.41,-10.38,-3.41,-10.38,6.00,5.96,4.71,2.59,2.59,6.97
24.65,-3.37,-10.33,-3.36,-10.33,6.00,5.96,4.84,2.63,2.64,6.96
24.89,-3.32,-10.28,-3.32,-10.28,6.00,5.96,4.97,2.68,2.68,6.96
25.14,-3.27,-10.22,-3.27,-10.22,6.00,5.97,5.10,2.73,2.73,6.95
25.39,-3.23,-10.17,-3.23,-10.17,6.00,5.97,5.23,2.77,2.77,6.94
25.65,-3.18,-10.12,-3.18,-10.11,6.00,5.97,5.36,2.82,2.82,6.94
25.91,-3.14,-10.07,-3.14,-10.07,6.00,5.97,5.49,2.86,2.86,6.93
26.16,-3.09,-10.01,-3.09,-10.02,6.00,5.97,5.62,2.91,2.91,6.93
26.43,-3.05,-9.97,-3.05,-9.97,6.00,5.98,5.75,2.95,2.95,6.92
26.69,-3.00,-9.91,-3.00,-9.92,6.00,5.98,5.88,3.00,3.00,6.91
26.96,-2.96,-9.87,-2.96,-9.87,6.00,5.98,6.01,3.04,3.04,6.91
27.23,-2.91,-9.81,-2.91,-9.82,6.00,5.98,6.14,3.09,3.09,6.90
27.50,-2.87,-9.77,-2.87,-9.77,6.00,5.98,6.26,3.13,3.13,6.90
27.77,-2.83,-9.73,-2.82,-9.72,6.00,5.99,6.38,3.17,3.18,6.90
28.05,-2.78,-9.66,-2.78,-9.67,6.00,5.99,6.50,3.22,3.22,6.89
28.33,-2.74,-9.62,-2.74,-9.62,6.00,5.99,6.61,3.26,3.26,6.88
28.62,-2.70,-9.58,-2.69,-9.57,6.00,5.99,6.72,3.30,3.31,6.88
28.90,-2.65,-9.52,-2.65,-9.53,6.00,5.99,6.82,3.35,3.35,6.87
29.19,-2.61,-9.48,-2.61,-9.48,6.00,6.00,6.91,3.39,3.39,6.87
29.48,-2.57,-9.44,-2.57,-9.43,6.00,6.00,7.00,3.43,3.43,6.87
29.78,-2.52,-9.39,-2.52,-9.39,6.00,6.00,7.08,3.48,3.48,6.87
30.08,-2.48,-9.34,-2.48,-9.34,6.00,6.00,7.14,3.52,3.52,6.86
30.38,-2.43,-9.28,-2.43,-9.29,6.00,6.01,7.21,3.57,3.57,6.85
30.68,-2.39,-9.24,-2.39,-9.24,6.00,6.01,7.25,3.61,3.61,6.85
30.99,-2.34,-9.19,-2.34,-9.19,6.00,6.01,7.30,3.66,3.66,6.85
31.30,-2.30,-9.15,-2.30,-9.15,6.00,6.01,7.33,3.70,3.70,6.85
