frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.83,0.51,9.84,0.51,-0.51,-0.79,-0.25,9.32,9.32,9.32
20.20,9.83,0.54,9.83,0.53,-0.53,-0.79,-0.26,9.30,9.30,9.29
20.40,9.82,0.55,9.83,0.55,-0.55,-0.79,-0.27,9.27,9.27,9.27
20.61,9.82,0.57,9.82,0.57,-0.57,-0.79,-0.28,9.25,9.25,9.25
20.81,9.81,0.58,9.82,0.58,-0.59,-0.78,-0.29,9.23,9.23,9.23
21.02,9.81,0.60,9.81,0.60,-0.60,-0.78,-0.30,9.21,9.21,9.21
21.23,9.81,0.62,9.81,0.62,-0.62,-0.78,-0.31,9.19,9.19,9.19
21.44,9.80,0.63,9.81,0.64,-0.63,-0.78,-0.32,9.17,9.17,9.17
21.66,9.80,0.65,9.80,0.65,-0.65,-0.78,-0.33,9.16,9.16,9.15
21.87,9.79,0.65,9.80,0.66,-0.66,-0.78,-0.34,9.14,9.14,9.14
22.09,9.79,0.67,9.79,0.67,-0.67,-0.78,-0.35,9.13,9.12,9.12
22.31,9.78,0.67,9.79,0.68,-0.68,-0.77,-0.36,9.11,9.11,9.11
22.54,9.78,0.68,9.78,0.68,-0.69,-0.77,-0.37,9.10,9.10,9.10
22.76,9.77,0.69,9.78,0.69,-0.69,-0.77,-0.38,9.08,9.08,9.09
22.99,9.77,0.70,9.78,0.70,-0.70,-0.77,-0.40,9.07,9.08,9.08
23.22,9.77,0.71,9.77,0.71,-0.71,-0.77,-0.41,9.07,9.07,9.07
23.45,9.77,0.72,9.77,0.71,-0.71,-0.77,-0.42,9.06,9.06,9.06
23.69,9.76,0.72,9.77,0.72,-0.72,-0.77,-0.43,9.05,9.05,9.05
23.92,9.76,0.72,9.76,0.72,-0.72,-0.77,-0.45,9.04,9.04,9.05
24.16,9.76,0.73,9.76,0.72,-0.72,-0.76,-0.46,9.04,9.04,9.03
24.40,9.75,0.72,9.76,0.72,-0.73,-0.76,-0.47,9.03,9.03,9.03
24.65,9.75,0.73,9.75,0.73,-0.73,-0.76,-0.49,9.03,9.02,9.02
24.89,9.74,0.72,9.75,0.73,-0.73,-0.76,-0.50,9.02,9.02,9.02
25.14,9.74,0.73,9.74,0.73,-0.73,-0.76,-0.51,9.02,9.01,9.01
25.39,9.73,0.73,9.73,0.73,-0.73,-0.76,-0.53,9.01,9.01,9.00
25.65,9.72,0.72,9.73,0.73,-0.73,-0.76,-0.54,9.00,9.00,9.00
25.91,9.71,0.72,9.72,0.72,-0.73,-0.76,-0.56,8.99,8.99,8.99
26.16,9.71,0.73,9.71,0.72,-0.73,-0.76,-0.57,8.99,8.99,8.99
26.43,9.70,0.72,9.71,0.72,-0.72,-0.75,-0.58,8.98,8.98,8.99
26.69,9.70,0.73,9.70,0.72,-0.72,-0.75,-0.60,8.98,8.98,8.98
26.96,9.69,0.72,9.70,0.72,-0.72,-0.75,-0.61,8.97,8.98,8.98
27.23,9.69,0.73,9.69,0.72,-0.72,-0.75,-0.62,8.97,8.97,8.96
27.50,9.68,0.72,9.68,0.72,-0.72,-0.75,-0.64,8.96,8.96,8.96
27.77,9.67,0.71,9.68,0.72,-0.72,-0.75,-0.65,8.95,8.96,8.96
28.05,9.67,0.72,9.67,0.72,-0.72,-0.75,-0.66,8.96,8.95,8.95
