frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,20.81,11.09,20.81,11.10,-11.10,-11.13,-4.97,9.71,9.71,9.71
20.20,20.79,11.11,20.79,11.10,-11.10,-11.12,-5.10,9.69,9.69,9.68
20.40,20.77,11.11,20.77,11.11,-11.10,-11.11,-5.23,9.66,9.66,9.66
20.61,20.75,11.11,20.75,11.11,-11.11,-11.10,-5.36,9.64,9.64,9.64
20.81,20.73,11.11,20.73,11.11,-11.11,-11.09,-5.50,9.62,9.62,9.62
21.02,20.71,11.11,20.71,11.10,-11.11,-11.07,-5.64,9.60,9.60,9.60
21.23,20.68,11.10,20.68,11.10,-11.10,-11.06,-5.79,9.57,9.58,9.58
21.44,20.66,11.10,20.66,11.10,-11.10,-11.04,-5.94,9.56,9.56,9.56
21.66,20.64,11.10,20.64,11.09,-11.10,-11.03,-6.09,9.54,9.54,9.54
21.87,20.62,11.09,20.61,11.09,-11.09,-11.01,-6.25,9.53,9.53,9.53
22.09,20.59,11.08,20.59,11.08,-11.08,-10.99,-6.41,9.51,9.51,9.51
22.31,20.57,11.07,20.57,11.07,-11.07,-10.98,-6.58,9.50,9.50,9.50
22.54,20.55,11.06,20.55,11.06,-11.05,-10.96,-6.75,9.50,9.49,9.49
22.76,20.52,11.04,20.52,11.04,-11.04,-10.94,-6.93,9.48,9.48,9.48
22.99,20.49,11.02,20.49,11.02,-11.01,-10.92,-7.11,9.47,9.47,9.47
23.22,20.45,10.99,20.45,11.00,-10.99,-10.90,-7.30,9.46,9.46,9.46
23.45,20.42,10.97,20.42,10.97,-10.97,-10.88,-7.49,9.45,9.45,9.45
23.69,20.38,10.94,20.38,10.94,-10.95,-10.85,-7.68,9.43,9.43,9.44
23.92,20.35,10.91,20.35,10.92,-10.93,-10.83,-7.88,9.42,9.42,9.44
24.16,20.32,10.89,20.32,10.90,-10.91,-10.81,-8.09,9.41,9.42,9.42
24.40,20.31,10.88,20.31,10.88,-10.89,-10.78,-8.30,9.42,9.42,9.42
24.65,20.29,10.88,20.29,10.87,-10.87,-10.76,-8.51,9.42,9.42,9.41
24.89,20.27,10.86,20.26,10.85,-10.84,-10.73,-8.73,9.43,9.42,9.41
25.14,20.23,10.83,20.23,10.83,-10.81,-10.71,-8.95,9.41,9.41,9.40
25.39,20.19,10.80,20.19,10.79,-10.78,-10.68,-9.18,9.40,9.40,9.39
25.65,20.14,10.75,20.14,10.75,-10.75,-10.65,-9.41,9.39,9.39,9.39
25.91,20.10,10.72,20.09,10.71,-10.72,-10.63,-9.64,9.38,9.38,9.38
26.16,20.05,10.67,20.05,10.67,-10.68,-10.60,-9.87,9.36,9.37,9.38
26.43,20.01,10.63,20.01,10.64,-10.65,-10.57,-10.11,9.36,9.36,9.38
26.69,19.98,10.61,19.98,10.61,-10.61,-10.54,-10.35,9.36,9.36,9.37
26.96,19.95,10.58,19.95,10.58,-10.58,-10.51,-10.59,9.37,9.37,9.37
27.23,19.91,10.55,19.91,10.55,-10.55,-10.48,-10.82,9.36,9.36,9.35
