frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.67,3.38,12.67,3.38,-3.38,-3.28,-2.00,9.30,9.30,9.30
20.20,12.69,3.43,12.69,3.42,-3.42,-3.31,-2.06,9.27,9.27,9.27
20.40,12.70,3.46,12.70,3.46,-3.46,-3.35,-2.11,9.24,9.25,9.24
20.61,12.72,3.50,12.72,3.50,-3.50,-3.39,-2.17,9.22,9.22,9.23
20.81,12.74,3.54,12.74,3.53,-3.54,-3.42,-2.23,9.20,9.20,9.20
21.02,12.75,3.57,12.75,3.57,-3.58,-3.46,-2.29,9.18,9.18,9.18
21.23,12.77,3.61,12.77,3.61,-3.61,-3.50,-2.36,9.16,9.16,9.16
21.44,12.79,3.65,12.79,3.65,-3.65,-3.53,-2.42,9.14,9.14,9.14
21.66,12.81,3.69,12.81,3.69,-3.68,-3.57,-2.49,9.13,9.13,9.12
21.87,12.83,3.72,12.83,3.72,-3.72,-3.60,-2.56,9.11,9.11,9.11
22.09,12.85,3.76,12.85,3.76,-3.75,-3.64,-2.63,9.10,9.10,9.09
22.31,12.87,3.79,12.87,3.79,-3.78,-3.67,-2.70,9.09,9.08,9.08
22.54,12.88,3.81,12.88,3.81,-3.82,-3.71,-2.78,9.06,9.07,9.07
22.76,12.90,3.84,12.90,3.84,-3.85,-3.74,-2.85,9.06,9.06,9.06
22.99,12.92,3.87,12.92,3.87,-3.87,-3.77,-2.93,9.05,9.05,9.05
23.22,12.94,3.90,12.94,3.90,-3.90,-3.81,-3.01,9.04,9.04,9.04
23.45,12.96,3.93,12.96,3.93,-3.93,-3.84,-3.09,9.03,9.03,9.03
23.69,12.98,3.96,12.98,3.96,-3.95,-3.87,-3.18,9.03,9.02,9.02
23.92,12.99,3.97,12.99,3.98,-3.98,-3.90,-3.26,9.01,9.02,9.02
24.16,13.01,4.00,13.01,4.00,-4.00,-3.93,-3.35,9.01,9.01,9.01
24.40,13.03,4.02,13.03,4.03,-4.03,-3.96,-3.43,9.00,9.00,9.01
24.65,13.05,4.05,13.05,4.05,-4.05,-3.99,-3.52,9.00,9.00,9.00
24.89,13.06,4.07,13.06,4.07,-4.07,-4.02,-3.61,8.99,8.99,8.99
25.14,13.08,4.10,13.08,4.10,-4.10,-4.05,-3.70,8.98,8.98,8.98
25.39,13.10,4.13,13.10,4.12,-4.12,-4.08,-3.79,8.98,8.98,8.97
25.65,13.12,4.15,13.12,4.15,-4.15,-4.11,-3.89,8.98,8.97,8.97
25.91,13.13,4.17,13.13,4.17,-4.17,-4.13,-3.98,8.96,8.96,8.96
26.16,13.15,4.19,13.15,4.19,-4.19,-4.16,-4.07,8.96,8.96,8.96
26.43,13.17,4.21,13.17,4.21,-4.22,-4.19,-4.16,8.95,8.95,8.96
26.69,13.19,4.24,13.19,4.24,-4.24,-4.21,-4.25,8.95,8.95,8.95
26.96,13.21,4.26,13.21,4.26,-4.26,-4.24,-4.34,8.95,8.95,8.95
27.23,13.22,4.28,13.23,4.29,-4.28,-4.26,-4.43,8.94,8.94,8.94
27.50,13.24,4.31,13.24,4.31,-4.30,-4.28,-4.51,8.94,8.94,8.94
27.77,13.26,4.33,13.26,4.33,-4.33,-4.31,-4.59,8.93,8.93,8.93
28.05,13.27,4.35,13.27,4.35,-4.35,-4.33,-4.67,8.92,8.93,8.92
28.33,13.29,4.37,13.29,4.37,-4.37,-4.35,-4.75,8.92,8.92,8.92
28.62,13.30,4.38,13.30,4.39,-4.39,-4.37,-4.82,8.91,8.92,8.92
28.90,13.32,4.41,13.32,4.41,-4.41,-4.39,-4.89,8.91,8.91,8.91
29.19,13.33,4.42,13.33,4.43,-4.43,-4.41,-4.96,8.90,8.91,8.91
29.48,13.35,4.44,13.35,4.44,-4.45,-4.43,-5.02,8.91,8.91,8.91
29.78,13.37,4.47,13.37,4.46,-4.46,-4.45,-5.07,8.91,8.90,8.90
30.08,13.38,4.48,13.38,4.48,-4.48,-4.47,-5.12,8.90,8.90,8.90
30.38,13.40,4.51,13.40,4.50,-4.50,-4.49,-5.16,8.90,8.90,8.89
30.68,13.41,4.52,13.41,4.52,-4.52,-4.51,-5.20,8.89,8.89,8.89
30.99,13.42,4.53,13.42,4.54,-4.53,-4.53,-5.23,8.89,8.89,8.89
31.30,13.43,4.54,13.43,4.55,-4.55,-4.54,-5.26,8.88,8.88,8.89
31.61,13.44,4.57,13.44,4.56,-4.56,-4.56,-5.28,8.88,8.88,8.87
31.93,13.45,4.58,13.45,4.58,-4.58,-4.58,-5.29,8.87,8.87,8.87
32.24,13.46,4.59,13.46,4.60,-4.59,-4.59,-5.30,8.87,8.87,8.87
32.57,13.47,4.61,13.47,4.61,-4.61,-4.61,-5.30,8.86,8.86,8.86
32.89,13.48,4.63,13.48,4.63,-4.63,-4.63,-5.30,8.85,8.85,8.86
33.22,13.49,4.64,13.49,4.64,-4.65,-4.64,-5.29,8.85,8.85,8.85
33.55,13.51,4.67,13.51,4.66,-4.66,-4.66,-5.27,8.85,8.84,8.84
33.89,13.52,4.68,13.52,4.68,-4.68,-4.67,-5.26,8.84,8.84,8.84
34.23,13.54,4.71,13.54,4.71,-4.70,-4.69,-5.24,8.84,8.83,8.84
34.57,13.55,4.73,13.55,4.73,-4.73,-4.70,-5.21,8.82,8.83,8.82
34.92,13.57,4.75,13.57,4.75,-4.75,-4.72,-5.19,8.82,8.82,8.82
35.27,13.58,4.76,13.58,4.77,-4.77,-4.73,-5.16,8.81,8.81,8.82
35.62,13.60,4.80,13.60,4.79,-4.79,-4.75,-5.13,8.81,8.81,8.80
35.97,13.62,4.82,13.62,4.82,-4.82,-4.76,-5.09,8.80,8.80,8.80
36.33,13.64,4.84,13.64,4.84,-4.84,-4.78,-5.06,8.80,8.80,8.80
36.70,13.66,4.87,13.66,4.87,-4.87,-4.79,-5.03,8.79,8.79,8.79
37.06,13.67,4.88,13.68,4.89,-4.89,-4.80,-5.00,8.78,8.78,8.79
37.43,13.70,4.93,13.70,4.92,-4.92,-4.82,-4.96,8.78,8.78,8.78
37.81,13.72,4.95,13.72,4.95,-4.95,-4.83,-4.93,8.77,8.77,8.77
38.19,13.74,4.97,13.74,4.98,-4.98,-4.85,-4.90,8.76,8.77,8.77
38.57,13.76,5.01,13.76,5.00,-5.01,-4.86,-4.87,8.75,8.76,8.75
38.95,13.78,5.03,13.78,5.03,-5.04,-4.88,-4.84,8.75,8.75,8.75
39.34,13.80,5.07,13.80,5.06,-5.07,-4.89,-4.82,8.74,8.74,8.73
39.74,13.82,5.09,13.82,5.09,-5.09,-4.90,-4.80,8.73,8.73,8.73
40.14,13.84,5.13,13.84,5.12,-5.12,-4.92,-4.78,8.72,8.72,8.71
