frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,17.18,6.62,17.18,6.62,-6.62,-6.71,-3.11,10.56,10.56,10.56
20.20,17.18,6.65,17.18,6.65,-6.65,-6.71,-3.20,10.53,10.53,10.53
20.40,17.18,6.67,17.18,6.67,-6.67,-6.72,-3.29,10.51,10.51,10.51
20.61,17.18,6.69,17.18,6.69,-6.69,-6.73,-3.38,10.49,10.49,10.49
20.81,17.18,6.71,17.18,6.71,-6.71,-6.74,-3.47,10.46,10.46,10.47
21.02,17.18,6.73,17.18,6.73,-6.74,-6.74,-3.57,10.44,10.44,10.45
21.23,17.18,6.75,17.18,6.75,-6.75,-6.75,-3.67,10.42,10.42,10.43
21.44,17.18,6.77,17.18,6.77,-6.77,-6.76,-3.77,10.40,10.40,10.40
21.66,17.18,6.79,17.18,6.79,-6.79,-6.77,-3.88,10.39,10.39,10.38
21.87,17.18,6.80,17.18,6.81,-6.81,-6.78,-3.99,10.37,10.37,10.37
22.09,17.18,6.83,17.18,6.82,-6.82,-6.79,-4.10,10.36,10.36,10.35
22.31,17.18,6.84,17.18,6.84,-6.84,-6.80,-4.21,10.34,10.34,10.34
22.54,17.18,6.85,17.18,6.85,-6.85,-6.81,-4.33,10.33,10.33,10.33
22.76,17.18,6.86,17.18,6.86,-6.86,-6.82,-4.45,10.32,10.32,10.32
22.99,17.18,6.87,17.18,6.87,-6.87,-6.83,-4.57,10.31,10.31,10.31
23.22,17.18,6.88,17.18,6.88,-6.88,-6.84,-4.70,10.30,10.30,10.30
23.45,17.18,6.89,17.18,6.89,-6.89,-6.85,-4.83,10.29,10.29,10.29
23.69,17.18,6.90,17.18,6.90,-6.90,-6.86,-4.96,10.28,10.28,10.28
23.92,17.18,6.90,17.18,6.90,-6.90,-6.87,-5.09,10.28,10.28,10.28
24.16,17.18,6.91,17.18,6.91,-6.91,-6.88,-5.23,10.27,10.27,10.27
24.40,17.18,6.91,17.18,6.91,-6.92,-6.89,-5.37,10.26,10.26,10.27
24.65,17.18,6.92,17.18,6.92,-6.92,-6.90,-5.51,10.25,10.25,10.25
24.89,17.18,6.92,17.18,6.93,-6.93,-6.91,-5.66,10.25,10.25,10.25
25.14,17.18,6.94,17.18,6.94,-6.94,-6.92,-5.80,10.24,10.24,10.24
25.39,17.18,6.95,17.18,6.94,-6.94,-6.93,-5.95,10.24,10.24,10.23
25.65,17.18,6.95,17.18,6.95,-6.95,-6.94,-6.10,10.23,10.23,10.23
25.91,17.18,6.96,17.18,6.95,-6.95,-6.95,-6.25,10.22,10.22,10.22
26.16,17.18,6.96,17.18,6.96,-6.96,-6.96,-6.40,10.22,10.22,10.22
26.43,17.18,6.96,17.18,6.96,-6.97,-6.97,-6.54,10.21,10.21,10.22
26.69,17.18,6.97,17.18,6.97,-6.97,-6.97,-6.69,10.21,10.21,10.21
26.96,17.18,6.97,17.18,6.98,-6.98,-6.98,-6.84,10.20,10.20,10.20
27.23,17.18,6.98,17.18,6.98,-6.98,-6.99,-6.98,10.20,10.20,10.19
27.50,17.18,6.99,17.18,6.99,-6.99,-7.00,-7.13,10.19,10.19,10.19
27.77,17.18,6.99,17.18,6.99,-6.99,-7.01,-7.27,10.19,10.19,10.19
28.05,17.18,7.00,17.18,6.99,-7.00,-7.02,-7.40,10.18,10.18,10.18
28.33,17.18,7.00,17.18,7.00,-7.00,-7.03,-7.53,10.18,10.18,10.18
28.62,17.18,7.00,17.18,7.01,-7.00,-7.03,-7.65,10.17,10.17,10.18
28.90,17.18,7.01,17.18,7.01,-7.01,-7.04,-7.77,10.17,10.17,10.16
29.19,17.18,7.01,17.18,7.01,-7.01,-7.05,-7.88,10.17,10.17,10.16
29.48,17.18,7.02,17.18,7.02,-7.02,-7.05,-7.97,10.16,10.16,10.16
29.78,17.18,7.02,17.18,7.02,-7.02,-7.06,-8.07,10.16,10.16,10.16
30.08,17.18,7.02,17.18,7.02,-7.02,-7.07,-8.14,10.15,10.15,10.16
30.38,17.18,7.03,17.18,7.03,-7.03,-7.07,-8.22,10.15,10.15,10.15
30.68,17.18,7.03,17.18,7.03,-7.03,-7.08,-8.27,10.15,10.15,10.14
30.99,17.18,7.04,17.18,7.04,-7.04,-7.08,-8.32,10.14,10.14,10.14
31.30,17.18,7.04,17.18,7.04,-7.04,-7.09,-8.35,10.14,10.14,10.14
31.61,17.18,7.05,17.18,7.05,-7.05,-7.09,-8.38,10.13,10.13,10.13
31.93,17.18,7.05,17.18,7.05,-7.05,-7.10,-8.39,10.12,10.12,10.12
32.24,17.18,7.06,17.18,7.06,-7.06,-7.10,-8.39,10.12,10.12,10.12
32.57,17.18,7.07,17.18,7.06,-7.06,-7.10,-8.38,10.11,10.11,10.11
32.89,17.18,7.07,17.18,7.07,-7.07,-7.11,-8.36,10.11,10.11,10.11
33.22,17.18,7.07,17.18,7.08,-7.08,-7.11,-8.33,10.10,10.10,10.10
33.55,17.18,7.09,17.18,7.08,-7.08,-7.11,-8.29,10.10,10.10,10.09
33.89,17.18,7.09,17.18,7.09,-7.09,-7.12,-8.25,10.09,10.09,10.09
34.23,17.18,7.09,17.18,7.10,-7.10,-7.12,-8.19,10.08,10.08,10.09
34.57,17.18,7.10,17.18,7.10,-7.10,-7.12,-8.13,10.08,10.08,10.07
34.92,17.18,7.11,17.18,7.11,-7.11,-7.12,-8.07,10.07,10.07,10.07
35.27,17.18,7.11,17.18,7.12,-7.11,-7.13,-8.00,10.06,10.06,10.07
35.62,17.18,7.12,17.18,7.12,-7.12,-7.13,-7.93,10.06,10.06,10.05
35.97,17.18,7.13,17.18,7.13,-7.13,-7.13,-7.85,10.05,10.05,10.05
36.33,17.18,7.13,17.18,7.13,-7.13,-7.13,-7.78,10.05,10.05,10.05
36.70,17.18,7.14,17.18,7.14,-7.14,-7.13,-7.70,10.04,10.04,10.04
37.06,17.18,7.14,17.18,7.14,-7.14,-7.14,-7.62,10.03,10.03,10.04
37.43,17.18,7.15,17.18,7.15,-7.15,-7.14,-7.54,10.03,10.03,10.02
37.81,17.18,7.16,17.18,7.16,-7.16,-7.14,-7.47,10.02,10.02,10.02
38.19,17.18,7.16,17.18,7.17,-7.17,-7.14,-7.39,10.01,10.01,10.01
38.57,17.18,7.18,17.18,7.18,-7.18,-7.15,-7.32,10.00,10.00,10.00
38.95,17.18,7.18,17.18,7.18,-7.19,-7.15,-7.25,9.99,9.99,9.99
39.34,17.18,7.20,17.18,7.20,-7.20,-7.15,-7.18,9.98,9.98,9.98
39.74,17.18,7.20,17.18,7.21,-7.21,-7.15,-7.12,9.96,9.97,9.97
40.14,17.19,7.23,17.18,7.22,-7.23,-7.16,-7.06,9.96,9.96,9.96
40.54,17.19,7.23,17.19,7.24,-7.24,-7.16,-7.00,9.95,9.95,9.95
40.94,17.20,7.25,17.20,7.25,-7.25,-7.16,-6.95,9.95,9.95,9.95
41.35,17.21,7.27,17.20,7.26,-7.26,-7.16,-6.90,9.95,9.95,9.94
41.76,17.21,7.27,17.21,7.27,-7.26,-7.17,-6.86,9.94,9.94,9.94
42.18,17.20,7.27,17.20,7.27,-7.26,-7.17,-6.82,9.94,9.94,9.93
42.60,17.19,7.27,17.19,7.26,-7.26,-7.17,-6.79,9.93,9.93,9.92
43.03,17.17,7.24,17.17,7.25,-7.24,-7.17,-6.76,9.92,9.92,9.93
43.46,17.15,7.23,17.15,7.23,-7.23,-7.18,-6.73,9.92,9.92,9.92
43.90,17.12,7.21,17.12,7.21,-7.21,-7.18,-6.71,9.91,9.91,9.91
44.33,17.09,7.18,17.09,7.19,-7.19,-7.18,-6.70,9.90,9.90,9.90
44.78,17.06,7.16,17.06,7.16,-7.16,-7.18,-6.69,9.89,9.89,9.89
45.23,17.03,7.14,17.03,7.14,-7.14,-7.18,-6.69,9.89,9.89,9.89
45.68,17.00,7.12,17.00,7.12,-7.12,-7.18,-6.69,9.88,9.88,9.88
46.13,16.97,7.10,16.97,7.10,-7.10,-7.19,-6.69,9.87,9.87,9.87
46.60,16.94,7.08,16.94,7.08,-7.08,-7.19,-6.70,9.86,9.86,9.86
47.06,16.91,7.06,16.91,7.06,-7.06,-7.19,-6.72,9.84,9.85,9.85
47.53,16.89,7.06,16.89,7.05,-7.05,-7.19,-6.74,9.83,9.83,9.83
48.01,16.87,7.05,16.87,7.05,-7.05,-7.19,-6.76,9.82,9.82,9.82
48.49,16.85,7.04,16.85,7.04,-7.04,-7.19,-6.79,9.80,9.81,9.81
48.97,16.84,7.04,16.84,7.04,-7.05,-7.19,-6.82,9.79,9.79,9.80
49.46,16.84,7.05,16.84,7.05,-7.06,-7.18,-6.86,9.78,9.78,9.79
49.96,16.84,7.06,16.84,7.07,-7.07,-7.18,-6.90,9.77,9.77,9.77
50.46,16.85,7.09,16.85,7.08,-7.08,-7.18,-6.94,9.77,9.76,9.76
50.96,16.86,7.11,16.85,7.10,-7.10,-7.18,-6.99,9.76,9.75,9.75
51.47,16.86,7.11,16.86,7.12,-7.12,-7.18,-7.03,9.74,9.74,9.75
51.99,16.87,7.13,16.87,7.14,-7.14,-7.17,-7.09,9.73,9.73,9.73
52.51,16.88,7.16,16.87,7.16,-7.15,-7.17,-7.14,9.72,9.72,9.72
53.03,16.88,7.17,16.88,7.17,-7.17,-7.16,-7.19,9.71,9.71,9.70
53.56,16.88,7.19,16.88,7.18,-7.18,-7.16,-7.25,9.70,9.70,9.69
54.10,16.87,7.18,16.87,7.18,-7.18,-7.15,-7.31,9.69,9.69,9.68
54.64,16.85,7.18,16.85,7.18,-7.18,-7.14,-7.36,9.67,9.67,9.67
55.18,16.83,7.18,16.83,7.18,-7.17,-7.14,-7.42,9.65,9.65,9.65
55.74,16.81,7.17,16.80,7.17,-7.17,-7.13,-7.47,9.64,9.64,9.64
56.29,16.78,7.15,16.78,7.15,-7.15,-7.12,-7.53,9.63,9.63,9.63
56.86,16.75,7.14,16.75,7.14,-7.14,-7.11,-7.58,9.61,9.61,9.61
57.42,16.72,7.13,16.72,7.12,-7.12,-7.10,-7.62,9.59,9.59,9.59
58.00,16.69,7.11,16.69,7.11,-7.11,-7.09,-7.67,9.58,9.58,9.58
58.58,16.66,7.10,16.66,7.10,-7.10,-7.09,-7.71,9.56,9.56,9.56
59.16,16.63,7.09,16.63,7.08,-7.09,-7.08,-7.75,9.54,9.54,9.54
59.76,16.61,7.08,16.61,7.08,-7.09,-7.07,-7.78,9.52,9.52,9.53
60.35,16.59,7.08,16.59,7.08,-7.09,-7.06,-7.80,9.50,9.50,9.51
60.96,16.58,7.09,16.57,7.09,-7.09,-7.05,-7.82,9.49,9.49,9.49
61.57,16.56,7.10,16.56,7.09,-7.09,-7.04,-7.84,9.47,9.47,9.46
62.18,16.54,7.10,16.54,7.10,-7.10,-7.04,-7.85,9.44,9.44,9.44
62.80,16.52,7.10,16.52,7.10,-7.10,-7.03,-7.85,9.41,9.41,9.41
63.43,16.50,7.11,16.50,7.11,-7.11,-7.03,-7.84,9.39,9.39,9.39
64.07,16.48,7.11,16.48,7.12,-7.11,-7.03,-7.83,9.36,9.36,9.36
64.71,16.46,7.12,16.46,7.12,-7.12,-7.03,-7.82,9.34,9.34,9.34
65.35,16.44,7.13,16.43,7.13,-7.12,-7.03,-7.80,9.32,9.32,9.31
66.01,16.41,7.13,16.41,7.13,-7.12,-7.04,-7.77,9.29,9.29,9.28
66.67,16.38,7.13,16.38,7.13,-7.12,-7.04,-7.74,9.25,9.25,9.25
67.33,16.35,7.12,16.35,7.12,-7.13,-7.05,-7.70,9.22,9.22,9.22
68.01,16.32,7.13,16.32,7.13,-7.13,-7.06,-7.66,9.18,9.18,9.19
68.69,16.29,7.13,16.29,7.13,-7.14,-7.08,-7.62,9.15,9.15,9.16
69.37,16.28,7.15,16.27,7.15,-7.15,-7.09,-7.57,9.13,9.13,9.13
70.07,16.26,7.16,16.26,7.16,-7.16,-7.10,-7.52,9.10,9.10,9.10
70.77,16.24,7.18,16.24,7.17,-7.17,-7.12,-7.47,9.07,9.07,9.06
71.48,16.22,7.18,16.22,7.18,-7.18,-7.14,-7.42,9.03,9.03,9.04
72.19,16.20,7.20,16.20,7.20,-7.20,-7.16,-7.37,9.00,9.00,9.00
72.91,16.18,7.21,16.18,7.21,-7.21,-7.18,-7.31,8.96,8.96,8.97
73.64,16.16,7.23,16.16,7.23,-7.23,-7.20,-7.26,8.93,8.93,8.93
74.38,16.15,7.25,16.14,7.24,-7.24,-7.22,-7.21,8.91,8.90,8.90
75.12,16.13,7.26,16.12,7.26,-7.26,-7.24,-7.16,8.87,8.87,8.86
75.87,16.10,7.26,16.10,7.27,-7.27,-7.26,-7.12,8.83,8.83,8.83
76.63,16.08,7.28,16.08,7.28,-7.28,-7.28,-7.07,8.79,8.79,8.79
77.40,16.05,7.29,16.05,7.29,-7.29,-7.30,-7.03,8.75,8.76,8.75
78.17,16.03,7.31,16.02,7.31,-7.30,-7.32,-6.99,8.72,8.72,8.72
78.95,16.00,7.32,15.99,7.32,-7.31,-7.33,-6.96,8.69,8.68,8.68
79.74,15.96,7.32,15.96,7.32,-7.32,-7.35,-6.93,8.64,8.65,8.64
80.54,15.93,7.33,15.93,7.33,-7.32,-7.37,-6.90,8.60,8.60,8.60
81.35,15.89,7.33,15.89,7.33,-7.33,-7.39,-6.87,8.56,8.55,8.56
82.16,15.85,7.34,15.85,7.34,-7.34,-7.40,-6.86,8.51,8.51,8.51
82.98,15.81,7.34,15.81,7.35,-7.36,-7.42,-6.84,8.45,8.45,8.46
83.81,15.78,7.36,15.78,7.36,-7.37,-7.43,-6.83,8.41,8.41,8.42
84.65,15.76,7.38,15.76,7.38,-7.39,-7.45,-6.83,8.37,8.37,8.38
85.50,15.74,7.41,15.74,7.41,-7.41,-7.46,-6.83,8.33,8.33,8.33
86.35,15.73,7.45,15.72,7.44,-7.43,-7.47,-6.83,8.30,8.29,8.28
87.22,15.70,7.47,15.70,7.46,-7.45,-7.49,-6.84,8.25,8.25,8.23
88.09,15.66,7.48,15.66,7.48,-7.46,-7.50,-6.85,8.19,8.19,8.18
88.97,15.62,7.49,15.62,7.48,-7.48,-7.51,-6.87,8.14,8.13,8.13
89.86,15.57,7.49,15.57,7.49,-7.50,-7.52,-6.90,8.07,8.07,8.08
90.76,15.53,7.50,15.53,7.50,-7.51,-7.54,-6.93,8.02,8.02,8.03
91.66,15.49,7.51,15.49,7.52,-7.53,-7.55,-6.96,7.96,7.96,7.97
92.58,15.46,7.54,15.46,7.54,-7.54,-7.56,-7.00,7.91,7.91,7.92
93.51,15.43,7.56,15.43,7.56,-7.56,-7.57,-7.05,7.87,7.87,7.87
94.44,15.40,7.58,15.40,7.59,-7.58,-7.58,-7.10,7.82,7.82,7.81
95.39,15.37,7.61,15.36,7.61,-7.60,-7.59,-7.15,7.77,7.77,7.76
96.34,15.33,7.62,15.33,7.62,-7.61,-7.61,-7.21,7.71,7.72,7.70
97.30,15.29,7.63,15.29,7.63,-7.63,-7.62,-7.27,7.66,7.66,7.66
98.28,15.25,7.64,15.24,7.64,-7.65,-7.63,-7.34,7.60,7.60,7.60
99.26,15.20,7.65,15.20,7.65,-7.66,-7.64,-7.41,7.53,7.54,7.55
100.25,15.17,7.68,15.17,7.67,-7.68,-7.66,-7.49,7.49,7.49,7.49
101.25,15.13,7.69,15.13,7.69,-7.69,-7.67,-7.56,7.43,7.44,7.44
102.27,15.10,7.72,15.10,7.71,-7.71,-7.68,-7.64,7.39,7.39,7.38
103.29,15.06,7.73,15.06,7.73,-7.73,-7.70,-7.73,7.33,7.33,7.32
104.32,15.02,7.74,15.02,7.75,-7.74,-7.71,-7.81,7.28,7.28,7.28
105.37,14.98,7.76,14.98,7.76,-7.76,-7.72,-7.90,7.22,7.22,7.22
106.42,14.94,7.77,14.94,7.77,-7.77,-7.74,-7.98,7.17,7.17,7.16
107.48,14.90,7.78,14.90,7.78,-7.78,-7.75,-8.07,7.12,7.11,7.12
