frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.85,3.97,7.85,3.97,-3.97,-3.89,-1.95,3.88,3.88,3.88
20.20,7.85,4.00,7.85,3.99,-3.99,-3.92,-2.00,3.86,3.86,3.85
20.40,7.85,4.02,7.85,4.02,-4.02,-3.94,-2.06,3.83,3.83,3.83
20.61,7.85,4.04,7.85,4.04,-4.04,-3.97,-2.12,3.81,3.81,3.81
20.81,7.85,4.06,7.85,4.06,-4.06,-3.99,-2.18,3.79,3.79,3.79
21.02,7.85,4.08,7.85,4.08,-4.08,-4.02,-2.24,3.77,3.77,3.77
21.23,7.85,4.10,7.85,4.10,-4.10,-4.04,-2.31,3.75,3.75,3.75
21.44,7.85,4.12,7.85,4.12,-4.12,-4.06,-2.37,3.73,3.73,3.73
21.66,7.85,4.14,7.85,4.14,-4.13,-4.08,-2.44,3.71,3.71,3.71
21.87,7.85,4.15,7.85,4.15,-4.15,-4.11,-2.51,3.70,3.70,3.70
22.09,7.85,4.17,7.85,4.17,-4.17,-4.13,-2.58,3.68,3.68,3.68
22.31,7.85,4.18,7.85,4.18,-4.18,-4.15,-2.65,3.67,3.67,3.67
22.54,7.85,4.19,7.85,4.19,-4.19,-4.17,-2.73,3.66,3.66,3.66
22.76,7.85,4.20,7.85,4.20,-4.20,-4.19,-2.80,3.65,3.65,3.65
22.99,7.85,4.21,7.85,4.21,-4.21,-4.20,-2.88,3.64,3.64,3.64
23.22,7.85,4.22,7.85,4.22,-4.22,-4.22,-2.96,3.63,3.63,3.63
23.45,7.85,4.23,7.85,4.23,-4.23,-4.24,-3.04,3.62,3.62,3.62
23.69,7.85,4.24,7.85,4.24,-4.24,-4.26,-3.13,3.61,3.61,3.61
23.92,7.85,4.24,7.85,4.25,-4.25,-4.27,-3.21,3.60,3.60,3.61
24.16,7.85,4.25,7.85,4.25,-4.25,-4.29,-3.30,3.60,3.60,3.60
24.40,7.85,4.26,7.85,4.26,-4.26,-4.30,-3.38,3.59,3.59,3.59
24.65,7.85,4.27,7.85,4.26,-4.27,-4.31,-3.47,3.58,3.58,3.58
24.89,7.85,4.27,7.85,4.27,-4.27,-4.33,-3.56,3.58,3.58,3.58
25.14,7.85,4.28,7.85,4.28,-4.28,-4.34,-3.65,3.57,3.57,3.57
25.39,7.85,4.29,7.85,4.28,-4.28,-4.35,-3.75,3.57,3.57,3.56
25.65,7.85,4.29,7.85,4.29,-4.29,-4.36,-3.84,3.56,3.56,3.56
25.91,7.85,4.30,7.85,4.30,-4.30,-4.37,-3.93,3.55,3.55,3.55
26.16,7.85,4.30,7.85,4.30,-4.30,-4.38,-4.02,3.55,3.55,3.55
26.43,7.85,4.30,7.85,4.30,-4.31,-4.39,-4.11,3.54,3.54,3.55
26.69,7.85,4.31,7.85,4.31,-4.31,-4.40,-4.20,3.54,3.54,3.54
26.96,7.85,4.31,7.85,4.32,-4.32,-4.41,-4.29,3.53,3.53,3.54
27.23,7.85,4.32,7.85,4.32,-4.32,-4.42,-4.38,3.53,3.53,3.52
27.50,7.85,4.33,7.85,4.33,-4.33,-4.42,-4.46,3.52,3.52,3.52
27.77,7.85,4.33,7.85,4.33,-4.33,-4.43,-4.54,3.52,3.52,3.52
28.05,7.85,4.34,7.85,4.33,-4.34,-4.43,-4.62,3.51,3.51,3.51
28.33,7.85,4.34,7.85,4.34,-4.34,-4.44,-4.70,3.51,3.51,3.51
28.62,7.85,4.34,7.85,4.34,-4.34,-4.44,-4.77,3.51,3.51,3.51
28.90,7.85,4.35,7.85,4.35,-4.35,-4.45,-4.84,3.50,3.50,3.50
29.19,7.85,4.35,7.85,4.35,-4.35,-4.45,-4.90,3.50,3.50,3.50
29.48,7.85,4.35,7.85,4.35,-4.36,-4.45,-4.96,3.49,3.49,3.49
29.78,7.85,4.36,7.85,4.36,-4.36,-4.46,-5.01,3.49,3.49,3.49
30.08,7.85,4.36,7.85,4.36,-4.36,-4.46,-5.05,3.49,3.49,3.49
30.38,7.85,4.37,7.85,4.37,-4.37,-4.46,-5.09,3.48,3.48,3.48
30.68,7.85,4.37,7.85,4.37,-4.37,-4.46,-5.13,3.48,3.48,3.48
30.99,7.85,4.37,7.85,4.37,-4.37,-4.46,-5.15,3.48,3.48,3.48
31.30,7.85,4.38,7.85,4.38,-4.38,-4.46,-5.17,3.47,3.47,3.47
31.61,7.85,4.39,7.85,4.38,-4.38,-4.46,-5.18,3.47,3.47,3.46
31.93,7.85,4.39,7.85,4.39,-4.39,-4.46,-5.19,3.46,3.46,3.46
32.24,7.85,4.39,7.85,4.40,-4.39,-4.46,-5.19,3.46,3.46,3.46
32.57,7.85,4.40,7.85,4.40,-4.40,-4.46,-5.18,3.45,3.45,3.45
32.89,7.85,4.41,7.85,4.41,-4.41,-4.46,-5.17,3.44,3.44,3.44
33.22,7.85,4.41,7.85,4.42,-4.42,-4.45,-5.16,3.43,3.43,3.44
33.55,7.86,4.43,7.86,4.43,-4.43,-4.45,-5.13,3.43,3.43,3.43
33.89,7.87,4.44,7.87,4.44,-4.44,-4.45,-5.10,3.43,3.43,3.43
34.23,7.87,4.45,7.87,4.45,-4.45,-4.45,-5.07,3.42,3.42,3.42
34.57,7.88,4.47,7.88,4.46,-4.46,-4.45,-5.04,3.42,3.42,3.41
34.92,7.88,4.47,7.88,4.47,-4.47,-4.44,-5.00,3.41,3.41,3.41
35.27,7.88,4.47,7.88,4.48,-4.47,-4.44,-4.96,3.41,3.40,3.40
35.62,7.87,4.48,7.87,4.48,-4.48,-4.44,-4.91,3.39,3.40,3.39
35.97,7.87,4.48,7.87,4.48,-4.48,-4.43,-4.87,3.39,3.39,3.39
36.33,7.87,4.48,7.87,4.48,-4.48,-4.43,-4.82,3.39,3.38,3.38
36.70,7.86,4.48,7.86,4.48,-4.49,-4.43,-4.77,3.37,3.38,3.38
37.06,7.86,4.48,7.86,4.49,-4.49,-4.42,-4.72,3.37,3.37,3.38
37.43,7.86,4.50,7.86,4.49,-4.49,-4.42,-4.67,3.37,3.37,3.36
37.81,7.85,4.49,7.85,4.49,-4.49,-4.42,-4.62,3.36,3.36,3.36
38.19,7.85,4.49,7.85,4.49,-4.49,-4.41,-4.58,3.36,3.35,3.36
38.57,7.84,4.50,7.84,4.49,-4.50,-4.41,-4.53,3.34,3.34,3.34
38.95,7.83,4.49,7.83,4.50,-4.50,-4.41,-4.48,3.33,3.33,3.34
39.34,7.82,4.50,7.82,4.50,-4.49,-4.40,-4.44,3.32,3.33,3.32
39.74,7.81,4.49,7.81,4.49,-4.49,-4.40,-4.40,3.32,3.32,3.32
40.14,7.80,4.50,7.80,4.49,-4.49,-4.40,-4.36,3.31,3.31,3.30
40.54,7.78,4.48,7.78,4.49,-4.49,-4.40,-4.32,3.29,3.30,3.30
40.94,7.77,4.48,7.77,4.48,-4.48,-4.39,-4.29,3.29,3.29,3.29
41.35,7.76,4.47,7.76,4.47,-4.47,-4.39,-4.25,3.29,3.29,3.29
41.76,7.75,4.47,7.75,4.47,-4.46,-4.39,-4.22,3.28,3.28,3.28
42.18,7.73,4.46,7.73,4.46,-4.46,-4.39,-4.20,3.27,3.28,3.27
42.60,7.72,4.45,7.72,4.45,-4.45,-4.38,-4.17,3.27,3.27,3.27
43.03,7.70,4.43,7.70,4.43,-4.44,-4.38,-4.15,3.26,3.27,3.27
43.46,7.69,4.42,7.69,4.42,-4.42,-4.38,-4.13,3.26,3.26,3.26
43.90,7.67,4.41,7.67,4.41,-4.41,-4.38,-4.12,3.25,3.26,3.26
44.33,7.66,4.41,7.66,4.41,-4.41,-4.38,-4.11,3.25,3.25,3.25
44.78,7.64,4.40,7.64,4.40,-4.40,-4.38,-4.10,3.24,3.24,3.24
45.23,7.62,4.38,7.62,4.39,-4.39,-4.38,-4.09,3.23,3.24,3.23
45.68,7.61,4.38,7.61,4.38,-4.38,-4.38,-4.09,3.23,3.23,3.23
46.13,7.60,4.38,7.60,4.38,-4.38,-4.38,-4.09,3.22,3.22,3.22
46.60,7.58,4.37,7.58,4.37,-4.37,-4.38,-4.09,3.21,3.21,3.21
47.06,7.57,4.37,7.57,4.37,-4.37,-4.38,-4.10,3.20,3.19,3.20
47.53,7.55,4.37,7.55,4.37,-4.37,-4.38,-4.11,3.18,3.18,3.18
48.01,7.54,4.37,7.54,4.37,-4.37,-4.38,-4.12,3.17,3.17,3.17
48.49,7.54,4.38,7.54,4.38,-4.38,-4.39,-4.13,3.16,3.16,3.16
48.97,7.53,4.38,7.53,4.38,-4.38,-4.39,-4.15,3.15,3.15,3.15
