frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.91,-6.05,-1.91,-6.04,6.03,5.50,2.28,4.12,4.12,4.13
20.20,-1.86,-5.96,-1.86,-5.97,5.96,5.51,2.34,4.09,4.09,4.10
20.40,-1.82,-5.90,-1.82,-5.90,5.89,5.52,2.41,4.07,4.07,4.08
20.61,-1.77,-5.84,-1.78,-5.84,5.83,5.53,2.48,4.05,4.05,4.06
20.81,-1.73,-5.77,-1.74,-5.78,5.77,5.54,2.55,4.03,4.03,4.04
21.02,-1.70,-5.72,-1.70,-5.72,5.71,5.54,2.63,4.01,4.02,4.02
21.23,-1.66,-5.66,-1.67,-5.66,5.66,5.55,2.70,4.00,4.00,4.00
21.44,-1.63,-5.61,-1.63,-5.62,5.62,5.55,2.78,3.98,3.98,3.98
21.66,-1.61,-5.57,-1.61,-5.57,5.57,5.55,2.86,3.96,3.96,3.96
21.87,-1.58,-5.53,-1.59,-5.53,5.53,5.56,2.94,3.95,3.94,3.95
22.09,-1.57,-5.50,-1.57,-5.50,5.50,5.56,3.03,3.93,3.93,3.93
22.31,-1.55,-5.47,-1.55,-5.47,5.48,5.55,3.12,3.93,3.93,3.92
22.54,-1.54,-5.45,-1.55,-5.45,5.46,5.55,3.21,3.92,3.92,3.91
22.76,-1.54,-5.44,-1.55,-5.44,5.45,5.55,3.30,3.91,3.91,3.90
22.99,-1.55,-5.44,-1.56,-5.44,5.45,5.54,3.39,3.89,3.89,3.89
23.22,-1.57,-5.45,-1.57,-5.45,5.44,5.54,3.49,3.87,3.87,3.88
23.45,-1.58,-5.45,-1.58,-5.45,5.43,5.53,3.59,3.85,3.85,3.87
23.69,-1.58,-5.44,-1.58,-5.44,5.43,5.52,3.69,3.84,3.85,3.85
23.92,-1.56,-5.42,-1.57,-5.42,5.41,5.51,3.79,3.85,3.84,3.85
24.16,-1.55,-5.40,-1.55,-5.40,5.39,5.50,3.90,3.84,3.84,3.84
24.40,-1.53,-5.38,-1.53,-5.37,5.37,5.49,4.00,3.83,3.84,3.84
24.65,-1.50,-5.34,-1.50,-5.34,5.34,5.48,4.11,3.83,3.83,3.83
24.89,-1.47,-5.30,-1.47,-5.30,5.30,5.47,4.22,3.83,3.83,3.83
25.14,-1.44,-5.26,-1.44,-5.26,5.27,5.45,4.33,3.82,3.82,3.82
25.39,-1.41,-5.22,-1.41,-5.23,5.23,5.44,4.44,3.82,3.82,3.81
25.65,-1.38,-5.19,-1.38,-5.19,5.19,5.42,4.55,3.81,3.81,3.81
25.91,-1.35,-5.15,-1.35,-5.15,5.15,5.41,4.67,3.80,3.80,3.80
26.16,-1.32,-5.12,-1.32,-5.12,5.12,5.39,4.78,3.80,3.80,3.80
26.43,-1.29,-5.09,-1.30,-5.09,5.09,5.37,4.89,3.79,3.79,3.80
26.69,-1.27,-5.06,-1.27,-5.06,5.06,5.35,5.00,3.79,3.79,3.79
26.96,-1.25,-5.04,-1.25,-5.03,5.03,5.33,5.11,3.78,3.78,3.78
27.23,-1.23,-5.01,-1.24,-5.01,5.02,5.31,5.22,3.78,3.78,3.77
27.50,-1.22,-4.99,-1.22,-4.99,5.00,5.29,5.32,3.78,3.78,3.77
27.77,-1.21,-4.98,-1.21,-4.98,4.99,5.27,5.42,3.78,3.77,3.77
28.05,-1.21,-4.97,-1.22,-4.98,4.98,5.25,5.52,3.77,3.77,3.76
28.33,-1.22,-4.98,-1.22,-4.98,4.98,5.23,5.62,3.76,3.76,3.76
28.62,-1.23,-4.99,-1.23,-4.98,4.98,5.20,5.70,3.74,3.75,3.76
28.90,-1.23,-4.98,-1.23,-4.98,4.98,5.18,5.79,3.74,3.74,3.75
29.19,-1.23,-4.98,-1.23,-4.98,4.98,5.16,5.86,3.74,3.74,3.74
29.48,-1.23,-4.98,-1.23,-4.98,4.97,5.13,5.93,3.74,3.74,3.74
29.78,-1.23,-4.97,-1.23,-4.97,4.97,5.11,6.00,3.74,3.74,3.74
30.08,-1.23,-4.97,-1.23,-4.97,4.97,5.08,6.05,3.74,3.74,3.74
30.38,-1.23,-4.96,-1.23,-4.96,4.97,5.06,6.10,3.73,3.73,3.73
30.68,-1.23,-4.96,-1.23,-4.96,4.96,5.04,6.14,3.73,3.73,3.73
30.99,-1.23,-4.96,-1.23,-4.96,4.96,5.01,6.16,3.72,3.72,3.72
31.30,-1.23,-4.96,-1.23,-4.95,4.95,4.99,6.18,3.72,3.72,3.72
31.61,-1.23,-4.94,-1.23,-4.95,4.95,4.96,6.20,3.71,3.71,3.71
31.93,-1.23,-4.94,-1.23,-4.94,4.94,4.94,6.20,3.71,3.71,3.71
32.24,-1.23,-4.94,-1.23,-4.94,4.94,4.91,6.19,3.70,3.70,3.71
32.57,-1.23,-4.93,-1.23,-4.93,4.93,4.89,6.18,3.70,3.70,3.69
32.89,-1.23,-4.92,-1.23,-4.92,4.93,4.86,6.16,3.69,3.69,3.69
33.22,-1.23,-4.92,-1.23,-4.92,4.92,4.84,6.13,3.69,3.69,3.69
33.55,-1.23,-4.91,-1.23,-4.91,4.91,4.82,6.09,3.68,3.68,3.68
33.89,-1.23,-4.91,-1.23,-4.91,4.91,4.79,6.05,3.67,3.67,3.67
34.23,-1.23,-4.90,-1.23,-4.90,4.90,4.77,6.00,3.67,3.67,3.67
34.57,-1.23,-4.89,-1.23,-4.90,4.89,4.75,5.95,3.66,3.66,3.66
34.92,-1.23,-4.89,-1.23,-4.89,4.89,4.72,5.89,3.66,3.66,3.66
35.27,-1.23,-4.89,-1.23,-4.88,4.88,4.70,5.83,3.65,3.65,3.65
35.62,-1.23,-4.87,-1.23,-4.88,4.88,4.68,5.76,3.64,3.64,3.64
35.97,-1.23,-4.87,-1.23,-4.87,4.87,4.66,5.70,3.64,3.64,3.64
36.33,-1.23,-4.87,-1.23,-4.87,4.87,4.64,5.63,3.63,3.63,3.63
36.70,-1.23,-4.86,-1.23,-4.86,4.86,4.62,5.56,3.63,3.63,3.63
