frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.25,-9.75,-5.25,-9.75,6.00,6.31,2.36,0.75,0.75,4.50
20.20,-5.15,-9.62,-5.15,-9.62,6.00,6.27,2.43,0.85,0.85,4.47
20.40,-5.05,-9.50,-5.05,-9.50,6.00,6.24,2.50,0.95,0.95,4.44
20.61,-4.96,-9.38,-4.95,-9.38,6.00,6.20,2.58,1.04,1.05,4.43
20.81,-4.85,-9.26,-4.85,-9.26,6.00,6.17,2.65,1.15,1.15,4.40
21.02,-4.75,-9.14,-4.75,-9.14,6.00,6.13,2.73,1.25,1.25,4.38
21.23,-4.65,-9.02,-4.65,-9.02,6.00,6.10,2.81,1.35,1.35,4.36
21.44,-4.55,-8.90,-4.55,-8.90,6.00,6.07,2.89,1.45,1.45,4.34
21.66,-4.46,-8.78,-4.45,-8.78,6.00,6.03,2.97,1.54,1.55,4.32
21.87,-4.35,-8.66,-4.35,-8.66,6.00,6.00,3.06,1.65,1.65,4.31
22.09,-4.25,-8.54,-4.25,-8.55,6.00,5.97,3.15,1.75,1.75,4.29
22.31,-4.15,-8.43,-4.15,-8.43,6.00,5.94,3.24,1.85,1.85,4.28
22.54,-4.06,-8.33,-4.05,-8.32,6.00,5.91,3.33,1.94,1.95,4.27
22.76,-3.95,-8.21,-3.95,-8.21,6.00,5.89,3.43,2.05,2.05,4.26
22.99,-3.85,-8.10,-3.85,-8.10,6.00,5.86,3.53,2.15,2.15,4.25
23.22,-3.75,-7.99,-3.75,-7.99,6.00,5.84,3.63,2.25,2.25,4.24
23.45,-3.65,-7.88,-3.65,-7.88,6.00,5.82,3.73,2.35,2.35,4.23
23.69,-3.56,-7.77,-3.55,-7.77,6.00,5.80,3.84,2.44,2.45,4.22
23.92,-3.45,-7.67,-3.45,-7.67,6.00,5.78,3.95,2.55,2.55,4.22
24.16,-3.35,-7.56,-3.36,-7.56,6.00,5.77,4.06,2.65,2.64,4.20
24.40,-3.26,-7.47,-3.26,-7.46,6.00,5.76,4.17,2.74,2.74,4.20
24.65,-3.17,-7.36,-3.16,-7.36,6.00,5.76,4.28,2.83,2.84,4.19
24.89,-3.06,-7.25,-3.06,-7.25,6.00,5.77,4.39,2.94,2.94,4.19
25.14,-2.96,-7.14,-2.97,-7.15,6.00,5.78,4.51,3.04,3.03,4.18
25.39,-2.87,-7.04,-2.87,-7.04,6.00,5.79,4.63,3.13,3.13,4.17
25.65,-2.78,-6.94,-2.78,-6.94,6.00,5.82,4.74,3.22,3.22,4.17
25.91,-2.69,-6.84,-2.68,-6.84,6.00,5.85,4.86,3.31,3.32,4.16
