frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.88,-2.24,3.89,-2.24,2.24,1.92,0.69,6.12,6.12,6.13
20.20,3.94,-2.15,3.94,-2.16,2.16,1.92,0.71,6.11,6.10,6.10
20.40,3.98,-2.09,3.99,-2.09,2.09,1.92,0.73,6.07,6.08,6.08
20.61,4.03,-2.02,4.03,-2.02,2.02,1.92,0.75,6.06,6.06,6.06
20.81,4.07,-1.96,4.07,-1.96,1.96,1.92,0.77,6.03,6.03,6.04
21.02,4.11,-1.90,4.11,-1.90,1.90,1.92,0.79,6.02,6.01,6.02
21.23,4.14,-1.85,4.14,-1.85,1.85,1.91,0.81,5.99,5.99,5.99
21.44,4.17,-1.80,4.18,-1.80,1.80,1.91,0.84,5.97,5.97,5.97
21.66,4.20,-1.75,4.20,-1.75,1.75,1.90,0.86,5.95,5.96,5.95
21.87,4.23,-1.71,4.23,-1.71,1.71,1.90,0.89,5.94,5.94,5.94
22.09,4.25,-1.67,4.25,-1.67,1.67,1.89,0.91,5.93,5.93,5.92
22.31,4.27,-1.64,4.27,-1.64,1.64,1.88,0.94,5.91,5.91,5.91
22.54,4.28,-1.62,4.29,-1.61,1.61,1.87,0.96,5.90,5.90,5.90
22.76,4.30,-1.59,4.30,-1.59,1.59,1.86,0.99,5.90,5.89,5.89
22.99,4.30,-1.58,4.31,-1.57,1.58,1.85,1.02,5.88,5.89,5.88
23.22,4.31,-1.56,4.31,-1.56,1.57,1.84,1.05,5.88,5.88,5.87
23.45,4.30,-1.56,4.30,-1.56,1.56,1.83,1.08,5.86,5.86,5.86
23.69,4.29,-1.56,4.30,-1.56,1.56,1.81,1.11,5.85,5.85,5.85
23.92,4.28,-1.56,4.29,-1.56,1.55,1.80,1.14,5.84,5.84,5.85
24.16,4.28,-1.55,4.28,-1.56,1.55,1.78,1.17,5.83,5.83,5.84
24.40,4.28,-1.55,4.28,-1.55,1.55,1.77,1.20,5.83,5.83,5.84
24.65,4.28,-1.54,4.28,-1.55,1.54,1.75,1.23,5.83,5.83,5.83
24.89,4.28,-1.54,4.28,-1.54,1.54,1.74,1.26,5.82,5.82,5.83
25.14,4.28,-1.53,4.28,-1.53,1.53,1.72,1.30,5.82,5.82,5.82
25.39,4.28,-1.52,4.28,-1.52,1.53,1.71,1.33,5.81,5.81,5.80
25.65,4.28,-1.52,4.28,-1.52,1.52,1.69,1.36,5.80,5.80,5.80
25.91,4.28,-1.51,4.28,-1.51,1.51,1.67,1.39,5.80,5.80,5.79
26.16,4.28,-1.51,4.28,-1.51,1.51,1.66,1.43,5.79,5.79,5.79
26.43,4.28,-1.51,4.28,-1.50,1.50,1.64,1.46,5.79,5.79,5.79
26.69,4.28,-1.50,4.28,-1.50,1.50,1.63,1.49,5.78,5.78,5.78
26.96,4.28,-1.50,4.28,-1.49,1.49,1.61,1.52,5.78,5.78,5.78
27.23,4.28,-1.48,4.28,-1.49,1.49,1.59,1.55,5.77,5.77,5.77
27.50,4.28,-1.48,4.28,-1.48,1.48,1.58,1.58,5.77,5.77,5.77
27.77,4.28,-1.48,4.28,-1.48,1.48,1.56,1.61,5.76,5.76,5.77
28.05,4.28,-1.47,4.28,-1.47,1.47,1.55,1.63,5.76,5.76,5.75
28.33,4.28,-1.47,4.28,-1.47,1.47,1.53,1.66,5.75,5.75,5.75
28.62,4.28,-1.47,4.28,-1.46,1.46,1.52,1.68,5.75,5.75,5.75
28.90,4.28,-1.46,4.28,-1.46,1.46,1.50,1.71,5.74,5.74,5.74
29.19,4.28,-1.46,4.28,-1.46,1.46,1.49,1.73,5.74,5.74,5.74
29.48,4.28,-1.45,4.28,-1.45,1.45,1.48,1.75,5.74,5.74,5.74
29.78,4.28,-1.45,4.28,-1.45,1.45,1.46,1.76,5.73,5.73,5.74
30.08,4.28,-1.45,4.28,-1.45,1.45,1.45,1.78,5.73,5.73,5.73
30.38,4.28,-1.44,4.28,-1.44,1.44,1.44,1.79,5.73,5.73,5.72
30.68,4.28,-1.44,4.28,-1.44,1.44,1.43,1.80,5.72,5.72,5.72
30.99,4.28,-1.44,4.28,-1.43,1.43,1.42,1.81,5.72,5.72,5.72
31.30,4.28,-1.43,4.28,-1.43,1.43,1.41,1.81,5.71,5.71,5.72
31.61,4.28,-1.42,4.28,-1.43,1.42,1.40,1.81,5.71,5.71,5.71
31.93,4.28,-1.42,4.28,-1.42,1.42,1.39,1.81,5.70,5.70,5.70
32.24,4.28,-1.42,4.28,-1.41,1.41,1.38,1.81,5.70,5.70,5.70
32.57,4.28,-1.41,4.28,-1.41,1.41,1.37,1.81,5.69,5.69,5.69
32.89,4.28,-1.40,4.28,-1.40,1.40,1.37,1.80,5.69,5.69,5.69
