frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.53,-0.62,7.53,-0.63,0.62,0.03,-0.26,8.16,8.15,8.15
20.20,7.56,-0.59,7.56,-0.59,0.59,0.03,-0.27,8.15,8.15,8.15
20.40,7.59,-0.55,7.60,-0.55,0.55,0.03,-0.28,8.14,8.15,8.14
20.61,7.63,-0.51,7.63,-0.51,0.52,0.03,-0.28,8.15,8.14,8.14
20.81,7.66,-0.47,7.66,-0.48,0.48,0.03,-0.29,8.14,8.14,8.13
21.02,7.69,-0.44,7.69,-0.44,0.44,0.03,-0.30,8.14,8.13,8.13
21.23,7.71,-0.41,7.71,-0.41,0.41,0.04,-0.31,8.12,8.12,8.12
21.44,7.74,-0.38,7.74,-0.38,0.37,0.04,-0.32,8.11,8.11,8.12
21.66,7.77,-0.34,7.77,-0.34,0.34,0.04,-0.32,8.11,8.11,8.11
21.87,7.80,-0.31,7.80,-0.30,0.30,0.04,-0.33,8.10,8.11,8.11
22.09,7.84,-0.26,7.84,-0.27,0.27,0.04,-0.34,8.11,8.11,8.10
22.31,7.87,-0.23,7.87,-0.23,0.23,0.04,-0.35,8.11,8.11,8.10
22.54,7.90,-0.20,7.90,-0.20,0.20,0.04,-0.36,8.10,8.10,8.10
22.76,7.93,-0.16,7.93,-0.16,0.16,0.04,-0.37,8.09,8.09,8.09
22.99,7.95,-0.14,7.95,-0.13,0.13,0.04,-0.38,8.08,8.08,8.09
23.22,7.98,-0.10,7.98,-0.10,0.10,0.04,-0.39,8.08,8.08,8.08
23.45,8.01,-0.07,8.01,-0.07,0.07,0.04,-0.40,8.08,8.08,8.08
23.69,8.04,-0.04,8.04,-0.03,0.03,0.04,-0.41,8.07,8.08,8.08
23.92,8.07,0.00,8.07,0.00,0.00,0.05,-0.42,8.08,8.07,8.07
24.16,8.10,0.04,8.09,0.03,-0.03,0.05,-0.44,8.07,8.07,8.07
24.40,8.11,0.05,8.12,0.05,-0.06,0.05,-0.45,8.06,8.06,8.07
24.65,8.14,0.08,8.14,0.08,-0.08,0.05,-0.46,8.06,8.06,8.06
24.89,8.17,0.12,8.17,0.11,-0.11,0.05,-0.47,8.06,8.06,8.05
25.14,8.19,0.14,8.19,0.14,-0.14,0.05,-0.48,8.05,8.06,8.05
25.39,8.22,0.17,8.22,0.17,-0.17,0.05,-0.49,8.06,8.05,8.05
25.65,8.24,0.19,8.24,0.19,-0.19,0.05,-0.50,8.05,8.05,8.05
25.91,8.27,0.22,8.27,0.22,-0.22,0.05,-0.51,8.05,8.05,8.05
26.16,8.29,0.24,8.29,0.24,-0.25,0.06,-0.52,8.04,8.05,8.05
26.43,8.32,0.27,8.32,0.27,-0.27,0.06,-0.53,8.05,8.05,8.05
26.69,8.34,0.30,8.34,0.30,-0.30,0.06,-0.54,8.04,8.04,8.04
26.96,8.36,0.32,8.36,0.32,-0.32,0.06,-0.55,8.04,8.04,8.04
27.23,8.38,0.35,8.38,0.35,-0.35,0.06,-0.56,8.03,8.03,8.04
27.50,8.40,0.37,8.40,0.37,-0.37,0.06,-0.57,8.03,8.03,8.03
27.77,8.42,0.39,8.42,0.39,-0.39,0.06,-0.58,8.03,8.03,8.03
28.05,8.44,0.42,8.44,0.41,-0.41,0.07,-0.59,8.03,8.03,8.02
28.33,8.45,0.43,8.45,0.43,-0.43,0.07,-0.59,8.02,8.02,8.02
28.62,8.47,0.45,8.47,0.45,-0.45,0.07,-0.60,8.02,8.02,8.02
28.90,8.48,0.47,8.48,0.47,-0.47,0.07,-0.60,8.01,8.01,8.01
29.19,8.49,0.48,8.49,0.49,-0.49,0.07,-0.60,8.00,8.00,8.01
29.48,8.50,0.50,8.51,0.50,-0.50,0.07,-0.61,8.00,8.00,8.01
29.78,8.52,0.53,8.52,0.52,-0.52,0.08,-0.61,8.00,8.00,7.99
30.08,8.53,0.54,8.53,0.54,-0.53,0.08,-0.61,8.00,8.00,7.99
30.38,8.53,0.54,8.53,0.55,-0.54,0.08,-0.60,7.99,7.99,7.99
30.68,8.54,0.55,8.54,0.55,-0.55,0.08,-0.60,7.99,7.99,7.99
30.99,8.54,0.55,8.54,0.56,-0.56,0.08,-0.60,7.98,7.99,7.99
31.30,8.55,0.57,8.55,0.56,-0.56,0.09,-0.59,7.99,7.99,7.98
31.61,8.55,0.56,8.55,0.56,-0.56,0.09,-0.58,7.99,7.99,7.99
31.93,8.55,0.56,8.55,0.56,-0.57,0.09,-0.57,7.98,7.99,7.99
32.24,8.56,0.57,8.56,0.57,-0.57,0.09,-0.56,7.99,7.99,7.99
32.57,8.56,0.57,8.56,0.57,-0.57,0.09,-0.55,7.99,7.99,7.99
32.89,8.56,0.58,8.56,0.58,-0.58,0.10,-0.54,7.99,7.99,7.98
33.22,8.56,0.58,8.56,0.58,-0.58,0.10,-0.53,7.98,7.98,7.98
33.55,8.55,0.57,8.56,0.58,-0.58,0.10,-0.51,7.97,7.98,7.98
33.89,8.55,0.57,8.55,0.57,-0.57,0.10,-0.49,7.98,7.97,7.98
34.23,8.54,0.58,8.54,0.57,-0.57,0.11,-0.48,7.97,7.97,7.96
34.57,8.52,0.56,8.52,0.56,-0.56,0.11,-0.46,7.96,7.96,7.96
34.92,8.50,0.55,8.50,0.56,-0.55,0.11,-0.44,7.95,7.95,7.95
35.27,8.48,0.55,8.48,0.54,-0.54,0.11,-0.42,7.94,7.94,7.94
35.62,8.45,0.53,8.45,0.52,-0.52,0.12,-0.40,7.93,7.93,7.92
35.97,8.42,0.50,8.42,0.51,-0.51,0.12,-0.37,7.91,7.91,7.92
36.33,8.39,0.49,8.39,0.49,-0.50,0.12,-0.35,7.89,7.89,7.91
36.70,8.37,0.49,8.37,0.48,-0.49,0.13,-0.33,7.88,7.88,7.88
37.06,8.35,0.48,8.35,0.48,-0.48,0.13,-0.30,7.87,7.87,7.87
37.43,8.33,0.48,8.33,0.48,-0.48,0.13,-0.28,7.85,7.86,7.85
37.81,8.32,0.48,8.32,0.48,-0.48,0.14,-0.25,7.85,7.84,7.84
38.19,8.30,0.47,8.30,0.47,-0.47,0.14,-0.23,7.83,7.83,7.83
38.57,8.29,0.47,8.29,0.47,-0.47,0.14,-0.20,7.82,7.82,7.82
38.95,8.28,0.47,8.28,0.47,-0.47,0.15,-0.18,7.81,7.81,7.81
39.34,8.27,0.48,8.27,0.48,-0.47,0.15,-0.15,7.80,7.80,7.79
39.74,8.26,0.47,8.26,0.47,-0.47,0.15,-0.13,7.79,7.79,7.79
40.14,8.25,0.48,8.25,0.47,-0.47,0.16,-0.10,7.78,7.78,7.77
40.54,8.22,0.45,8.23,0.46,-0.46,0.16,-0.07,7.76,7.77,7.77
40.94,8.22,0.46,8.22,0.45,-0.46,0.17,-0.05,7.76,7.76,7.76
41.35,8.20,0.44,8.20,0.45,-0.45,0.17,-0.02,7.75,7.76,7.76
41.76,8.19,0.44,8.19,0.44,-0.44,0.18,0.01,7.75,7.75,7.75
42.18,8.17,0.43,8.17,0.42,-0.42,0.18,0.04,7.75,7.74,7.74
42.60,8.14,0.40,8.15,0.41,-0.41,0.19,0.06,7.73,7.74,7.74
43.03,8.12,0.39,8.12,0.39,-0.39,0.19,0.09,7.73,7.73,7.73
43.46,8.10,0.38,8.10,0.37,-0.37,0.20,0.12,7.73,7.73,7.73
43.90,8.07,0.35,8.07,0.35,-0.34,0.20,0.15,7.73,7.73,7.72
44.33,8.03,0.31,8.03,0.31,-0.31,0.21,0.17,7.72,7.72,7.72
44.78,7.98,0.27,7.99,0.27,-0.27,0.21,0.20,7.71,7.71,7.71
45.23,7.94,0.24,7.94,0.23,-0.24,0.22,0.23,7.70,7.71,7.71
45.68,7.90,0.19,7.90,0.19,-0.20,0.23,0.26,7.70,7.70,7.71
46.13,7.85,0.15,7.85,0.15,-0.15,0.23,0.29,7.70,7.70,7.70
46.60,7.80,0.11,7.80,0.11,-0.11,0.24,0.32,7.69,7.69,7.69
47.06,7.75,0.07,7.75,0.07,-0.07,0.25,0.35,7.68,7.68,7.68
47.53,7.70,0.03,7.70,0.03,-0.03,0.25,0.37,7.67,7.67,7.67
48.01,7.64,-0.02,7.64,-0.02,0.02,0.26,0.40,7.66,7.66,7.66
48.49,7.58,-0.06,7.58,-0.06,0.06,0.27,0.43,7.64,7.65,7.64
48.97,7.53,-0.10,7.53,-0.10,0.10,0.28,0.46,7.63,7.63,7.63
49.46,7.47,-0.15,7.47,-0.15,0.15,0.29,0.49,7.62,7.62,7.62
49.96,7.41,-0.19,7.41,-0.19,0.19,0.29,0.52,7.60,7.60,7.60
50.46,7.35,-0.24,7.35,-0.23,0.23,0.30,0.55,7.58,7.58,7.59
50.96,7.29,-0.27,7.29,-0.27,0.27,0.31,0.58,7.56,7.56,7.56
51.47,7.24,-0.31,7.24,-0.31,0.31,0.32,0.60,7.55,7.55,7.55
51.99,7.18,-0.35,7.18,-0.35,0.35,0.33,0.63,7.53,7.53,7.53
52.51,7.13,-0.38,7.13,-0.39,0.39,0.34,0.66,7.52,7.52,7.51
53.03,7.07,-0.43,7.07,-0.42,0.43,0.35,0.69,7.50,7.50,7.50
53.56,7.01,-0.47,7.01,-0.47,0.47,0.36,0.72,7.48,7.48,7.48
54.10,6.96,-0.50,6.95,-0.51,0.51,0.37,0.74,7.47,7.47,7.46
54.64,6.89,-0.55,6.90,-0.55,0.56,0.39,0.77,7.45,7.45,7.45
55.18,6.84,-0.59,6.84,-0.59,0.60,0.40,0.79,7.44,7.43,7.43
55.74,6.78,-0.64,6.78,-0.64,0.63,0.41,0.82,7.42,7.41,7.42
56.29,6.72,-0.69,6.72,-0.68,0.67,0.43,0.84,7.39,7.39,7.41
56.86,6.67,-0.72,6.67,-0.72,0.70,0.44,0.87,7.37,7.38,7.39
57.42,6.63,-0.74,6.63,-0.74,0.73,0.45,0.89,7.36,7.36,7.37
58.00,6.60,-0.75,6.60,-0.75,0.76,0.47,0.91,7.36,7.35,7.35
58.58,6.56,-0.77,6.56,-0.77,0.78,0.48,0.93,7.34,7.34,7.33
59.16,6.51,-0.80,6.51,-0.80,0.81,0.50,0.95,7.32,7.32,7.31
59.76,6.46,-0.83,6.46,-0.83,0.83,0.52,0.97,7.29,7.30,7.29
60.35,6.41,-0.86,6.41,-0.85,0.86,0.53,0.98,7.27,7.27,7.27
60.96,6.36,-0.88,6.35,-0.89,0.89,0.55,1.00,7.25,7.25,7.24
61.57,6.29,-0.92,6.29,-0.92,0.92,0.57,1.01,7.22,7.22,7.21
62.18,6.22,-0.97,6.22,-0.96,0.96,0.59,1.02,7.18,7.18,7.19
62.80,6.16,-0.99,6.16,-1.00,0.99,0.61,1.03,7.15,7.15,7.16
63.43,6.10,-1.03,6.10,-1.02,1.02,0.63,1.04,7.12,7.12,7.13
64.07,6.05,-1.04,6.05,-1.04,1.04,0.65,1.05,7.09,7.09,7.09
64.71,6.01,-1.06,6.00,-1.06,1.07,0.67,1.06,7.08,7.07,7.07
65.35,5.95,-1.09,5.96,-1.08,1.09,0.70,1.06,7.04,7.04,7.04
66.01,5.91,-1.10,5.91,-1.10,1.11,0.72,1.06,7.02,7.02,7.01
66.67,5.86,-1.12,5.86,-1.13,1.12,0.75,1.07,6.99,6.98,6.98
67.33,5.81,-1.14,5.81,-1.14,1.14,0.77,1.07,6.95,6.96,6.95
68.01,5.76,-1.16,5.76,-1.16,1.16,0.80,1.07,6.92,6.92,6.92
68.69,5.72,-1.17,5.71,-1.18,1.18,0.83,1.07,6.90,6.89,6.89
69.37,5.66,-1.20,5.66,-1.20,1.19,0.86,1.07,6.85,6.86,6.86
70.07,5.61,-1.22,5.61,-1.21,1.21,0.89,1.07,6.82,6.82,6.83
70.77,5.56,-1.23,5.56,-1.23,1.23,0.92,1.06,6.79,6.79,6.79
71.48,5.51,-1.24,5.51,-1.24,1.25,0.95,1.06,6.76,6.76,6.75
72.19,5.45,-1.26,5.45,-1.26,1.27,0.98,1.06,6.72,6.72,6.71
72.91,5.40,-1.28,5.40,-1.28,1.28,1.02,1.05,6.69,6.68,6.68
73.64,5.34,-1.30,5.34,-1.30,1.30,1.05,1.05,6.64,6.64,6.64
74.38,5.28,-1.33,5.28,-1.32,1.32,1.08,1.05,6.60,6.60,6.61
75.12,5.23,-1.34,5.23,-1.34,1.33,1.12,1.04,6.56,6.56,6.57
75.87,5.18,-1.35,5.18,-1.35,1.34,1.16,1.04,6.53,6.52,6.53
76.63,5.13,-1.36,5.13,-1.36,1.36,1.19,1.04,6.49,6.49,6.49
77.40,5.09,-1.36,5.09,-1.36,1.37,1.23,1.04,6.46,6.45,6.45
