frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.57,2.13,8.57,2.13,-2.13,-2.04,-1.32,6.44,6.44,6.44
20.20,8.59,2.15,8.59,2.15,-2.15,-2.07,-1.36,6.44,6.44,6.44
20.40,8.61,2.18,8.61,2.18,-2.18,-2.09,-1.40,6.43,6.43,6.43
20.61,8.63,2.20,8.63,2.21,-2.21,-2.12,-1.44,6.42,6.43,6.43
20.81,8.66,2.24,8.65,2.23,-2.23,-2.15,-1.48,6.42,6.42,6.42
21.02,8.68,2.26,8.67,2.26,-2.26,-2.17,-1.53,6.42,6.41,6.42
21.23,8.69,2.28,8.70,2.29,-2.29,-2.20,-1.57,6.40,6.40,6.41
21.44,8.72,2.31,8.72,2.31,-2.32,-2.23,-1.62,6.40,6.40,6.41
21.66,8.75,2.35,8.75,2.35,-2.35,-2.26,-1.67,6.40,6.39,6.40
21.87,8.78,2.38,8.78,2.39,-2.38,-2.29,-1.72,6.39,6.39,6.39
22.09,8.81,2.42,8.81,2.42,-2.42,-2.31,-1.77,6.39,6.39,6.38
22.31,8.84,2.45,8.84,2.45,-2.45,-2.34,-1.82,6.39,6.39,6.38
22.54,8.86,2.47,8.86,2.48,-2.48,-2.37,-1.88,6.38,6.38,6.38
22.76,8.89,2.52,8.89,2.51,-2.51,-2.40,-1.93,6.38,6.38,6.37
22.99,8.91,2.54,8.91,2.54,-2.54,-2.42,-1.99,6.37,6.37,6.37
23.22,8.93,2.57,8.93,2.56,-2.56,-2.45,-2.05,6.37,6.37,6.36
23.45,8.95,2.59,8.95,2.59,-2.59,-2.48,-2.11,6.36,6.36,6.36
23.69,8.97,2.61,8.97,2.61,-2.61,-2.51,-2.17,6.36,6.36,6.36
23.92,8.99,2.64,8.99,2.63,-2.63,-2.53,-2.23,6.36,6.36,6.35
24.16,9.01,2.66,9.01,2.65,-2.66,-2.56,-2.30,6.35,6.35,6.35
24.40,9.02,2.67,9.02,2.67,-2.68,-2.59,-2.36,6.34,6.34,6.35
24.65,9.04,2.69,9.04,2.69,-2.70,-2.62,-2.43,6.34,6.34,6.35
24.89,9.06,2.72,9.06,2.72,-2.72,-2.64,-2.49,6.34,6.34,6.34
25.14,9.09,2.75,9.09,2.75,-2.75,-2.67,-2.56,6.34,6.34,6.34
25.39,9.11,2.77,9.11,2.77,-2.77,-2.69,-2.63,6.34,6.34,6.34
25.65,9.13,2.79,9.13,2.79,-2.79,-2.72,-2.69,6.34,6.34,6.34
25.91,9.15,2.81,9.15,2.81,-2.81,-2.75,-2.76,6.33,6.33,6.33
26.16,9.17,2.84,9.17,2.83,-2.84,-2.77,-2.83,6.33,6.33,6.33
26.43,9.19,2.86,9.19,2.86,-2.86,-2.80,-2.90,6.33,6.33,6.33
26.69,9.20,2.88,9.20,2.88,-2.87,-2.82,-2.96,6.32,6.33,6.32
26.96,9.22,2.90,9.21,2.89,-2.89,-2.85,-3.03,6.33,6.32,6.32
27.23,9.23,2.91,9.23,2.91,-2.91,-2.87,-3.09,6.32,6.32,6.32
27.50,9.24,2.92,9.24,2.93,-2.93,-2.89,-3.16,6.31,6.31,6.32
27.77,9.26,2.94,9.26,2.94,-2.95,-2.92,-3.22,6.31,6.31,6.32
28.05,9.28,2.97,9.27,2.96,-2.96,-2.94,-3.27,6.31,6.31,6.31
28.33,9.29,2.98,9.29,2.98,-2.98,-2.96,-3.33,6.31,6.31,6.30
28.62,9.30,2.99,9.30,3.00,-3.00,-2.98,-3.38,6.30,6.30,6.30
28.90,9.31,3.02,9.31,3.02,-3.02,-3.01,-3.43,6.29,6.29,6.29
29.19,9.33,3.04,9.33,3.03,-3.04,-3.03,-3.48,6.29,6.29,6.29
29.48,9.34,3.05,9.34,3.05,-3.05,-3.05,-3.52,6.29,6.29,6.29
29.78,9.35,3.07,9.35,3.07,-3.07,-3.07,-3.56,6.28,6.28,6.28
30.08,9.36,3.08,9.36,3.08,-3.08,-3.09,-3.59,6.28,6.28,6.28
30.38,9.37,3.09,9.36,3.09,-3.09,-3.11,-3.62,6.28,6.28,6.27
30.68,9.37,3.10,9.37,3.10,-3.10,-3.12,-3.65,6.27,6.27,6.27
30.99,9.38,3.11,9.38,3.11,-3.11,-3.14,-3.67,6.27,6.27,6.27
31.30,9.39,3.12,9.38,3.11,-3.11,-3.16,-3.68,6.27,6.27,6.27
31.61,9.39,3.11,9.39,3.12,-3.12,-3.17,-3.69,6.27,6.27,6.28
31.93,9.40,3.12,9.40,3.12,-3.13,-3.19,-3.70,6.27,6.27,6.27
32.24,9.41,3.14,9.40,3.13,-3.13,-3.20,-3.70,6.28,6.27,6.27
32.57,9.41,3.14,9.41,3.14,-3.14,-3.22,-3.69,6.27,6.27,6.27
32.89,9.42,3.15,9.42,3.15,-3.14,-3.23,-3.68,6.27,6.27,6.27
33.22,9.42,3.15,9.42,3.15,-3.15,-3.24,-3.67,6.27,6.27,6.27
33.55,9.42,3.16,9.42,3.16,-3.16,-3.25,-3.65,6.26,6.26,6.26
33.89,9.42,3.16,9.42,3.16,-3.17,-3.26,-3.63,6.25,6.25,6.26
34.23,9.42,3.17,9.42,3.17,-3.17,-3.27,-3.60,6.25,6.25,6.25
34.57,9.43,3.18,9.42,3.18,-3.18,-3.28,-3.57,6.25,6.24,6.25
34.92,9.42,3.19,9.42,3.19,-3.19,-3.29,-3.54,6.23,6.24,6.23
35.27,9.42,3.20,9.42,3.20,-3.19,-3.30,-3.51,6.22,6.23,6.22
35.62,9.42,3.21,9.41,3.20,-3.20,-3.31,-3.47,6.21,6.21,6.21
35.97,9.41,3.21,9.41,3.21,-3.21,-3.31,-3.44,6.19,6.19,6.20
36.33,9.40,3.21,9.40,3.22,-3.22,-3.32,-3.40,6.18,6.18,6.19
36.70,9.40,3.23,9.40,3.23,-3.23,-3.32,-3.36,6.17,6.17,6.17
37.06,9.40,3.25,9.40,3.24,-3.24,-3.32,-3.32,6.16,6.16,6.15
37.43,9.39,3.25,9.39,3.25,-3.25,-3.33,-3.28,6.14,6.14,6.14
37.81,9.39,3.26,9.38,3.26,-3.26,-3.33,-3.24,6.13,6.13,6.12
38.19,9.37,3.26,9.38,3.26,-3.26,-3.33,-3.20,6.10,6.11,6.11
38.57,9.37,3.26,9.37,3.27,-3.27,-3.33,-3.16,6.10,6.10,6.11
38.95,9.37,3.28,9.36,3.27,-3.27,-3.33,-3.12,6.09,6.09,6.09
39.34,9.36,3.28,9.36,3.28,-3.28,-3.32,-3.08,6.08,6.08,6.08
39.74,9.35,3.28,9.35,3.28,-3.28,-3.32,-3.05,6.07,6.07,6.07
40.14,9.34,3.28,9.34,3.28,-3.27,-3.32,-3.01,6.06,6.06,6.06
40.54,9.32,3.27,9.32,3.27,-3.27,-3.31,-2.98,6.05,6.05,6.05
40.94,9.32,3.27,9.31,3.27,-3.27,-3.31,-2.95,6.05,6.05,6.05
41.35,9.30,3.26,9.30,3.26,-3.26,-3.30,-2.92,6.04,6.04,6.04
41.76,9.29,3.25,9.29,3.25,-3.25,-3.29,-2.89,6.04,6.03,6.03
42.18,9.27,3.24,9.27,3.24,-3.24,-3.28,-2.86,6.03,6.03,6.03
42.60,9.25,3.23,9.25,3.23,-3.23,-3.27,-2.84,6.02,6.02,6.02
43.03,9.24,3.22,9.24,3.22,-3.22,-3.26,-2.82,6.02,6.02,6.02
43.46,9.22,3.21,9.22,3.21,-3.21,-3.25,-2.80,6.01,6.01,6.01
43.90,9.21,3.21,9.20,3.20,-3.19,-3.24,-2.78,6.01,6.01,6.00
44.33,9.18,3.17,9.18,3.18,-3.18,-3.23,-2.76,6.00,6.00,6.00
44.78,9.16,3.16,9.16,3.16,-3.16,-3.22,-2.75,5.99,6.00,6.00
45.23,9.14,3.15,9.14,3.14,-3.15,-3.20,-2.74,5.99,5.99,5.99
45.68,9.12,3.13,9.12,3.13,-3.13,-3.19,-2.73,5.99,5.99,5.99
46.13,9.10,3.12,9.10,3.11,-3.11,-3.17,-2.72,5.98,5.98,5.98
46.60,9.07,3.09,9.07,3.10,-3.10,-3.16,-2.72,5.97,5.97,5.97
47.06,9.05,3.08,9.05,3.08,-3.08,-3.14,-2.72,5.97,5.96,5.96
47.53,9.02,3.06,9.02,3.07,-3.07,-3.12,-2.71,5.95,5.95,5.95
48.01,9.00,3.05,9.00,3.05,-3.06,-3.10,-2.72,5.94,5.94,5.95
48.49,8.97,3.04,8.97,3.04,-3.04,-3.08,-2.72,5.93,5.93,5.92
48.97,8.95,3.03,8.95,3.03,-3.03,-3.06,-2.72,5.92,5.92,5.91
49.46,8.92,3.01,8.92,3.02,-3.02,-3.04,-2.73,5.90,5.90,5.90
49.96,8.90,3.02,8.89,3.01,-3.01,-3.02,-2.74,5.89,5.89,5.88
50.46,8.86,2.99,8.86,2.99,-2.99,-3.00,-2.75,5.86,5.87,5.87
50.96,8.83,2.98,8.83,2.98,-2.98,-2.98,-2.75,5.85,5.85,5.85
51.47,8.80,2.96,8.80,2.97,-2.97,-2.96,-2.77,5.83,5.83,5.84
51.99,8.78,2.97,8.77,2.96,-2.96,-2.94,-2.78,5.82,5.82,5.81
52.51,8.74,2.94,8.74,2.94,-2.94,-2.91,-2.79,5.80,5.80,5.80
53.03,8.71,2.92,8.71,2.93,-2.93,-2.89,-2.80,5.78,5.78,5.78
53.56,8.67,2.91,8.67,2.91,-2.91,-2.86,-2.82,5.76,5.76,5.76
54.10,8.64,2.89,8.64,2.89,-2.89,-2.84,-2.83,5.75,5.75,5.75
54.64,8.60,2.87,8.60,2.87,-2.86,-2.81,-2.84,5.73,5.73,5.73
55.18,8.56,2.84,8.56,2.84,-2.84,-2.79,-2.85,5.72,5.72,5.71
55.74,8.52,2.81,8.52,2.81,-2.82,-2.76,-2.86,5.70,5.70,5.71
56.29,8.48,2.79,8.48,2.79,-2.79,-2.74,-2.87,5.68,5.68,5.69
56.86,8.44,2.77,8.44,2.77,-2.77,-2.71,-2.88,5.67,5.67,5.67
57.42,8.40,2.74,8.40,2.75,-2.75,-2.68,-2.89,5.65,5.65,5.65
58.00,8.36,2.72,8.36,2.72,-2.72,-2.66,-2.90,5.64,5.64,5.63
58.58,8.32,2.70,8.32,2.70,-2.70,-2.63,-2.90,5.62,5.62,5.61
59.16,8.27,2.67,8.27,2.68,-2.68,-2.60,-2.90,5.59,5.60,5.59
59.76,8.23,2.65,8.23,2.65,-2.65,-2.57,-2.90,5.57,5.57,5.57
60.35,8.18,2.63,8.18,2.63,-2.63,-2.55,-2.90,5.55,5.55,5.55
60.96,8.14,2.62,8.14,2.61,-2.61,-2.52,-2.89,5.53,5.52,5.52
61.57,8.09,2.59,8.09,2.59,-2.59,-2.49,-2.88,5.49,5.49,5.50
62.18,8.04,2.56,8.04,2.57,-2.58,-2.46,-2.87,5.46,5.47,5.47
62.80,8.00,2.56,8.00,2.55,-2.56,-2.43,-2.86,5.44,5.44,5.44
63.43,7.95,2.53,7.95,2.54,-2.54,-2.40,-2.84,5.41,5.41,5.41
64.07,7.91,2.53,7.91,2.52,-2.52,-2.38,-2.82,5.39,5.39,5.38
64.71,7.86,2.51,7.85,2.50,-2.50,-2.35,-2.79,5.36,5.36,5.35
65.35,7.80,2.47,7.80,2.48,-2.48,-2.32,-2.77,5.32,5.33,5.32
66.01,7.75,2.45,7.75,2.45,-2.45,-2.29,-2.74,5.30,5.30,5.30
66.67,7.70,2.43,7.69,2.43,-2.43,-2.26,-2.71,5.27,5.27,5.27
67.33,7.64,2.40,7.64,2.40,-2.40,-2.23,-2.67,5.24,5.24,5.24
68.01,7.58,2.37,7.58,2.38,-2.38,-2.20,-2.64,5.20,5.21,5.21
68.69,7.53,2.35,7.52,2.35,-2.35,-2.17,-2.60,5.18,5.17,5.18
69.37,7.47,2.32,7.47,2.32,-2.33,-2.15,-2.56,5.14,5.14,5.14
70.07,7.41,2.30,7.41,2.30,-2.31,-2.12,-2.52,5.10,5.11,5.11
70.77,7.36,2.28,7.35,2.28,-2.28,-2.09,-2.48,5.08,5.07,5.08
71.48,7.30,2.27,7.30,2.26,-2.26,-2.06,-2.43,5.04,5.04,5.03
72.19,7.23,2.23,7.24,2.24,-2.23,-2.03,-2.39,5.00,5.00,5.00
72.91,7.18,2.22,7.17,2.21,-2.21,-2.00,-2.34,4.97,4.96,4.96
73.64,7.11,2.19,7.11,2.18,-2.18,-1.97,-2.29,4.92,4.93,4.92
74.38,7.05,2.15,7.05,2.16,-2.16,-1.95,-2.25,4.89,4.89,4.89
75.12,6.98,2.12,6.98,2.13,-2.13,-1.92,-2.20,4.85,4.85,4.86
75.87,6.92,2.10,6.92,2.10,-2.11,-1.89,-2.15,4.81,4.81,4.82
76.63,6.86,2.08,6.85,2.08,-2.08,-1.86,-2.11,4.78,4.78,4.78
77.40,6.79,2.05,6.79,2.06,-2.05,-1.83,-2.06,4.74,4.74,4.73
78.17,6.72,2.03,6.72,2.03,-2.03,-1.81,-2.02,4.69,4.69,4.69
78.95,6.65,2.00,6.65,2.00,-2.00,-1.78,-1.97,4.65,4.65,4.65
79.74,6.58,1.97,6.58,1.98,-1.98,-1.75,-1.93,4.60,4.60,4.60
