frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.42,7.45,14.42,7.45,-7.45,-7.34,-3.43,6.97,6.97,6.97
20.20,14.43,7.46,14.42,7.46,-7.46,-7.34,-3.52,6.97,6.96,6.97
20.40,14.43,7.47,14.43,7.47,-7.47,-7.34,-3.62,6.96,6.96,6.96
20.61,14.44,7.48,14.43,7.48,-7.48,-7.35,-3.72,6.96,6.96,6.96
20.81,14.44,7.49,14.44,7.49,-7.49,-7.35,-3.82,6.95,6.95,6.95
21.02,14.45,7.50,14.44,7.50,-7.50,-7.35,-3.93,6.95,6.94,6.95
21.23,14.44,7.50,14.44,7.50,-7.50,-7.36,-4.03,6.93,6.94,6.93
21.44,14.45,7.51,14.44,7.51,-7.51,-7.36,-4.15,6.93,6.93,6.93
21.66,14.45,7.52,14.45,7.52,-7.52,-7.36,-4.26,6.92,6.92,6.92
21.87,14.46,7.53,14.45,7.53,-7.53,-7.37,-4.38,6.92,6.92,6.92
22.09,14.46,7.54,14.46,7.54,-7.54,-7.37,-4.50,6.91,6.92,6.91
22.31,14.47,7.55,14.46,7.55,-7.55,-7.38,-4.62,6.91,6.91,6.91
22.54,14.47,7.55,14.47,7.56,-7.56,-7.38,-4.75,6.90,6.91,6.91
22.76,14.48,7.57,14.47,7.57,-7.57,-7.38,-4.88,6.90,6.90,6.90
22.99,14.48,7.58,14.48,7.58,-7.58,-7.39,-5.02,6.89,6.90,6.90
23.22,14.49,7.60,14.48,7.59,-7.59,-7.39,-5.15,6.90,6.89,6.89
23.45,14.49,7.60,14.49,7.60,-7.60,-7.40,-5.29,6.89,6.89,6.89
23.69,14.49,7.60,14.49,7.61,-7.60,-7.40,-5.44,6.88,6.89,6.89
23.92,14.50,7.62,14.49,7.61,-7.61,-7.40,-5.58,6.89,6.88,6.88
24.16,14.50,7.62,14.49,7.61,-7.62,-7.41,-5.74,6.88,6.88,6.88
24.40,14.49,7.61,14.49,7.62,-7.62,-7.41,-5.89,6.86,6.87,6.88
24.65,14.50,7.62,14.49,7.62,-7.63,-7.42,-6.04,6.87,6.87,6.87
24.89,14.50,7.63,14.49,7.63,-7.63,-7.42,-6.20,6.87,6.87,6.86
25.14,14.50,7.63,14.50,7.64,-7.63,-7.43,-6.36,6.86,6.87,6.86
25.39,14.51,7.64,14.50,7.64,-7.64,-7.43,-6.52,6.87,6.86,6.86
25.65,14.51,7.64,14.50,7.64,-7.64,-7.44,-6.68,6.86,6.86,6.86
25.91,14.51,7.65,14.51,7.64,-7.65,-7.44,-6.85,6.86,6.86,6.86
26.16,14.51,7.65,14.51,7.65,-7.65,-7.45,-7.01,6.85,6.85,6.86
26.43,14.51,7.65,14.51,7.65,-7.66,-7.45,-7.17,6.85,6.85,6.86
26.69,14.52,7.67,14.51,7.66,-7.66,-7.46,-7.34,6.86,6.85,6.85
26.96,14.52,7.67,14.51,7.67,-7.66,-7.46,-7.50,6.85,6.85,6.84
27.23,14.52,7.67,14.51,7.67,-7.67,-7.47,-7.66,6.85,6.84,6.84
27.50,14.51,7.66,14.51,7.67,-7.67,-7.47,-7.82,6.83,6.84,6.84
27.77,14.52,7.67,14.51,7.68,-7.68,-7.48,-7.97,6.84,6.83,6.84
28.05,14.52,7.69,14.51,7.68,-7.68,-7.48,-8.12,6.83,6.83,6.83
28.33,14.52,7.69,14.51,7.69,-7.69,-7.49,-8.26,6.83,6.83,6.83
28.62,14.52,7.69,14.51,7.69,-7.69,-7.50,-8.40,6.83,6.82,6.83
28.90,14.51,7.69,14.51,7.69,-7.69,-7.50,-8.52,6.81,6.82,6.81
29.19,14.52,7.70,14.51,7.70,-7.70,-7.51,-8.64,6.82,6.81,6.81
29.48,14.51,7.69,14.51,7.70,-7.70,-7.51,-8.75,6.80,6.81,6.81
29.78,14.52,7.72,14.51,7.71,-7.71,-7.52,-8.85,6.81,6.80,6.80
30.08,14.51,7.71,14.51,7.71,-7.71,-7.53,-8.94,6.80,6.80,6.80
30.38,14.51,7.71,14.51,7.71,-7.71,-7.53,-9.02,6.80,6.80,6.80
30.68,14.51,7.71,14.50,7.71,-7.71,-7.54,-9.08,6.80,6.79,6.79
30.99,14.50,7.70,14.50,7.71,-7.71,-7.54,-9.13,6.79,6.79,6.79
31.30,14.50,7.71,14.50,7.70,-7.71,-7.55,-9.16,6.79,6.79,6.79
31.61,14.50,7.70,14.50,7.70,-7.70,-7.56,-9.19,6.79,6.79,6.80
31.93,14.50,7.70,14.49,7.70,-7.70,-7.56,-9.20,6.79,6.79,6.79
32.24,14.50,7.70,14.49,7.70,-7.70,-7.57,-9.20,6.80,6.79,6.79
32.57,14.49,7.70,14.49,7.70,-7.70,-7.58,-9.18,6.79,6.79,6.79
32.89,14.49,7.70,14.49,7.70,-7.70,-7.58,-9.16,6.79,6.79,6.79
33.22,14.49,7.70,14.48,7.70,-7.70,-7.59,-9.12,6.79,6.78,6.78
33.55,14.48,7.69,14.48,7.70,-7.70,-7.60,-9.08,6.78,6.78,6.78
33.89,14.48,7.70,14.48,7.70,-7.70,-7.60,-9.02,6.77,6.77,6.78
34.23,14.48,7.71,14.47,7.70,-7.70,-7.61,-8.96,6.77,6.77,6.77
34.57,14.47,7.70,14.47,7.71,-7.71,-7.62,-8.89,6.76,6.76,6.76
34.92,14.47,7.72,14.46,7.72,-7.71,-7.63,-8.81,6.75,6.75,6.75
35.27,14.46,7.72,14.46,7.72,-7.72,-7.63,-8.73,6.74,6.74,6.74
35.62,14.46,7.73,14.45,7.72,-7.72,-7.64,-8.65,6.73,6.73,6.72
35.97,14.44,7.72,14.44,7.73,-7.73,-7.65,-8.56,6.71,6.71,6.72
36.33,14.44,7.73,14.43,7.73,-7.74,-7.66,-8.47,6.70,6.70,6.71
36.70,14.43,7.74,14.43,7.74,-7.75,-7.66,-8.39,6.68,6.68,6.68
37.06,14.43,7.76,14.42,7.76,-7.75,-7.67,-8.30,6.67,6.67,6.67
37.43,14.42,7.76,14.42,7.77,-7.76,-7.68,-8.21,6.65,6.66,6.65
37.81,14.42,7.78,14.41,7.77,-7.77,-7.69,-8.12,6.64,6.64,6.64
38.19,14.41,7.78,14.41,7.78,-7.78,-7.69,-8.03,6.63,6.63,6.62
38.57,14.40,7.78,14.40,7.78,-7.78,-7.70,-7.95,6.61,6.62,6.62
38.95,14.40,7.79,14.39,7.79,-7.79,-7.71,-7.87,6.61,6.60,6.60
39.34,14.39,7.80,14.39,7.79,-7.79,-7.72,-7.79,6.59,6.60,6.59
39.74,14.38,7.79,14.37,7.79,-7.79,-7.72,-7.72,6.58,6.58,6.58
40.14,14.37,7.80,14.36,7.79,-7.79,-7.73,-7.65,6.58,6.57,6.57
40.54,14.35,7.78,14.35,7.79,-7.79,-7.74,-7.58,6.56,6.56,6.56
40.94,14.35,7.79,14.34,7.79,-7.79,-7.75,-7.52,6.56,6.56,6.56
41.35,14.34,7.78,14.33,7.78,-7.78,-7.76,-7.47,6.55,6.55,6.55
41.76,14.33,7.78,14.33,7.78,-7.78,-7.76,-7.42,6.54,6.54,6.55
42.18,14.32,7.78,14.32,7.78,-7.78,-7.77,-7.37,6.54,6.54,6.54
42.60,14.31,7.77,14.31,7.77,-7.77,-7.78,-7.33,6.53,6.53,6.53
43.03,14.30,7.77,14.30,7.77,-7.77,-7.79,-7.29,6.53,6.53,6.53
43.46,14.29,7.77,14.28,7.77,-7.76,-7.80,-7.26,6.52,6.52,6.52
43.90,14.28,7.77,14.27,7.76,-7.76,-7.80,-7.24,6.52,6.51,6.51
44.33,14.26,7.74,14.26,7.75,-7.75,-7.81,-7.22,6.50,6.51,6.51
44.78,14.25,7.74,14.25,7.74,-7.74,-7.82,-7.20,6.50,6.50,6.50
45.23,14.24,7.74,14.24,7.73,-7.74,-7.83,-7.19,6.50,6.50,6.50
45.68,14.23,7.73,14.22,7.73,-7.73,-7.84,-7.19,6.50,6.50,6.50
