frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.55,-6.65,-2.55,-6.65,5.98,6.37,1.29,3.42,3.42,4.10
20.20,-2.47,-6.55,-2.48,-6.56,6.01,6.29,1.33,3.53,3.53,4.08
20.40,-2.41,-6.46,-2.41,-6.46,6.02,6.21,1.37,3.61,3.62,4.05
20.61,-2.34,-6.36,-2.33,-6.36,6.03,6.13,1.41,3.69,3.69,4.03
20.81,-2.25,-6.26,-2.26,-6.26,6.02,6.05,1.46,3.76,3.76,4.01
21.02,-2.18,-6.16,-2.18,-6.16,6.00,5.97,1.50,3.81,3.82,3.98
21.23,-2.10,-6.06,-2.10,-6.06,5.96,5.88,1.55,3.86,3.86,3.96
21.44,-2.02,-5.96,-2.03,-5.97,5.92,5.80,1.60,3.89,3.89,3.94
21.66,-1.95,-5.87,-1.95,-5.87,5.85,5.72,1.64,3.90,3.90,3.92
21.87,-1.88,-5.78,-1.87,-5.77,5.78,5.63,1.70,3.89,3.90,3.90
22.09,-1.79,-5.67,-1.80,-5.67,5.69,5.54,1.75,3.89,3.89,3.88
22.31,-1.71,-5.57,-1.72,-5.57,5.59,5.46,1.80,3.87,3.87,3.86
22.54,-1.65,-5.47,-1.64,-5.47,5.48,5.37,1.85,3.83,3.84,3.83
22.76,-1.55,-5.36,-1.56,-5.36,5.37,5.28,1.91,3.81,3.81,3.80
22.99,-1.47,-5.26,-1.47,-5.26,5.26,5.19,1.97,3.79,3.79,3.78
23.22,-1.39,-5.16,-1.39,-5.16,5.16,5.10,2.03,3.76,3.77,3.76
23.45,-1.30,-5.06,-1.31,-5.06,5.06,5.01,2.09,3.75,3.75,3.75
23.69,-1.23,-4.96,-1.22,-4.96,4.96,4.91,2.15,3.73,3.74,3.73
23.92,-1.13,-4.86,-1.14,-4.86,4.86,4.82,2.21,3.73,3.72,3.72
24.16,-1.05,-4.76,-1.05,-4.76,4.76,4.73,2.27,3.71,3.71,3.70
24.40,-0.97,-4.66,-0.97,-4.66,4.66,4.63,2.34,3.69,3.69,3.69
24.65,-0.89,-4.58,-0.89,-4.57,4.57,4.54,2.40,3.67,3.68,3.68
24.89,-0.81,-4.47,-0.81,-4.47,4.47,4.44,2.47,3.66,3.66,3.66
25.14,-0.72,-4.37,-0.73,-4.38,4.38,4.35,2.53,3.66,3.65,3.65
25.39,-0.64,-4.28,-0.64,-4.28,4.28,4.25,2.60,3.64,3.64,3.64
25.65,-0.56,-4.19,-0.56,-4.19,4.19,4.16,2.66,3.62,3.63,3.63
25.91,-0.49,-4.10,-0.48,-4.10,4.09,4.06,2.73,3.61,3.61,3.62
26.16,-0.39,-4.00,-0.40,-4.00,4.00,3.97,2.79,3.60,3.60,3.61
26.43,-0.32,-3.90,-0.31,-3.90,3.90,3.87,2.86,3.58,3.59,3.59
26.69,-0.22,-3.80,-0.22,-3.80,3.80,3.77,2.92,3.58,3.58,3.58
26.96,-0.13,-3.70,-0.14,-3.70,3.71,3.68,2.98,3.57,3.57,3.56
27.23,-0.05,-3.60,-0.05,-3.61,3.61,3.58,3.04,3.56,3.56,3.55
27.50,0.03,-3.52,0.03,-3.51,3.51,3.49,3.10,3.54,3.55,3.54
27.77,0.12,-3.42,0.12,-3.42,3.42,3.39,3.15,3.54,3.54,3.54
28.05,0.21,-3.32,0.20,-3.33,3.33,3.30,3.21,3.53,3.53,3.53
28.33,0.29,-3.23,0.29,-3.23,3.24,3.20,3.25,3.52,3.53,3.52
28.62,0.37,-3.14,0.37,-3.14,3.15,3.11,3.30,3.52,3.52,3.52
28.90,0.46,-3.05,0.45,-3.06,3.06,3.02,3.34,3.51,3.51,3.51
29.19,0.53,-2.98,0.53,-2.97,2.97,2.92,3.37,3.50,3.50,3.51
29.48,0.62,-2.88,0.62,-2.88,2.88,2.83,3.40,3.50,3.50,3.50
29.78,0.71,-2.79,0.70,-2.79,2.79,2.74,3.43,3.49,3.49,3.49
30.08,0.78,-2.70,0.79,-2.70,2.70,2.66,3.44,3.48,3.48,3.48
30.38,0.86,-2.62,0.87,-2.61,2.61,2.57,3.46,3.47,3.48,3.48
30.68,0.96,-2.52,0.95,-2.52,2.52,2.48,3.46,3.47,3.47,3.47
30.99,1.05,-2.41,1.04,-2.42,2.43,2.40,3.47,3.47,3.47,3.46
31.30,1.12,-2.34,1.12,-2.33,2.34,2.31,3.46,3.46,3.46,3.46
31.61,1.20,-2.25,1.19,-2.25,2.25,2.23,3.45,3.45,3.45,3.45
