frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.14,-1.52,5.14,-1.52,1.54,-0.07,0.06,6.68,6.68,6.66
20.20,5.17,-1.47,5.17,-1.46,1.46,-0.07,0.06,6.63,6.64,6.64
20.40,5.20,-1.41,5.21,-1.40,1.39,-0.07,0.06,6.59,6.60,6.61
20.61,5.25,-1.34,5.25,-1.34,1.32,-0.07,0.06,6.57,6.57,6.59
20.81,5.30,-1.27,5.30,-1.27,1.26,-0.07,0.06,6.56,6.55,6.57
21.02,5.34,-1.20,5.35,-1.19,1.19,-0.08,0.07,6.54,6.54,6.54
21.23,5.39,-1.13,5.39,-1.13,1.14,-0.08,0.07,6.53,6.53,6.52
21.44,5.43,-1.07,5.42,-1.07,1.08,-0.08,0.07,6.51,6.51,6.50
21.66,5.45,-1.03,5.45,-1.02,1.03,-0.08,0.07,6.48,6.48,6.48
21.87,5.47,-0.99,5.48,-0.98,0.98,-0.08,0.07,6.45,6.46,6.46
22.09,5.50,-0.94,5.49,-0.94,0.94,-0.08,0.08,6.44,6.43,6.44
22.31,5.51,-0.90,5.51,-0.90,0.90,-0.09,0.08,6.41,6.41,6.42
22.54,5.52,-0.87,5.52,-0.87,0.87,-0.09,0.08,6.39,6.39,6.39
22.76,5.53,-0.83,5.53,-0.84,0.84,-0.09,0.08,6.37,6.37,6.37
22.99,5.54,-0.80,5.54,-0.80,0.80,-0.09,0.08,6.34,6.34,6.35
23.22,5.55,-0.77,5.55,-0.77,0.77,-0.09,0.09,6.32,6.32,6.32
23.45,5.57,-0.74,5.57,-0.74,0.74,-0.09,0.09,6.31,6.31,6.31
23.69,5.59,-0.70,5.59,-0.70,0.70,-0.10,0.09,6.29,6.29,6.29
23.92,5.62,-0.66,5.62,-0.66,0.66,-0.10,0.09,6.29,6.28,6.28
24.16,5.64,-0.62,5.64,-0.63,0.63,-0.10,0.09,6.27,6.27,6.26
24.40,5.66,-0.59,5.66,-0.59,0.59,-0.10,0.10,6.25,6.25,6.25
24.65,5.69,-0.55,5.69,-0.55,0.55,-0.10,0.10,6.24,6.24,6.24
24.89,5.72,-0.50,5.72,-0.50,0.50,-0.11,0.10,6.23,6.22,6.22
25.14,5.75,-0.46,5.75,-0.46,0.46,-0.11,0.10,6.21,6.21,6.21
