frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.79,-5.30,-1.79,-5.30,5.30,4.89,1.87,3.52,3.52,3.51
20.20,-1.77,-5.26,-1.77,-5.26,5.26,4.89,1.92,3.49,3.49,3.49
20.40,-1.76,-5.22,-1.75,-5.22,5.22,4.90,1.98,3.46,3.46,3.46
20.61,-1.74,-5.18,-1.74,-5.18,5.17,4.90,2.04,3.44,3.44,3.44
20.81,-1.72,-5.14,-1.72,-5.13,5.13,4.91,2.10,3.42,3.41,3.42
21.02,-1.70,-5.09,-1.70,-5.09,5.09,4.91,2.16,3.39,3.40,3.39
21.23,-1.68,-5.05,-1.68,-5.05,5.05,4.90,2.23,3.37,3.37,3.37
21.44,-1.66,-5.01,-1.66,-5.01,5.01,4.90,2.29,3.36,3.35,3.35
21.66,-1.65,-4.98,-1.64,-4.97,4.97,4.89,2.36,3.33,3.33,3.33
21.87,-1.63,-4.94,-1.63,-4.94,4.93,4.89,2.43,3.31,3.31,3.31
22.09,-1.61,-4.90,-1.61,-4.90,4.90,4.88,2.50,3.29,3.29,3.29
22.31,-1.60,-4.87,-1.60,-4.86,4.86,4.87,2.57,3.26,3.26,3.27
22.54,-1.59,-4.83,-1.58,-4.82,4.83,4.86,2.65,3.24,3.24,3.24
22.76,-1.57,-4.79,-1.57,-4.79,4.79,4.84,2.73,3.22,3.22,3.22
22.99,-1.56,-4.76,-1.56,-4.75,4.76,4.83,2.80,3.20,3.20,3.20
23.22,-1.55,-4.72,-1.54,-4.72,4.72,4.81,2.89,3.18,3.18,3.18
23.45,-1.53,-4.69,-1.53,-4.69,4.69,4.79,2.97,3.17,3.16,3.17
23.69,-1.52,-4.66,-1.51,-4.66,4.66,4.77,3.05,3.15,3.15,3.15
23.92,-1.50,-4.63,-1.50,-4.63,4.64,4.75,3.14,3.14,3.14,3.14
24.16,-1.49,-4.60,-1.49,-4.61,4.61,4.73,3.23,3.12,3.12,3.12
24.40,-1.49,-4.59,-1.48,-4.59,4.58,4.70,3.31,3.10,3.10,3.11
24.65,-1.47,-4.56,-1.47,-4.56,4.56,4.68,3.40,3.09,3.09,3.10
