frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.22,4.05,8.23,4.05,-4.05,-3.15,-1.71,4.17,4.18,4.17
20.20,8.21,4.06,8.21,4.06,-4.06,-3.15,-1.76,4.15,4.15,4.15
20.40,8.18,4.06,8.19,4.06,-4.07,-3.15,-1.81,4.12,4.12,4.12
20.61,8.17,4.07,8.17,4.07,-4.07,-3.15,-1.86,4.10,4.10,4.10
20.81,8.15,4.07,8.15,4.08,-4.08,-3.15,-1.92,4.07,4.07,4.08
21.02,8.13,4.08,8.14,4.09,-4.09,-3.15,-1.97,4.05,4.05,4.05
21.23,8.12,4.09,8.12,4.09,-4.09,-3.15,-2.03,4.03,4.03,4.03
21.44,8.11,4.10,8.11,4.10,-4.10,-3.15,-2.09,4.01,4.01,4.01
21.66,8.09,4.11,8.09,4.11,-4.11,-3.15,-2.15,3.99,3.99,3.99
21.87,8.07,4.11,8.08,4.11,-4.11,-3.15,-2.22,3.96,3.97,3.97
22.09,8.06,4.12,8.06,4.11,-4.12,-3.15,-2.28,3.95,3.94,3.95
22.31,8.04,4.12,8.04,4.12,-4.12,-3.14,-2.35,3.92,3.92,3.93
22.54,8.02,4.13,8.02,4.12,-4.12,-3.14,-2.42,3.90,3.90,3.90
22.76,8.00,4.13,8.00,4.12,-4.12,-3.14,-2.49,3.88,3.88,3.88
22.99,7.97,4.12,7.98,4.12,-4.12,-3.14,-2.56,3.85,3.86,3.86
23.22,7.95,4.12,7.95,4.12,-4.12,-3.14,-2.63,3.84,3.84,3.84
23.45,7.93,4.11,7.93,4.11,-4.11,-3.14,-2.71,3.82,3.82,3.82
23.69,7.90,4.10,7.91,4.10,-4.10,-3.14,-2.79,3.80,3.81,3.80
23.92,7.88,4.09,7.88,4.09,-4.09,-3.14,-2.86,3.79,3.79,3.79
24.16,7.85,4.08,7.85,4.07,-4.08,-3.14,-2.94,3.78,3.77,3.77
24.40,7.81,4.05,7.82,4.06,-4.06,-3.13,-3.02,3.75,3.76,3.76
