frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.74,2.36,3.74,2.36,-2.36,-2.38,-1.08,1.38,1.38,1.38
20.20,3.75,2.39,3.74,2.39,-2.39,-2.38,-1.11,1.36,1.36,1.36
20.40,3.74,2.41,3.75,2.41,-2.41,-2.38,-1.15,1.33,1.33,1.33
20.61,3.75,2.44,3.75,2.44,-2.44,-2.38,-1.18,1.31,1.31,1.31
20.81,3.75,2.46,3.75,2.46,-2.46,-2.38,-1.21,1.29,1.29,1.29
21.02,3.75,2.49,3.75,2.49,-2.48,-2.38,-1.25,1.27,1.27,1.26
21.23,3.75,2.51,3.75,2.51,-2.51,-2.38,-1.29,1.24,1.24,1.24
21.44,3.75,2.53,3.75,2.53,-2.53,-2.38,-1.32,1.22,1.22,1.22
21.66,3.74,2.54,3.74,2.54,-2.54,-2.38,-1.36,1.20,1.20,1.20
21.87,3.73,2.55,3.73,2.56,-2.56,-2.38,-1.40,1.17,1.17,1.18
22.09,3.73,2.57,3.73,2.57,-2.58,-2.39,-1.44,1.15,1.15,1.16
22.31,3.72,2.58,3.72,2.59,-2.59,-2.39,-1.49,1.13,1.13,1.14
22.54,3.71,2.60,3.72,2.61,-2.60,-2.39,-1.53,1.11,1.11,1.11
22.76,3.71,2.62,3.71,2.62,-2.62,-2.39,-1.58,1.09,1.09,1.09
22.99,3.70,2.63,3.70,2.63,-2.63,-2.39,-1.62,1.07,1.07,1.07
23.22,3.68,2.64,3.69,2.64,-2.64,-2.39,-1.67,1.04,1.05,1.05
23.45,3.68,2.65,3.67,2.64,-2.64,-2.39,-1.72,1.04,1.03,1.03
23.69,3.66,2.65,3.66,2.65,-2.65,-2.39,-1.76,1.02,1.02,1.01
23.92,3.65,2.65,3.65,2.65,-2.65,-2.39,-1.81,1.00,1.00,1.00
24.16,3.63,2.65,3.63,2.64,-2.64,-2.39,-1.86,0.99,0.99,0.98
24.40,3.61,2.64,3.61,2.64,-2.64,-2.39,-1.91,0.97,0.97,0.97
24.65,3.59,2.63,3.59,2.63,-2.63,-2.39,-1.97,0.96,0.96,0.96
24.89,3.57,2.63,3.57,2.63,-2.63,-2.39,-2.02,0.94,0.94,0.94
25.14,3.56,2.63,3.56,2.62,-2.62,-2.39,-2.07,0.94,0.93,0.93
25.39,3.54,2.62,3.54,2.62,-2.62,-2.39,-2.12,0.92,0.92,0.92
25.65,3.52,2.61,3.52,2.61,-2.62,-2.40,-2.18,0.90,0.91,0.91
25.91,3.51,2.61,3.51,2.61,-2.61,-2.40,-2.23,0.90,0.89,0.90
26.16,3.49,2.60,3.49,2.61,-2.61,-2.40,-2.28,0.88,0.88,0.89
26.43,3.47,2.60,3.47,2.60,-2.60,-2.40,-2.34,0.87,0.87,0.87
26.69,3.46,2.60,3.46,2.60,-2.60,-2.40,-2.39,0.86,0.86,0.86
26.96,3.44,2.59,3.44,2.60,-2.59,-2.40,-2.44,0.85,0.85,0.85
27.23,3.42,2.59,3.42,2.58,-2.58,-2.40,-2.49,0.84,0.84,0.83
27.50,3.40,2.58,3.40,2.57,-2.57,-2.40,-2.54,0.83,0.83,0.82
