frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.25,-3.74,1.25,-3.74,3.73,3.54,0.05,4.98,4.98,4.99
20.20,1.34,-3.63,1.33,-3.63,3.63,3.48,0.05,4.96,4.96,4.97
20.40,1.42,-3.52,1.42,-3.52,3.52,3.41,0.06,4.94,4.94,4.94
20.61,1.50,-3.42,1.50,-3.41,3.42,3.34,0.06,4.91,4.92,4.92
20.81,1.59,-3.31,1.58,-3.31,3.31,3.27,0.07,4.90,4.89,4.89
21.02,1.66,-3.21,1.66,-3.20,3.21,3.19,0.07,4.87,4.87,4.86
21.23,1.75,-3.10,1.75,-3.10,3.10,3.10,0.08,4.85,4.85,4.84
21.44,1.83,-3.00,1.83,-3.00,3.00,3.02,0.09,4.83,4.83,4.82
21.66,1.91,-2.90,1.91,-2.90,2.90,2.93,0.09,4.80,4.80,4.80
21.87,1.98,-2.80,1.99,-2.80,2.79,2.83,0.10,4.77,4.78,4.78
22.09,2.07,-2.69,2.06,-2.70,2.69,2.74,0.10,4.76,4.76,4.76
22.31,2.15,-2.59,2.15,-2.59,2.59,2.64,0.11,4.74,4.73,4.74
22.54,2.23,-2.49,2.23,-2.48,2.48,2.54,0.12,4.71,4.72,4.71
22.76,2.32,-2.37,2.31,-2.38,2.38,2.44,0.12,4.70,4.70,4.69
22.99,2.40,-2.27,2.40,-2.27,2.28,2.33,0.13,4.68,4.68,4.67
23.22,2.48,-2.17,2.48,-2.18,2.18,2.23,0.14,4.66,4.66,4.65
23.45,2.56,-2.08,2.56,-2.08,2.08,2.13,0.14,4.64,4.64,4.64
23.69,2.64,-1.98,2.64,-1.98,1.98,2.02,0.15,4.62,4.62,4.62
23.92,2.72,-1.89,2.72,-1.89,1.89,1.92,0.16,4.61,4.61,4.61
24.16,2.80,-1.79,2.80,-1.80,1.80,1.82,0.17,4.60,4.59,4.59
24.40,2.87,-1.71,2.87,-1.71,1.71,1.71,0.17,4.58,4.58,4.58
24.65,2.95,-1.62,2.95,-1.62,1.62,1.61,0.18,4.57,4.57,4.57
24.89,3.02,-1.53,3.02,-1.53,1.54,1.51,0.19,4.56,4.55,4.55
25.14,3.09,-1.45,3.09,-1.45,1.45,1.40,0.19,4.54,4.54,4.54
25.39,3.16,-1.37,3.16,-1.37,1.37,1.30,0.20,4.53,4.53,4.53
25.65,3.23,-1.29,3.23,-1.29,1.29,1.20,0.21,4.51,4.51,4.52
25.91,3.30,-1.21,3.30,-1.21,1.20,1.11,0.22,4.50,4.50,4.51
26.16,3.37,-1.13,3.37,-1.12,1.12,1.01,0.22,4.49,4.49,4.50
26.43,3.45,-1.03,3.44,-1.04,1.04,0.91,0.23,4.48,4.48,4.48
26.69,3.52,-0.95,3.52,-0.95,0.95,0.82,0.23,4.47,4.47,4.47
26.96,3.59,-0.87,3.59,-0.86,0.87,0.72,0.24,4.45,4.45,4.45
27.23,3.67,-0.78,3.66,-0.78,0.78,0.63,0.24,4.44,4.44,4.44
27.50,3.74,-0.70,3.74,-0.69,0.69,0.54,0.25,4.43,4.43,4.43
27.77,3.83,-0.60,3.82,-0.60,0.60,0.45,0.25,4.43,4.43,4.43
28.05,3.91,-0.51,3.91,-0.51,0.51,0.37,0.25,4.42,4.42,4.42
28.33,3.99,-0.42,3.99,-0.42,0.43,0.28,0.25,4.41,4.42,4.41
28.62,4.08,-0.33,4.07,-0.34,0.34,0.20,0.25,4.41,4.41,4.41
28.90,4.15,-0.25,4.15,-0.25,0.25,0.11,0.25,4.40,4.40,4.40
29.19,4.23,-0.17,4.23,-0.17,0.17,0.03,0.25,4.39,4.40,4.40
29.48,4.31,-0.08,4.31,-0.08,0.08,-0.05,0.24,4.39,4.39,4.39
29.78,4.39,0.00,4.39,0.00,-0.00,-0.13,0.24,4.39,4.38,4.39
