frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.52,-12.45,-9.52,-12.45,6.00,5.70,2.76,-3.52,-3.52,2.93
20.20,-9.43,-12.34,-9.43,-12.34,6.00,5.71,2.84,-3.43,-3.43,2.91
20.40,-9.34,-12.22,-9.33,-12.22,6.00,5.72,2.92,-3.34,-3.33,2.88
20.61,-9.24,-12.10,-9.24,-12.10,6.00,5.73,3.01,-3.24,-3.24,2.86
20.81,-9.14,-11.98,-9.14,-11.98,6.00,5.74,3.09,-3.14,-3.14,2.84
21.02,-9.05,-11.86,-9.04,-11.86,6.00,5.75,3.18,-3.05,-3.04,2.81
21.23,-8.95,-11.74,-8.95,-11.74,6.00,5.76,3.27,-2.95,-2.95,2.79
21.44,-8.85,-11.62,-8.85,-11.62,6.00,5.78,3.37,-2.85,-2.85,2.77
21.66,-8.76,-11.51,-8.75,-11.50,6.00,5.79,3.47,-2.76,-2.75,2.75
21.87,-8.66,-11.38,-8.65,-11.38,6.00,5.80,3.57,-2.66,-2.65,2.73
22.09,-8.55,-11.26,-8.55,-11.26,6.00,5.82,3.67,-2.55,-2.55,2.71
22.31,-8.46,-11.14,-8.45,-11.14,6.00,5.83,3.77,-2.46,-2.45,2.69
22.54,-8.36,-11.02,-8.35,-11.01,6.00,5.85,3.88,-2.36,-2.35,2.66
22.76,-8.25,-10.88,-8.25,-10.89,6.00,5.87,3.99,-2.25,-2.25,2.64
22.99,-8.15,-10.76,-8.15,-10.77,6.00,5.88,4.10,-2.15,-2.15,2.62
23.22,-8.05,-10.64,-8.04,-10.64,6.00,5.90,4.22,-2.05,-2.04,2.60
23.45,-7.94,-10.52,-7.94,-10.52,6.00,5.92,4.34,-1.94,-1.94,2.59
23.69,-7.83,-10.40,-7.83,-10.40,6.00,5.94,4.46,-1.83,-1.83,2.57
23.92,-7.72,-10.27,-7.72,-10.27,6.00,5.95,4.58,-1.72,-1.72,2.56
24.16,-7.62,-10.15,-7.62,-10.16,6.00,5.97,4.71,-1.62,-1.62,2.54
24.40,-7.52,-10.04,-7.51,-10.04,6.00,5.99,4.84,-1.52,-1.51,2.52
24.65,-7.41,-9.92,-7.41,-9.92,6.00,6.01,4.97,-1.41,-1.41,2.51
24.89,-7.29,-9.79,-7.30,-9.79,6.00,6.03,5.10,-1.29,-1.30,2.49
25.14,-7.19,-9.67,-7.19,-9.67,6.00,6.04,5.23,-1.19,-1.19,2.48
25.39,-7.07,-9.55,-7.08,-9.55,6.00,6.06,5.37,-1.07,-1.08,2.47
25.65,-6.97,-9.43,-6.97,-9.43,6.00,6.08,5.50,-0.97,-0.97,2.46
25.91,-6.86,-9.31,-6.86,-9.31,6.00,6.09,5.64,-0.86,-0.86,2.45
26.16,-6.75,-9.19,-6.75,-9.18,6.00,6.11,5.77,-0.75,-0.75,2.44
