frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.44,-5.95,1.44,-5.95,5.96,5.48,1.32,7.40,7.40,7.39
20.20,1.52,-5.85,1.51,-5.86,5.86,5.42,1.36,7.38,7.37,7.37
20.40,1.58,-5.76,1.58,-5.76,5.75,5.37,1.40,7.33,7.34,7.34
20.61,1.66,-5.66,1.66,-5.66,5.65,5.31,1.45,7.31,7.31,7.32
20.81,1.74,-5.56,1.74,-5.56,5.55,5.25,1.49,7.29,7.29,7.30
21.02,1.82,-5.45,1.82,-5.45,5.45,5.18,1.54,7.27,7.27,7.27
21.23,1.90,-5.35,1.90,-5.35,5.35,5.12,1.58,7.25,7.25,7.25
21.44,1.98,-5.25,1.98,-5.25,5.25,5.06,1.63,7.23,7.23,7.23
21.66,2.06,-5.15,2.06,-5.15,5.15,5.00,1.68,7.21,7.21,7.21
21.87,2.13,-5.06,2.13,-5.05,5.05,4.94,1.74,7.18,7.19,7.19
22.09,2.21,-4.96,2.21,-4.96,4.96,4.88,1.79,7.17,7.16,7.17
22.31,2.28,-4.87,2.28,-4.87,4.87,4.81,1.84,7.14,7.14,7.15
22.54,2.34,-4.78,2.35,-4.77,4.78,4.75,1.90,7.11,7.12,7.12
22.76,2.42,-4.68,2.41,-4.68,4.69,4.69,1.96,7.11,7.10,7.10
22.99,2.48,-4.60,2.47,-4.60,4.60,4.62,2.02,7.08,7.08,7.08
23.22,2.53,-4.53,2.54,-4.52,4.52,4.56,2.08,7.05,7.06,7.05
23.45,2.60,-4.45,2.59,-4.45,4.44,4.50,2.14,7.04,7.04,7.04
23.69,2.66,-4.37,2.66,-4.37,4.36,4.43,2.20,7.02,7.02,7.02
23.92,2.72,-4.29,2.72,-4.29,4.29,4.37,2.27,7.01,7.01,7.01
24.16,2.79,-4.20,2.78,-4.21,4.21,4.30,2.33,7.00,6.99,6.99
24.40,2.84,-4.14,2.84,-4.14,4.14,4.24,2.40,6.98,6.98,6.98
24.65,2.90,-4.07,2.90,-4.06,4.06,4.17,2.46,6.96,6.97,6.97
24.89,2.97,-3.98,2.96,-3.99,3.99,4.11,2.53,6.96,6.95,6.95
25.14,3.03,-3.91,3.03,-3.91,3.91,4.04,2.60,6.94,6.94,6.94
25.39,3.09,-3.84,3.09,-3.84,3.84,3.97,2.67,6.93,6.93,6.93
25.65,3.15,-3.77,3.15,-3.77,3.77,3.91,2.73,6.92,6.92,6.92
25.91,3.21,-3.70,3.21,-3.70,3.70,3.84,2.80,6.91,6.91,6.91
26.16,3.26,-3.64,3.26,-3.64,3.64,3.77,2.87,6.90,6.90,6.90
26.43,3.31,-3.57,3.31,-3.57,3.57,3.71,2.93,6.88,6.88,6.88
26.69,3.36,-3.51,3.36,-3.51,3.51,3.64,3.00,6.87,6.87,6.87
26.96,3.41,-3.45,3.41,-3.45,3.45,3.57,3.06,6.85,6.85,6.86
27.23,3.46,-3.39,3.46,-3.39,3.38,3.51,3.12,6.84,6.84,6.84
27.50,3.51,-3.33,3.51,-3.33,3.32,3.44,3.18,6.83,6.83,6.83
27.77,3.57,-3.26,3.57,-3.26,3.26,3.37,3.23,6.83,6.82,6.83
28.05,3.63,-3.19,3.63,-3.19,3.19,3.30,3.28,6.82,6.82,6.82
28.33,3.69,-3.12,3.69,-3.13,3.13,3.23,3.33,6.82,6.82,6.81
28.62,3.75,-3.06,3.74,-3.06,3.06,3.17,3.37,6.81,6.81,6.81
28.90,3.80,-3.00,3.80,-3.00,3.00,3.10,3.41,6.80,6.80,6.80
29.19,3.86,-2.94,3.86,-2.94,2.94,3.03,3.45,6.80,6.80,6.80
29.48,3.92,-2.87,3.92,-2.87,2.88,2.96,3.47,6.79,6.79,6.79
29.78,3.97,-2.82,3.97,-2.81,2.81,2.89,3.50,6.78,6.78,6.79
30.08,4.03,-2.75,4.03,-2.75,2.75,2.82,3.51,6.78,6.78,6.77
30.38,4.08,-2.70,4.08,-2.69,2.69,2.76,3.52,6.76,6.77,6.77
30.68,4.14,-2.62,4.14,-2.62,2.62,2.69,3.52,6.76,6.76,6.76
30.99,4.20,-2.55,4.20,-2.56,2.56,2.62,3.52,6.75,6.75,6.75
31.30,4.26,-2.49,4.26,-2.49,2.49,2.55,3.50,6.75,6.75,6.75
31.61,4.32,-2.42,4.32,-2.42,2.42,2.48,3.49,6.74,6.74,6.74
31.93,4.38,-2.35,4.38,-2.35,2.35,2.41,3.46,6.72,6.73,6.73
32.24,4.45,-2.27,4.44,-2.28,2.27,2.34,3.43,6.72,6.72,6.72
32.57,4.51,-2.20,4.51,-2.20,2.20,2.27,3.39,6.71,6.71,6.71
32.89,4.58,-2.12,4.58,-2.12,2.12,2.21,3.34,6.70,6.70,6.70
33.22,4.65,-2.04,4.64,-2.04,2.05,2.14,3.29,6.70,6.69,6.69
33.55,4.71,-1.97,4.71,-1.97,1.97,2.07,3.23,6.68,6.68,6.68
33.89,4.77,-1.90,4.77,-1.90,1.90,2.00,3.17,6.67,6.67,6.67
34.23,4.83,-1.83,4.83,-1.83,1.83,1.93,3.10,6.65,6.66,6.65
34.57,4.90,-1.75,4.89,-1.75,1.75,1.86,3.02,6.65,6.65,6.65
34.92,4.96,-1.68,4.96,-1.68,1.68,1.79,2.95,6.64,6.64,6.64
35.27,5.02,-1.61,5.02,-1.61,1.61,1.73,2.86,6.63,6.63,6.63
35.62,5.08,-1.55,5.08,-1.54,1.54,1.66,2.78,6.62,6.62,6.63
35.97,5.14,-1.47,5.14,-1.48,1.47,1.59,2.69,6.61,6.61,6.61
36.33,5.21,-1.40,5.20,-1.40,1.40,1.52,2.59,6.61,6.61,6.61
36.70,5.26,-1.34,5.27,-1.33,1.33,1.45,2.50,6.59,6.60,6.60
37.06,5.33,-1.26,5.33,-1.26,1.26,1.39,2.40,6.59,6.59,6.59
37.43,5.39,-1.19,5.39,-1.19,1.19,1.32,2.30,6.58,6.58,6.58
37.81,5.45,-1.12,5.45,-1.12,1.12,1.25,2.20,6.57,6.57,6.57
38.19,5.52,-1.05,5.51,-1.05,1.05,1.18,2.10,6.57,6.57,6.57
38.57,5.57,-0.99,5.57,-0.98,0.98,1.12,2.00,6.55,6.56,6.55
38.95,5.64,-0.91,5.63,-0.91,0.92,1.05,1.90,6.56,6.55,6.55
39.34,5.69,-0.85,5.69,-0.85,0.85,0.98,1.79,6.54,6.54,6.54
39.74,5.75,-0.79,5.75,-0.79,0.78,0.91,1.69,6.53,6.53,6.53
40.14,5.80,-0.72,5.80,-0.72,0.72,0.85,1.59,6.52,6.52,6.52
40.54,5.86,-0.66,5.85,-0.66,0.66,0.78,1.49,6.52,6.51,6.52
40.94,5.91,-0.59,5.91,-0.60,0.60,0.72,1.38,6.51,6.51,6.50
41.35,5.96,-0.54,5.96,-0.54,0.54,0.65,1.28,6.49,6.50,6.50
41.76,6.02,-0.47,6.01,-0.48,0.48,0.58,1.18,6.50,6.49,6.49
42.18,6.06,-0.42,6.06,-0.42,0.42,0.52,1.07,6.48,6.48,6.48
42.60,6.11,-0.36,6.11,-0.36,0.36,0.45,0.97,6.47,6.47,6.47
43.03,6.16,-0.30,6.16,-0.30,0.30,0.39,0.87,6.46,6.46,6.46
43.46,6.20,-0.25,6.21,-0.25,0.25,0.32,0.77,6.45,6.45,6.45
43.90,6.26,-0.19,6.25,-0.19,0.19,0.26,0.67,6.45,6.44,6.44
44.33,6.30,-0.14,6.30,-0.14,0.14,0.19,0.57,6.44,6.44,6.44
44.78,6.34,-0.08,6.34,-0.08,0.08,0.13,0.47,6.42,6.43,6.42
45.23,6.39,-0.03,6.38,-0.03,0.03,0.06,0.37,6.42,6.42,6.42
45.68,6.43,0.02,6.43,0.02,-0.02,-0.00,0.28,6.41,6.41,6.41
46.13,6.48,0.07,6.48,0.07,-0.07,-0.07,0.18,6.41,6.41,6.41
46.60,6.53,0.13,6.53,0.13,-0.12,-0.13,0.08,6.40,6.40,6.40
47.06,6.57,0.17,6.57,0.18,-0.18,-0.19,-0.02,6.39,6.39,6.39
47.53,6.62,0.23,6.62,0.23,-0.23,-0.26,-0.11,6.39,6.39,6.39
48.01,6.66,0.28,6.66,0.28,-0.28,-0.32,-0.21,6.38,6.38,6.38
