frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.24,0.16,4.24,0.16,-0.15,-1.24,-1.32,4.09,4.09,4.09
20.20,4.29,0.23,4.29,0.22,-0.23,-1.27,-1.36,4.07,4.06,4.07
20.40,4.33,0.30,4.34,0.30,-0.30,-1.30,-1.40,4.03,4.04,4.04
20.61,4.39,0.37,4.39,0.37,-0.37,-1.32,-1.44,4.02,4.01,4.02
20.81,4.44,0.45,4.44,0.45,-0.45,-1.35,-1.49,3.99,3.99,4.00
21.02,4.49,0.53,4.50,0.53,-0.53,-1.38,-1.53,3.97,3.97,3.97
21.23,4.56,0.62,4.56,0.61,-0.60,-1.41,-1.57,3.96,3.95,3.95
21.44,4.61,0.69,4.61,0.69,-0.68,-1.44,-1.62,3.93,3.93,3.93
21.66,4.66,0.76,4.67,0.76,-0.77,-1.47,-1.67,3.90,3.90,3.91
21.87,4.72,0.84,4.73,0.84,-0.85,-1.50,-1.72,3.88,3.88,3.89
22.09,4.79,0.93,4.79,0.92,-0.93,-1.54,-1.77,3.86,3.86,3.87
22.31,4.85,1.01,4.85,1.01,-1.01,-1.57,-1.82,3.84,3.84,3.84
22.54,4.91,1.10,4.92,1.10,-1.09,-1.60,-1.88,3.82,3.82,3.82
22.76,4.98,1.19,4.98,1.18,-1.18,-1.63,-1.93,3.81,3.80,3.79
22.99,5.03,1.26,5.04,1.26,-1.26,-1.67,-1.99,3.77,3.78,3.77
23.22,5.09,1.34,5.10,1.34,-1.34,-1.70,-2.04,3.75,3.76,3.75
23.45,5.16,1.42,5.16,1.42,-1.42,-1.74,-2.10,3.74,3.74,3.74
23.69,5.22,1.50,5.23,1.50,-1.50,-1.78,-2.16,3.72,3.73,3.72
23.92,5.29,1.58,5.29,1.58,-1.58,-1.81,-2.22,3.71,3.71,3.71
24.16,5.36,1.67,5.36,1.66,-1.66,-1.85,-2.29,3.70,3.70,3.69
24.40,5.41,1.73,5.42,1.74,-1.74,-1.89,-2.35,3.67,3.68,3.68
24.65,5.48,1.81,5.48,1.82,-1.82,-1.93,-2.42,3.67,3.67,3.67
24.89,5.55,1.90,5.55,1.90,-1.90,-1.97,-2.48,3.66,3.65,3.65
25.14,5.61,1.97,5.62,1.98,-1.97,-2.01,-2.55,3.64,3.64,3.64
25.39,5.68,2.05,5.68,2.05,-2.05,-2.05,-2.61,3.63,3.63,3.63
25.65,5.74,2.12,5.75,2.12,-2.13,-2.10,-2.68,3.61,3.62,3.62
25.91,5.81,2.20,5.81,2.20,-2.21,-2.14,-2.75,3.61,3.60,3.61
26.16,5.87,2.28,5.87,2.28,-2.28,-2.18,-2.82,3.59,3.59,3.60
26.43,5.94,2.36,5.94,2.36,-2.36,-2.23,-2.88,3.58,3.58,3.58
26.69,6.00,2.44,6.01,2.44,-2.44,-2.27,-2.95,3.57,3.57,3.57
26.96,6.07,2.52,6.07,2.52,-2.51,-2.32,-3.02,3.56,3.56,3.56
27.23,6.13,2.59,6.13,2.58,-2.58,-2.37,-3.08,3.55,3.55,3.55
27.50,6.19,2.66,6.20,2.66,-2.66,-2.42,-3.15,3.54,3.54,3.54
27.77,6.25,2.72,6.26,2.73,-2.73,-2.46,-3.21,3.53,3.53,3.53
28.05,6.32,2.80,6.32,2.79,-2.80,-2.51,-3.27,3.53,3.52,3.52
28.33,6.37,2.86,6.38,2.86,-2.86,-2.56,-3.33,3.51,3.52,3.51
28.62,6.44,2.93,6.44,2.93,-2.93,-2.61,-3.38,3.52,3.51,3.51
28.90,6.49,2.99,6.49,2.99,-2.99,-2.67,-3.44,3.50,3.50,3.50
29.19,6.54,3.04,6.55,3.05,-3.05,-2.72,-3.49,3.49,3.50,3.50
29.48,6.61,3.12,6.61,3.12,-3.12,-2.77,-3.53,3.50,3.49,3.49
29.78,6.66,3.17,6.66,3.18,-3.18,-2.82,-3.58,3.49,3.49,3.49
30.08,6.71,3.23,6.71,3.23,-3.24,-2.88,-3.62,3.48,3.48,3.48
30.38,6.76,3.29,6.76,3.29,-3.29,-2.93,-3.65,3.47,3.47,3.48
30.68,6.81,3.35,6.81,3.35,-3.35,-2.99,-3.68,3.46,3.47,3.47
30.99,6.87,3.42,6.86,3.41,-3.40,-3.04,-3.71,3.47,3.46,3.45
31.30,6.90,3.45,6.91,3.46,-3.45,-3.10,-3.74,3.45,3.45,3.45
31.61,6.95,3.51,6.95,3.51,-3.50,-3.15,-3.75,3.45,3.44,3.44
31.93,6.98,3.55,6.99,3.55,-3.55,-3.21,-3.77,3.43,3.43,3.43
32.24,7.02,3.59,7.02,3.60,-3.60,-3.27,-3.78,3.42,3.42,3.43
32.57,7.06,3.65,7.06,3.64,-3.65,-3.32,-3.79,3.41,3.41,3.42
32.89,7.09,3.69,7.10,3.69,-3.70,-3.38,-3.79,3.40,3.40,3.41
33.22,7.14,3.75,7.14,3.74,-3.74,-3.44,-3.79,3.40,3.40,3.39
33.55,7.17,3.79,7.17,3.79,-3.79,-3.50,-3.79,3.39,3.39,3.38
33.89,7.20,3.83,7.21,3.83,-3.83,-3.55,-3.78,3.37,3.38,3.37
34.23,7.23,3.87,7.23,3.87,-3.87,-3.61,-3.77,3.36,3.36,3.36
34.57,7.26,3.91,7.26,3.91,-3.91,-3.67,-3.76,3.35,3.35,3.36
34.92,7.29,3.95,7.29,3.95,-3.95,-3.72,-3.74,3.34,3.34,3.35
35.27,7.32,3.99,7.32,3.98,-3.98,-3.78,-3.73,3.34,3.34,3.33
35.62,7.34,4.01,7.35,4.02,-4.02,-3.84,-3.71,3.33,3.33,3.33
35.97,7.37,4.05,7.37,4.05,-4.05,-3.89,-3.69,3.32,3.32,3.32
